"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YGR264C","MES1","Translation / Ribosome",3,"YGR264C   MES1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, METHIONYL              S0003496","PROTEIN SYNTHESIS TRNA SYNTHETASE, METHIONYL S0003496"
"YJR002W","MPP10","Translation / Ribosome",3,"YJR002W   MPP10      RRNA PROCESSING                         U3 SNORNP PROTEIN                       S0003762","RRNA PROCESSING U3 SNORNP PROTEIN S0003762"
"YKL142W","MRP8","Translation / Ribosome",3,"YKL142W   MRP8       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN, MITOCHONDRIAL SMALL SS0001625","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN, MITOCHONDRIAL SMALL SS0001625"
"YPL211W","NIP7","Translation / Ribosome",3,"YPL211W   NIP7       RRNA PROCESSING                         UNKNOWN                                 S0006132","RRNA PROCESSING UNKNOWN S0006132"
"YPL043W","NOP4","Translation / Ribosome",3,"YPL043W   NOP4       RRNA PROCESSING                         RNA BINDING PROTEIN                     S0005964","RRNA PROCESSING RNA BINDING PROTEIN S0005964"
"YOR310C","NOP58","Translation / Ribosome",3,"YOR310C   NOP58      RIBOSOME BIOGENESIS                     NUCLEOLAR PROTEIN                       S0005837","RIBOSOME BIOGENESIS NUCLEOLAR PROTEIN S0005837"
"YNL163C","PROTEIN","Translation / Ribosome",3,"YNL163C              PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EEF4      S0005107","SYNTHESIS TRANSLATION ELONGATION FACTOR EEF4 S0005107"
"YNL247W","PROTEIN","Translation / Ribosome",3,"YNL247W              PROTEIN SYNTHESIS                       TRNA SYNTHETASE, CYSTEINYL              S0005191","SYNTHESIS TRNA SYNTHETASE, CYSTEINYL S0005191"
"YDR341C","PROTEIN","Translation / Ribosome",3,"YDR341C              PROTEIN SYNTHESIS                       TRNA SYNTHETASE, ARGININE               S0002749","SYNTHESIS TRNA SYNTHETASE, ARGININE S0002749"
"YLR009W","PROTEIN","Translation / Ribosome",3,"YLR009W              PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L24B (PUTATIVE)       S0003999","SYNTHESIS RIBOSOMAL PROTEIN L24B (PUTATIVE) S0003999"
"YMR302C","PRP12","Translation / Ribosome",3,"YMR302C   PRP12      RRNA PROCESSING                         MITOCHONDRIAL INNER MEMBRANE PROTEIN    S0004917","RRNA PROCESSING MITOCHONDRIAL INNER MEMBRANE PROTEIN S0004917"
"YOR361C","PRT1","Translation / Ribosome",3,"YOR361C   PRT1       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3 SUBUNS0005888","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 SUBUNS0005888"
