"gene_id","name_raw","gene_name","desc_raw","scer_gene_name","functional_category","category_order"
"YPL266W","YPL266W   DIM1       RRNA PROCESSING, 18S                    DIMETHYLADENOSINE TRANSFERASE           S0006187","DIM1","RRNA PROCESSING, 18S DIMETHYLADENOSINE TRANSFERASE S0006187","DIM1","Translation / Ribosome",3
"YLL008W","YLL008W   DRS1       RRNA PROCESSING                         RNA HELICASE                            S0003931","DRS1","RRNA PROCESSING RNA HELICASE S0003931","DRS1","Translation / Ribosome",3
"YAL003W","YAL003W   EFB1       PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EF1-BETA  S0000003","EFB1","PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF1-BETA S0000003","EFB1","Translation / Ribosome",3
"YDR385W","YDR385W   EFT2       PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EEF2      S0002793","EFT2","PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EEF2 S0002793","EFT2","Translation / Ribosome",3
"YLR060W","YLR060W   FRS1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, PHENYLALANYL, SUBUNIT  S0004050","FRS1","PROTEIN SYNTHESIS TRNA SYNTHETASE, PHENYLALANYL, SUBUNIT S0004050","FRS1","Translation / Ribosome",3
"YFL022C","YFL022C   FRS2       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, PHENYLALANYL           S0001872","FRS2","PROTEIN SYNTHESIS TRNA SYNTHETASE, PHENYLALANYL S0001872","FRS2","Translation / Ribosome",3
"YHR089C","YHR089C   GAR1       RRNA PROCESSING                         SNORNP PROTEIN                          S0001131","GAR1","RRNA PROCESSING SNORNP PROTEIN S0001131","GAR1","Translation / Ribosome",3
"YOR260W","YOR260W   GCD1       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B GAMMS0005786","GCD1","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B GAMMS0005786","GCD1","Translation / Ribosome",3
"YNL062C","YNL062C   GCD10      PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3 RNA-BS0005006","GCD10","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 RNA-BS0005006","GCD10","Translation / Ribosome",3
"YER025W","YER025W   GCD11      PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2 GAMMAS0000827","GCD11","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2 GAMMAS0000827","GCD11","Translation / Ribosome",3
"YJL125C","YJL125C   GCD14      PROTEIN SYNTHESIS                       TRANSLATION REPRESSOR OF GCN4           S0003661","GCD14","PROTEIN SYNTHESIS TRANSLATION REPRESSOR OF GCN4 S0003661","GCD14","Translation / Ribosome",3
"YGR083C","YGR083C   GCD2       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B SUBUS0003315","GCD2","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0003315","GCD2","Translation / Ribosome",3
"YDR211W","YDR211W   GCD6       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B SUBUS0002619","GCD6","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0002619","GCD6","Translation / Ribosome",3
"YLR291C","YLR291C   GCD7       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B SUBUS0004282","GCD7","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0004282","GCD7","Translation / Ribosome",3
"YKR026C","YKR026C   GCN3       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2B     S0001734","GCN3","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B S0001734","GCN3","Translation / Ribosome",3
"YOR168W","YOR168W   GLN4       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, GLUTAMINYL             S0005694","GLN4","PROTEIN SYNTHESIS TRNA SYNTHETASE, GLUTAMINYL S0005694","GLN4","Translation / Ribosome",3
"YBR121C","YBR121C   GRS1       PROTEIN SYNTHESIS                       TRNA SYNTHASE, GLYCYL                   S0000325","GRS1","PROTEIN SYNTHESIS TRNA SYNTHASE, GLYCYL S0000325","GRS1","Translation / Ribosome",3
"YJL033W","YJL033W   HCA4       RRNA PROCESSING                         RNA HELICASE                            S0003570","HCA4","RRNA PROCESSING RNA HELICASE S0003570","HCA4","Translation / Ribosome",3
"YPR033C","YPR033C   HTS1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, HISTIDYL               S0006237","HTS1","PROTEIN SYNTHESIS TRNA SYNTHETASE, HISTIDYL S0006237","HTS1","Translation / Ribosome",3
"YHR148W","YHR148W   IMP3       RRNA PROCESSING                         U3 SNORNP PROTEIN                       S0001191","IMP3","RRNA PROCESSING U3 SNORNP PROTEIN S0001191","IMP3","Translation / Ribosome",3
"YNL075W","YNL075W   IMP4       RRNA PROCESSING                         U3 SNORNP PROTEIN                       S0005019","IMP4","RRNA PROCESSING U3 SNORNP PROTEIN S0005019","IMP4","Translation / Ribosome",3
"YDR037W","YDR037W   KRS1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, LYSYL                  S0002444","KRS1","PROTEIN SYNTHESIS TRNA SYNTHETASE, LYSYL S0002444","KRS1","Translation / Ribosome",3
"YER127W","YER127W   LCP5       RRNA PROCESSING, PUTATIVE               UNKNOWN                                 S0000929","LCP5","RRNA PROCESSING, PUTATIVE UNKNOWN S0000929","LCP5","Translation / Ribosome",3
"YKL205W","YKL205W   LOS1       TRNA SPLICING                           NUCLEAR PORE PROTEIN                    S0001688","LOS1","TRNA SPLICING NUCLEAR PORE PROTEIN S0001688","LOS1","Translation / Ribosome",3
"YGR264C","YGR264C   MES1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, METHIONYL              S0003496","MES1","PROTEIN SYNTHESIS TRNA SYNTHETASE, METHIONYL S0003496","MES1","Translation / Ribosome",3
"YJR002W","YJR002W   MPP10      RRNA PROCESSING                         U3 SNORNP PROTEIN                       S0003762","MPP10","RRNA PROCESSING U3 SNORNP PROTEIN S0003762","MPP10","Translation / Ribosome",3
"YKL142W","YKL142W   MRP8       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN, MITOCHONDRIAL SMALL SS0001625","MRP8","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN, MITOCHONDRIAL SMALL SS0001625","MRP8","Translation / Ribosome",3
"YPL211W","YPL211W   NIP7       RRNA PROCESSING                         UNKNOWN                                 S0006132","NIP7","RRNA PROCESSING UNKNOWN S0006132","NIP7","Translation / Ribosome",3
"YPL043W","YPL043W   NOP4       RRNA PROCESSING                         RNA BINDING PROTEIN                     S0005964","NOP4","RRNA PROCESSING RNA BINDING PROTEIN S0005964","NOP4","Translation / Ribosome",3
"YOR310C","YOR310C   NOP58      RIBOSOME BIOGENESIS                     NUCLEOLAR PROTEIN                       S0005837","NOP58","RIBOSOME BIOGENESIS NUCLEOLAR PROTEIN S0005837","NOP58","Translation / Ribosome",3
"YNL163C","YNL163C              PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EEF4      S0005107","PROTEIN","SYNTHESIS TRANSLATION ELONGATION FACTOR EEF4 S0005107","PROTEIN","Translation / Ribosome",3
"YNL247W","YNL247W              PROTEIN SYNTHESIS                       TRNA SYNTHETASE, CYSTEINYL              S0005191","PROTEIN","SYNTHESIS TRNA SYNTHETASE, CYSTEINYL S0005191","PROTEIN.1","Translation / Ribosome",3
"YDR341C","YDR341C              PROTEIN SYNTHESIS                       TRNA SYNTHETASE, ARGININE               S0002749","PROTEIN","SYNTHESIS TRNA SYNTHETASE, ARGININE S0002749","PROTEIN.2","Translation / Ribosome",3
"YLR009W","YLR009W              PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L24B (PUTATIVE)       S0003999","PROTEIN","SYNTHESIS RIBOSOMAL PROTEIN L24B (PUTATIVE) S0003999","PROTEIN.3","Translation / Ribosome",3
"YMR302C","YMR302C   PRP12      RRNA PROCESSING                         MITOCHONDRIAL INNER MEMBRANE PROTEIN    S0004917","PRP12","RRNA PROCESSING MITOCHONDRIAL INNER MEMBRANE PROTEIN S0004917","PRP12","Translation / Ribosome",3
"YOR361C","YOR361C   PRT1       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3 SUBUNS0005888","PRT1","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 SUBUNS0005888","PRT1","Translation / Ribosome",3
