"gene_id","name_raw","gene_name","desc_raw","scer_gene_name","functional_category","category_order"
"YDL075W","YDL075W   RPL31A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L31A                  S0002233","RPL31A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L31A S0002233","RPL31A","Translation / Ribosome",3
"YBL092W","YBL092W   RPL32      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L23                   S0000188","RPL32","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23 S0000188","RPL32","Translation / Ribosome",3
"YPL143W","YPL143W   RPL33A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L33A                  S0006064","RPL33A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L33A S0006064","RPL33A","Translation / Ribosome",3
"YOR234C","YOR234C   RPL33B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L33B                  S0005760","RPL33B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L33B S0005760","RPL33B","Translation / Ribosome",3
"YIL052C","YIL052C   RPL34B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L34B                  S0001314","RPL34B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L34B S0001314","RPL34B","Translation / Ribosome",3
"YDL191W","YDL191W   RPL35A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L35A                  S0002350","RPL35A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L35A S0002350","RPL35A","Translation / Ribosome",3
"YDL136W","YDL136W   RPL35B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L35B                  S0002295","RPL35B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L35B S0002295","RPL35B","Translation / Ribosome",3
"YMR194W","YMR194W   RPL36A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L36A                  S0004807","RPL36A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L36A S0004807","RPL36A","Translation / Ribosome",3
"YLR185W","YLR185W   RPL37A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L37A                  S0004175","RPL37A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L37A S0004175","RPL37A","Translation / Ribosome",3
"YDR500C","YDR500C   RPL37B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L37B                  S0002908","RPL37B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L37B S0002908","RPL37B","Translation / Ribosome",3
"YLR325C","YLR325C   RPL38      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L38                   S0004317","RPL38","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L38 S0004317","RPL38","Translation / Ribosome",3
"YJL189W","YJL189W   RPL39      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L39                   S0003725","RPL39","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L39 S0003725","RPL39","Translation / Ribosome",3
"YIL148W","YIL148W   RPL40A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L40A                  S0001410","RPL40A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L40A S0001410","RPL40A","Translation / Ribosome",3
"YKR094C","YKR094C   RPL40B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L40B                  S0001802","RPL40B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L40B S0001802","RPL40B","Translation / Ribosome",3
"YNL162W","YNL162W   RPL42A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L42A                  S0005106","RPL42A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L42A S0005106","RPL42A","Translation / Ribosome",3
"YHR141C","YHR141C   RPL42B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L42B                  S0001183","RPL42B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L42B S0001183","RPL42B","Translation / Ribosome",3
"YPR043W","YPR043W   RPL43A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L34A                  S0006247","RPL43A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L34A S0006247","RPL43A","Translation / Ribosome",3
"YBR031W","YBR031W   RPL4A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L4A                   S0000235","RPL4A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L4A S0000235","RPL4A","Translation / Ribosome",3
"YDR012W","YDR012W   RPL4B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L4B                   S0002419","RPL4B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L4B S0002419","RPL4B","Translation / Ribosome",3
"YML073C","YML073C   RPL6A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L6A                   S0004538","RPL6A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L6A S0004538","RPL6A","Translation / Ribosome",3
"YLR448W","YLR448W   RPL6B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L6B                   S0004440","RPL6B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L6B S0004440","RPL6B","Translation / Ribosome",3
"YGL076C","YGL076C   RPL7A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L7A                   S0003044","RPL7A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L7A S0003044","RPL7A","Translation / Ribosome",3
"YPL198W","YPL198W   RPL7B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L7B                   S0006119","RPL7B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L7B S0006119","RPL7B","Translation / Ribosome",3
"YHL033C","YHL033C   RPL8A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L8A                   S0001025","RPL8A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L8A S0001025","RPL8A","Translation / Ribosome",3
"YLL045C","YLL045C   RPL8B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L8B                   S0003968","RPL8B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L8B S0003968","RPL8B","Translation / Ribosome",3
"YGL147C","YGL147C   RPL9A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L9A                   S0003115","RPL9A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L9A S0003115","RPL9A","Translation / Ribosome",3
"YNL067W","YNL067W   RPL9B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L9B                   S0005011","RPL9B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L9B S0005011","RPL9B","Translation / Ribosome",3
"YLR340W","YLR340W   RPP0       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L10, ACIDIC           S0004332","RPP0","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L10, ACIDIC S0004332","RPP0","Translation / Ribosome",3
"YDL081C","YDL081C   RPP1A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN P1A, ACIDIC           S0002239","RPP1A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN P1A, ACIDIC S0002239","RPP1A","Translation / Ribosome",3
"YOL039W","YOL039W   RPP2A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN P2A/L44, ACIDIC       S0005399","RPP2A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN P2A/L44, ACIDIC S0005399","RPP2A","Translation / Ribosome",3
"YDR382W","YDR382W   RPP2B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L45, ACIDIC           S0002790","RPP2B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L45, ACIDIC S0002790","RPP2B","Translation / Ribosome",3
"YGR214W","YGR214W   RPS0A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S0A                   S0003446","RPS0A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S0A S0003446","RPS0A","Translation / Ribosome",3
"YLR048W","YLR048W   RPS0B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S0B                   S0004038","RPS0B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S0B S0004038","RPS0B","Translation / Ribosome",3
"YOR293W","YOR293W   RPS10A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S10A                  S0005819","RPS10A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S10A S0005819","RPS10A","Translation / Ribosome",3
"YMR230W","YMR230W   RPS10B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S10B                  S0004843","RPS10B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S10B S0004843","RPS10B","Translation / Ribosome",3
"YDR025W","YDR025W   RPS11A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S11A                  S0002432","RPS11A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S11A S0002432","RPS11A","Translation / Ribosome",3
"YBR048W","YBR048W   RPS11B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S11B                  S0000252","RPS11B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S11B S0000252","RPS11B","Translation / Ribosome",3
"YOR369C","YOR369C   RPS12      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S12                   S0005896","RPS12","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S12 S0005896","RPS12","Translation / Ribosome",3
"YDR064W","YDR064W   RPS13      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S13                   S0002471","RPS13","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S13 S0002471","RPS13","Translation / Ribosome",3
"YCR031C","YCR031C   RPS14A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S14A                  S0000627","RPS14A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S14A S0000627","RPS14A","Translation / Ribosome",3
"YJL191W","YJL191W   RPS14B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S14B                  S0003727","RPS14B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S14B S0003727","RPS14B","Translation / Ribosome",3
"YOL040C","YOL040C   RPS15      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S15                   S0005400","RPS15","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S15 S0005400","RPS15","Translation / Ribosome",3
"YMR143W","YMR143W   RPS16A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S16A                  S0004751","RPS16A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S16A S0004751","RPS16A","Translation / Ribosome",3
"YDL083C","YDL083C   RPS16B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S16B                  S0002241","RPS16B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S16B S0002241","RPS16B","Translation / Ribosome",3
"YML024W","YML024W   RPS17A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S17A                  S0004486","RPS17A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S17A S0004486","RPS17A","Translation / Ribosome",3
"YDR447C","YDR447C   RPS17B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S17B                  S0002855","RPS17B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S17B S0002855","RPS17B","Translation / Ribosome",3
"YDR450W","YDR450W   RPS18A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S18A                  S0002858","RPS18A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S18A S0002858","RPS18A","Translation / Ribosome",3
"YML026C","YML026C   RPS18B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S18B                  S0004488","RPS18B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S18B S0004488","RPS18B","Translation / Ribosome",3
"YOL121C","YOL121C   RPS19A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S19A                  S0005481","RPS19A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S19A S0005481","RPS19A","Translation / Ribosome",3
"YNL302C","YNL302C   RPS19B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S19B                  S0005246","RPS19B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S19B S0005246","RPS19B","Translation / Ribosome",3
"YLR441C","YLR441C   RPS1A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S1A                   S0004433","RPS1A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S1A S0004433","RPS1A","Translation / Ribosome",3
"YML063W","YML063W   RPS1B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S1B                   S0004528","RPS1B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S1B S0004528","RPS1B","Translation / Ribosome",3
"YGL123W","YGL123W   RPS2       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S2                    S0003091","RPS2","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S2 S0003091","RPS2","Translation / Ribosome",3
"YKR057W","YKR057W   RPS21A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S21A                  S0001765","RPS21A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S21A S0001765","RPS21A","Translation / Ribosome",3
"YJL136C","YJL136C   RPS21B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S21B                  S0003672","RPS21B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S21B S0003672","RPS21B","Translation / Ribosome",3
"YJL190C","YJL190C   RPS22A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S22A                  S0003726","RPS22A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S22A S0003726","RPS22A","Translation / Ribosome",3
"YLR367W","YLR367W   RPS22B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S22B                  S0004359","RPS22B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S22B S0004359","RPS22B","Translation / Ribosome",3
"YGR118W","YGR118W   RPS23A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S23A                  S0003350","RPS23A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S23A S0003350","RPS23A","Translation / Ribosome",3
"YPR132W","YPR132W   RPS23B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S23B                  S0006336","RPS23B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S23B S0006336","RPS23B","Translation / Ribosome",3
"YER074W","YER074W   RPS24A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S24A                  S0000876","RPS24A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S24A S0000876","RPS24A","Translation / Ribosome",3
"YGR027C","YGR027C   RPS25A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S25A                  S0003259","RPS25A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S25A S0003259","RPS25A","Translation / Ribosome",3
"YLR333C","YLR333C   RPS25B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S25B                  S0004325","RPS25B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S25B S0004325","RPS25B","Translation / Ribosome",3
"YGL189C","YGL189C   RPS26A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S26A                  S0003157","RPS26A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S26A S0003157","RPS26A","Translation / Ribosome",3
"YER131W","YER131W   RPS26B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S26B                  S0000933","RPS26B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S26B S0000933","RPS26B","Translation / Ribosome",3
"YKL156W","YKL156W   RPS27A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S27A                  S0001639","RPS27A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S27A S0001639","RPS27A","Translation / Ribosome",3
"YHR021C","YHR021C   RPS27B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S27B                  S0001063","RPS27B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S27B S0001063","RPS27B","Translation / Ribosome",3
"YOR167C","YOR167C   RPS28A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S28A                  S0005693","RPS28A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S28A S0005693","RPS28A","Translation / Ribosome",3
"YLR264W","YLR264W   RPS28B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S28B                  S0004254","RPS28B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S28B S0004254","RPS28B","Translation / Ribosome",3
"YLR388W","YLR388W   RPS29A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S29A                  S0004380","RPS29A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S29A S0004380","RPS29A","Translation / Ribosome",3
"YDL061C","YDL061C   RPS29B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S29B                  S0002219","RPS29B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S29B S0002219","RPS29B","Translation / Ribosome",3
"YNL178W","YNL178W   RPS3       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S3                    S0005122","RPS3","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S3 S0005122","RPS3","Translation / Ribosome",3
"YOR182C","YOR182C   RPS30B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S30B                  S0005708","RPS30B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S30B S0005708","RPS30B","Translation / Ribosome",3
"YLR167W","YLR167W   RPS31      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S31                   S0004157","RPS31","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S31 S0004157","RPS31","Translation / Ribosome",3
"YJR145C","YJR145C   RPS4A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S4A                   S0003906","RPS4A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S4A S0003906","RPS4A","Translation / Ribosome",3
"YHR203C","YHR203C   RPS4B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S4B                   S0001246","RPS4B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S4B S0001246","RPS4B","Translation / Ribosome",3
"YJR123W","YJR123W   RPS5       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S5                    S0003884","RPS5","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S5 S0003884","RPS5","Translation / Ribosome",3
"YPL090C","YPL090C   RPS6A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S6A                   S0006011","RPS6A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S6A S0006011","RPS6A","Translation / Ribosome",3
"YBR181C","YBR181C   RPS6B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S6B                   S0000385","RPS6B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S6B S0000385","RPS6B","Translation / Ribosome",3
"YOR096W","YOR096W   RPS7A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S7A                   S0005622","RPS7A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S7A S0005622","RPS7A","Translation / Ribosome",3
"YNL096C","YNL096C   RPS7B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S7B                   S0005040","RPS7B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S7B S0005040","RPS7B","Translation / Ribosome",3
"YBL072C","YBL072C   RPS8A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S8                    S0000168","RPS8A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S8 S0000168","RPS8A","Translation / Ribosome",3
"YER102W","YER102W   RPS8B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S8B                   S0000904","RPS8B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S8B S0000904","RPS8B","Translation / Ribosome",3
"YPL081W","YPL081W   RPS9A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S9A                   S0006002","RPS9A","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S9A S0006002","RPS9A","Translation / Ribosome",3
"YBR189W","YBR189W   RPS9B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN S9B                   S0000393","RPS9B","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S9B S0000393","RPS9B","Translation / Ribosome",3
"YDR087C","YDR087C   RRP1       RRNA PROCESSING                         UNKNOWN                                 S0002494","RRP1","RRNA PROCESSING UNKNOWN S0002494","RRP1","Translation / Ribosome",3
"YHR065C","YHR065C   RRP3       RRNA PROCESSING                         RNA HELICASE                            S0001107","RRP3","RRNA PROCESSING RNA HELICASE S0001107","RRP3","Translation / Ribosome",3
"YDL111C","YDL111C   RRP42      RRNA PROCESSING                         EXORIBONUCLEASE                         S0002269","RRP42","RRNA PROCESSING EXORIBONUCLEASE S0002269","RRP42","Translation / Ribosome",3
"YCR035C","YCR035C   RRP43      RRNA PROCESSING                         EXORIBONUCLEASE                         S0000631","RRP43","RRNA PROCESSING EXORIBONUCLEASE S0000631","RRP43","Translation / Ribosome",3
"YDR280W","YDR280W   RRP45      RRNA PROCESSING                         3'->5' EXORIBONUCLEASE                  S0002688","RRP45","RRNA PROCESSING 3'->5' EXORIBONUCLEASE S0002688","RRP45","Translation / Ribosome",3
"YMR229C","YMR229C   RRP5       RRNA PROCESSING                         UNKNOWN; REQUIRED FOR PRE-RRNA CLEAVAGE S0004842","RRP5","RRNA PROCESSING UNKNOWN; REQUIRED FOR PRE-RRNA CLEAVAGE S0004842","RRP5","Translation / Ribosome",3
"YOR001W","YOR001W   RRP6       RRNA PROCESSING, 5.8S                   UNKNOWN                                 S0005527","RRP6","RRNA PROCESSING, 5.8S UNKNOWN S0005527","RRP6","Translation / Ribosome",3
"YCL031C","YCL031C   RRP7       RRNA PROCESSING                         UNKNOWN                                 S0000536","RRP7","RRNA PROCESSING UNKNOWN S0000536","RRP7","Translation / Ribosome",3
"YOR294W","YOR294W   RRS1       RIBOSOME BIOGENESIS (PUTATIVE)          UNKNOWN                                 S0005820","RRS1","RIBOSOME BIOGENESIS (PUTATIVE) UNKNOWN S0005820","RRS1","Translation / Ribosome",3
"YDR023W","YDR023W   SES1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, SERYL                  S0002430","SES1","PROTEIN SYNTHESIS TRNA SYNTHETASE, SERYL S0002430","SES1","Translation / Ribosome",3
"YLR197W","YLR197W   SIK1       RRNA PROCESSING                         NUCLEOLAR PROTEIN                       S0004187","SIK1","RRNA PROCESSING NUCLEOLAR PROTEIN S0004187","SIK1","Translation / Ribosome",3
"YGR195W","YGR195W   SKI6       RRNA PROCESSING                         EXORIBONUCLEASE                         S0003427","SKI6","RRNA PROCESSING EXORIBONUCLEASE S0003427","SKI6","Translation / Ribosome",3
"YLL011W","YLL011W   SOF1       RRNA PROCESSING                         NUCLEOLAR SNRNP PROTEIN                 S0003934","SOF1","RRNA PROCESSING NUCLEOLAR SNRNP PROTEIN S0003934","SOF1","Translation / Ribosome",3
"YCL054W","YCL054W   SPB1       RIBOSOME BIOGENESIS                     RRNA METHYLTRANSFERASE (PUTATIVE)       S0000559","SPB1","RIBOSOME BIOGENESIS RRNA METHYLTRANSFERASE (PUTATIVE) S0000559","SPB1","Translation / Ribosome",3
"YFL002C","YFL002C   SPB4       RRNA PROCESSING, 25S                    RNA HELICASE                            S0001894","SPB4","RRNA PROCESSING, 25S RNA HELICASE S0001894","SPB4","Translation / Ribosome",3
"YIR012W","YIR012W   SQT1       RIBOSOME BIOGENESIS (PUTATIVE)          UNKNOWN                                 S0001451","SQT1","RIBOSOME BIOGENESIS (PUTATIVE) UNKNOWN S0001451","SQT1","Translation / Ribosome",3
"YNL209W","YNL209W   SSB2       TRANSLATION                             CYTOSOLIC HSP70                         S0005153","SSB2","TRANSLATION CYTOSOLIC HSP70 S0005153","SSB2","Translation / Ribosome",3
"YGL169W","YGL169W   SUA5       PROTEIN SYNTHESIS                       TRANSLATION INITIATION PROTEIN          S0003137","SUA5","PROTEIN SYNTHESIS TRANSLATION INITIATION PROTEIN S0003137","SUA5","Translation / Ribosome",3
"YJR007W","YJR007W   SUI2       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF-2 ALPHS0003767","SUI2","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF-2 ALPHS0003767","SUI2","Translation / Ribosome",3
"YPL237W","YPL237W   SUI3       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF2 BETA S0006158","SUI3","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2 BETA S0006158","SUI3","Translation / Ribosome",3
"YDR172W","YDR172W   SUP35      PROTEIN SYNTHESIS                       TRANSLATION RELEASE FACTOR              S0002579","SUP35","PROTEIN SYNTHESIS TRANSLATION RELEASE FACTOR S0002579","SUP35","Translation / Ribosome",3
"YBR143C","YBR143C   SUP45      PROTEIN SYNTHESIS                       TRANSLATION RELEASE FACTOR ERF1 SUBUNIT S0000347","SUP45","PROTEIN SYNTHESIS TRANSLATION RELEASE FACTOR ERF1 SUBUNIT S0000347","SUP45","Translation / Ribosome",3
"YPR080W","YPR080W   TEF1       PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EF-1 ALPH S0006284","TEF1","PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF-1 ALPH S0006284","TEF1","Translation / Ribosome",3
"YBR118W","YBR118W   TEF2       PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EF-1 ALPHAS0000322","TEF2","PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF-1 ALPHAS0000322","TEF2","Translation / Ribosome",3
"YKL081W","YKL081W   TEF4       PROTEIN SYNTHESIS                       TRANSLATION ELONGATION FACTOR EF-1GAMMA S0001564","TEF4","PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF-1GAMMA S0001564","TEF4","Translation / Ribosome",3
"YIL078W","YIL078W   THS1       PROTEIN SYNTHESIS                       TRNA SYNTHETASE, THREONYL               S0001340","THS1","PROTEIN SYNTHESIS TRNA SYNTHETASE, THREONYL S0001340","THS1","Translation / Ribosome",3
"YKR059W","YKR059W   TIF1       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF4A     S0001767","TIF1","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF4A S0001767","TIF1","Translation / Ribosome",3
"YJL138C","YJL138C   TIF2       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF4A     S0003674","TIF2","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF4A S0003674","TIF2","Translation / Ribosome",3
"YPR163C","YPR163C   TIF3       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF4B     S0006367","TIF3","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF4B S0006367","TIF3","Translation / Ribosome",3
"YMR146C","YMR146C   TIF34      PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3, P39 S0004754","TIF34","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3, P39 S0004754","TIF34","Translation / Ribosome",3
"YDR429C","YDR429C   TIF35      PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3 SUBUNS0002837","TIF35","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 SUBUNS0002837","TIF35","Translation / Ribosome",3
"YPR041W","YPR041W   TIF5       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF5      S0006245","TIF5","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF5 S0006245","TIF5","Translation / Ribosome",3
