gene_id,scer_gene_name,functional_category,category_order,desc_raw
YNL186W,UBP10,Protein folding / QC,2,"PROTEIN DEGRADATION, UBIQUITIN-MEDIATED UBIQUITIN C-TERMINAL HYDROLASE S0005130"
YMR304W,UBP15,Protein folding / QC,2,"PROTEIN DEGRADATION, UBIQUITIN-MEDIATED PUTATIVE DEUBIQUITINATING ENZYME S0004920"
YJL163C,YJL163C,Protein folding / QC,2,UNKNOWN; SIMILAR TO BOVINE PREFOLDIN SUBS0003699
YIR039C,YPS6,Protein folding / QC,2,PROTEIN DEGRADATION GPI-ANCHORED ASPARTIC PROTEASE S0001478
YPL160W,CDC60,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, LEUCYL S0006081"
YGL078C,DBP3,Translation / Ribosome,3,RRNA PROCESSING RNA HELICASE S0003046
YKR024C,DBP7,Translation / Ribosome,3,RIBOSOME BIOGENESIS PUTATIVE RNA HELICASE S0001732
YHR019C,DED81,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, ARPARAGINYL S0001061"
YPL266W,DIM1,Translation / Ribosome,3,"RRNA PROCESSING, 18S DIMETHYLADENOSINE TRANSFERASE S0006187"
YLL008W,DRS1,Translation / Ribosome,3,RRNA PROCESSING RNA HELICASE S0003931
YAL003W,EFB1,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF1-BETA S0000003
YDR385W,EFT2,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EEF2 S0002793
YLR060W,FRS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, PHENYLALANYL, SUBUNIT S0004050"
YFL022C,FRS2,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, PHENYLALANYL S0001872"
YHR089C,GAR1,Translation / Ribosome,3,RRNA PROCESSING SNORNP PROTEIN S0001131
YOR260W,GCD1,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B GAMMS0005786
YNL062C,GCD10,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 RNA-BS0005006
YER025W,GCD11,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2 GAMMAS0000827
YJL125C,GCD14,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION REPRESSOR OF GCN4 S0003661
YGR083C,GCD2,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0003315
YDR211W,GCD6,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0002619
YLR291C,GCD7,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B SUBUS0004282
YKR026C,GCN3,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2B S0001734
YOR168W,GLN4,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, GLUTAMINYL S0005694"
YBR121C,GRS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHASE, GLYCYL S0000325"
YJL033W,HCA4,Translation / Ribosome,3,RRNA PROCESSING RNA HELICASE S0003570
YPR033C,HTS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, HISTIDYL S0006237"
YHR148W,IMP3,Translation / Ribosome,3,RRNA PROCESSING U3 SNORNP PROTEIN S0001191
YNL075W,IMP4,Translation / Ribosome,3,RRNA PROCESSING U3 SNORNP PROTEIN S0005019
YDR037W,KRS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, LYSYL S0002444"
YER127W,LCP5,Translation / Ribosome,3,"RRNA PROCESSING, PUTATIVE UNKNOWN S0000929"
YKL205W,LOS1,Translation / Ribosome,3,TRNA SPLICING NUCLEAR PORE PROTEIN S0001688
YGR264C,MES1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, METHIONYL S0003496"
YJR002W,MPP10,Translation / Ribosome,3,RRNA PROCESSING U3 SNORNP PROTEIN S0003762
YKL142W,MRP8,Translation / Ribosome,3,"PROTEIN SYNTHESIS RIBOSOMAL PROTEIN, MITOCHONDRIAL SMALL SS0001625"
YPL211W,NIP7,Translation / Ribosome,3,RRNA PROCESSING UNKNOWN S0006132
YPL043W,NOP4,Translation / Ribosome,3,RRNA PROCESSING RNA BINDING PROTEIN S0005964
YOR310C,NOP58,Translation / Ribosome,3,RIBOSOME BIOGENESIS NUCLEOLAR PROTEIN S0005837
YNL163C,PROTEIN,Translation / Ribosome,3,SYNTHESIS TRANSLATION ELONGATION FACTOR EEF4 S0005107
YMR302C,PRP12,Translation / Ribosome,3,RRNA PROCESSING MITOCHONDRIAL INNER MEMBRANE PROTEIN S0004917
YOR361C,PRT1,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 SUBUNS0005888
YPL212C,PUS1,Translation / Ribosome,3,TRNA PROCESSING PSEUDOURIDINE SYNTHASE S0006133
YNL292W,PUS4,Translation / Ribosome,3,TRNA PROCESSING PSEUDOURIDINE SYNTHASE S0005236
YNL002C,RLP7,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L7 (PUTATIVE) S0004947
YMR239C,RNT1,Translation / Ribosome,3,RRNA PROCESSING RIBONUCLEASE III S0004852
YGL171W,ROK1,Translation / Ribosome,3,RRNA PROCESSING RNA HELICASE S0003139
YBR079C,RPG1,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 S0000283
YLR075W,RPL10,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L10 S0004065
YPR102C,RPL11A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L11A S0006306
YGR085C,RPL11B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L11B S0003317
YEL054C,RPL12A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L12A S0000780
YDR418W,RPL12B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L12B S0002826
YDL082W,RPL13A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L13A S0002240
YMR142C,RPL13B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L13B S0004750
YKL006W,RPL14A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L14A S0001489
YHL001W,RPL14B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L14B S0000993
YLR029C,RPL15A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L15A S0004019
YMR121C,RPL15B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L15B S0004728
YIL133C,RPL16A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L16A S0001395
YNL069C,RPL16B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L16B S0005013
YKL180W,RPL17A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L17A S0001663
YJL177W,RPL17B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L17B S0003713
YOL120C,RPL18A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L18A S0005480
YNL301C,RPL18B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L18B S0005245
YBL027W,RPL19B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L19B S0000123
YPL220W,RPL1A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L1A S0006141
YGL135W,RPL1B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L1B S0003103
YMR242C,RPL20A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L20A S0004855
YOR312C,RPL20B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L20B S0005839
YBR191W,RPL21A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L21A S0000395
YPL079W,RPL21B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L21B S0006000
YLR061W,RPL22A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L22A S0004051
YBL087C,RPL23A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23A S0000183
YER117W,RPL23B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23B S0000919
YGL031C,RPL24A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L24A S0002999
YGR148C,RPL24B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L24B S0003380
YOL127W,RPL25,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L25 S0005487
YLR344W,RPL26A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L26A S0004336
YGR034W,RPL26B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L26B S0003266
YHR010W,RPL27A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L27A S0001052
YDR471W,RPL27B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L27B S0002879
YGL103W,RPL28,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L28 S0003071
YIL018W,RPL2B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L2B S0001280
YOR063W,RPL3,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L3 S0005589
YGL030W,RPL30,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L30 S0002998
YDL075W,RPL31A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L31A S0002233
YBL092W,RPL32,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23 S0000188
YPL143W,RPL33A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L33A S0006064
YOR234C,RPL33B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L33B S0005760
YIL052C,RPL34B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L34B S0001314
YDL191W,RPL35A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L35A S0002350
YDL136W,RPL35B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L35B S0002295
YMR194W,RPL36A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L36A S0004807
YLR185W,RPL37A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L37A S0004175
YDR500C,RPL37B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L37B S0002908
YLR325C,RPL38,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L38 S0004317
YJL189W,RPL39,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L39 S0003725
YIL148W,RPL40A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L40A S0001410
YKR094C,RPL40B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L40B S0001802
YNL162W,RPL42A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L42A S0005106
YHR141C,RPL42B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L42B S0001183
YPR043W,RPL43A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L34A S0006247
YBR031W,RPL4A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L4A S0000235
YDR012W,RPL4B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L4B S0002419
YML073C,RPL6A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L6A S0004538
YLR448W,RPL6B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L6B S0004440
YGL076C,RPL7A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L7A S0003044
YPL198W,RPL7B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L7B S0006119
YHL033C,RPL8A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L8A S0001025
YLL045C,RPL8B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L8B S0003968
YGL147C,RPL9A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L9A S0003115
YNL067W,RPL9B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L9B S0005011
YLR340W,RPP0,Translation / Ribosome,3,"PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L10, ACIDIC S0004332"
YDL081C,RPP1A,Translation / Ribosome,3,"PROTEIN SYNTHESIS RIBOSOMAL PROTEIN P1A, ACIDIC S0002239"
YOL039W,RPP2A,Translation / Ribosome,3,"PROTEIN SYNTHESIS RIBOSOMAL PROTEIN P2A/L44, ACIDIC S0005399"
YDR382W,RPP2B,Translation / Ribosome,3,"PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L45, ACIDIC S0002790"
YGR214W,RPS0A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S0A S0003446
YLR048W,RPS0B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S0B S0004038
YOR293W,RPS10A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S10A S0005819
YMR230W,RPS10B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S10B S0004843
YDR025W,RPS11A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S11A S0002432
YBR048W,RPS11B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S11B S0000252
YOR369C,RPS12,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S12 S0005896
YDR064W,RPS13,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S13 S0002471
YCR031C,RPS14A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S14A S0000627
YJL191W,RPS14B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S14B S0003727
YOL040C,RPS15,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S15 S0005400
YMR143W,RPS16A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S16A S0004751
YDL083C,RPS16B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S16B S0002241
YML024W,RPS17A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S17A S0004486
YDR447C,RPS17B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S17B S0002855
YDR450W,RPS18A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S18A S0002858
YML026C,RPS18B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S18B S0004488
YOL121C,RPS19A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S19A S0005481
YNL302C,RPS19B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S19B S0005246
YLR441C,RPS1A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S1A S0004433
YML063W,RPS1B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S1B S0004528
YGL123W,RPS2,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S2 S0003091
YKR057W,RPS21A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S21A S0001765
YJL136C,RPS21B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S21B S0003672
YJL190C,RPS22A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S22A S0003726
YLR367W,RPS22B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S22B S0004359
YGR118W,RPS23A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S23A S0003350
YPR132W,RPS23B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S23B S0006336
YER074W,RPS24A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S24A S0000876
YGR027C,RPS25A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S25A S0003259
YLR333C,RPS25B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S25B S0004325
YGL189C,RPS26A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S26A S0003157
YER131W,RPS26B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S26B S0000933
YKL156W,RPS27A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S27A S0001639
YHR021C,RPS27B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S27B S0001063
YOR167C,RPS28A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S28A S0005693
YLR264W,RPS28B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S28B S0004254
YLR388W,RPS29A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S29A S0004380
YDL061C,RPS29B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S29B S0002219
YNL178W,RPS3,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S3 S0005122
YOR182C,RPS30B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S30B S0005708
YLR167W,RPS31,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S31 S0004157
YJR145C,RPS4A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S4A S0003906
YHR203C,RPS4B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S4B S0001246
YJR123W,RPS5,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S5 S0003884
YPL090C,RPS6A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S6A S0006011
YBR181C,RPS6B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S6B S0000385
YOR096W,RPS7A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S7A S0005622
YNL096C,RPS7B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S7B S0005040
YBL072C,RPS8A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S8 S0000168
YER102W,RPS8B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S8B S0000904
YPL081W,RPS9A,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S9A S0006002
YBR189W,RPS9B,Translation / Ribosome,3,PROTEIN SYNTHESIS RIBOSOMAL PROTEIN S9B S0000393
YDR087C,RRP1,Translation / Ribosome,3,RRNA PROCESSING UNKNOWN S0002494
YHR065C,RRP3,Translation / Ribosome,3,RRNA PROCESSING RNA HELICASE S0001107
YDL111C,RRP42,Translation / Ribosome,3,RRNA PROCESSING EXORIBONUCLEASE S0002269
YCR035C,RRP43,Translation / Ribosome,3,RRNA PROCESSING EXORIBONUCLEASE S0000631
YDR280W,RRP45,Translation / Ribosome,3,RRNA PROCESSING 3'->5' EXORIBONUCLEASE S0002688
YMR229C,RRP5,Translation / Ribosome,3,RRNA PROCESSING UNKNOWN; REQUIRED FOR PRE-RRNA CLEAVAGE S0004842
YOR001W,RRP6,Translation / Ribosome,3,"RRNA PROCESSING, 5.8S UNKNOWN S0005527"
YCL031C,RRP7,Translation / Ribosome,3,RRNA PROCESSING UNKNOWN S0000536
YOR294W,RRS1,Translation / Ribosome,3,RIBOSOME BIOGENESIS (PUTATIVE) UNKNOWN S0005820
YDR023W,SES1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, SERYL S0002430"
YLR197W,SIK1,Translation / Ribosome,3,RRNA PROCESSING NUCLEOLAR PROTEIN S0004187
YGR195W,SKI6,Translation / Ribosome,3,RRNA PROCESSING EXORIBONUCLEASE S0003427
YLL011W,SOF1,Translation / Ribosome,3,RRNA PROCESSING NUCLEOLAR SNRNP PROTEIN S0003934
YCL054W,SPB1,Translation / Ribosome,3,RIBOSOME BIOGENESIS RRNA METHYLTRANSFERASE (PUTATIVE) S0000559
YFL002C,SPB4,Translation / Ribosome,3,"RRNA PROCESSING, 25S RNA HELICASE S0001894"
YIR012W,SQT1,Translation / Ribosome,3,RIBOSOME BIOGENESIS (PUTATIVE) UNKNOWN S0001451
YNL209W,SSB2,Translation / Ribosome,3,TRANSLATION CYTOSOLIC HSP70 S0005153
YGL169W,SUA5,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION PROTEIN S0003137
YJR007W,SUI2,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF-2 ALPHS0003767
YPL237W,SUI3,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF2 BETA S0006158
YDR172W,SUP35,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION RELEASE FACTOR S0002579
YBR143C,SUP45,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION RELEASE FACTOR ERF1 SUBUNIT S0000347
YPR080W,TEF1,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF-1 ALPH S0006284
YBR118W,TEF2,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF-1 ALPHAS0000322
YKL081W,TEF4,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EF-1GAMMA S0001564
YIL078W,THS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, THREONYL S0001340"
YKR059W,TIF1,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF4A S0001767
YJL138C,TIF2,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF4A S0003674
YPR163C,TIF3,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF4B S0006367
YMR146C,TIF34,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3, P39 S0004754"
YDR429C,TIF35,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 SUBUNS0002837
YPR041W,TIF5,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF5 S0006245
YPR016C,TIF6,Translation / Ribosome,3,RIBOSOME BIOGENESIS (PUTATIVE) UNKNOWN; SIMILAR TO HUMAN TRANSLATION INS0006220
YDR120C,TRM1,Translation / Ribosome,3,TRNA PROCESSING TRNA METHYLTRANSFERASE S0002527
YGR185C,TYS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, TYROSYL S0003417"
YGR094W,VAS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA SYNTHETASE, VALYL S0003326"
YOL097C,WRS1,Translation / Ribosome,3,"PROTEIN SYNTHESIS TRNA LIGASE, TRYPTOPHAN S0005457"
YLR249W,YEF3,Translation / Ribosome,3,PROTEIN SYNTHESIS TRANSLATION ELONGATION FACTOR EEF3 S0004239
YGR201C,YGR201C,Translation / Ribosome,3,UNKNOWN; SIMILAR TO TRANSLATION ELONGATIS0003433
YHR020W,YHR020W,Translation / Ribosome,3,UNKNOWN; SIMILAR TO PROLYL-TRNA SYNTHETAS0001062
YMR155W,YMR155W,Translation / Ribosome,3,UNKNOWN; SIMILAR TO E. COLI RIBOSOMAL PRS0004764
YOR276W,CAF20,Gene expression (RNA),4,PROTEIN SYNTHESIS MRNA CAP-BINDING PROTEIN (EIF4F) 20K SUBS0005802
YDR440W,DOT1,Gene expression (RNA),4,"MEIOSIS, CHECKPOINT; TRANSCRIPTIONAL SILUNKNOWN S0002848"
YPL037C,EGD1,Gene expression (RNA),4,TRANSCRIPTION REGULATOR OF POL II TRANSCRIBED GENES; ES0005958
YMR277W,FCP1,Gene expression (RNA),4,TRANSCRIPTION TFIIF INTERACTING COMPONENT OF CTD PHOSPS0004890
YBR142W,MAK5,Gene expression (RNA),4,MRNA SPLICING RNA HELICASE S0000346
YKL009W,MRT4,Gene expression (RNA),4,MRNA DECAY UNKNOWN S0001492
YJL050W,MTR4,Gene expression (RNA),4,MRNA EXPORT RNA HELICASE S0003586
YHR170W,NMD3,Gene expression (RNA),4,"MRNA DECAY, NONSENSE-MEDIATED NAM7P/UPF1P-INTERACTING PROTEIN S0001213"
YER165W,PAB1,Gene expression (RNA),4,MRNA 3'-END PROCESSING CLEAVAGE/POLYADENYLATION FACTOR CF IA COS0000967
YGL120C,PRP43,Gene expression (RNA),4,MRNA SPLICING SPLICEOSOME DISASSEMBLY FACTOR; RNA HELIS0003088
YJR063W,RPA12,Gene expression (RNA),4,TRANSCRIPTION RNA POLYMERASE I SUBUNIT S0003824
YPR010C,RPA135,Gene expression (RNA),4,TRANSCRIPTION RNA POLYMERASE I 135 KD SUBUNIT S0006214
YJL148W,RPA34,Gene expression (RNA),4,TRANSCRIPTION RNA POLYMERASE I SUBUNIT S0003684
YNL248C,RPA49,Gene expression (RNA),4,TRANSCRIPTION RNA POLYMERASE I 46 KD SUBUNIT S0005192
YOR210W,RPB10,Gene expression (RNA),4,"TRANSCRIPTION SHARED SUBUNIT OF RNA POLYMERASES I, II,S0005736"
YIL021W,RPB3,Gene expression (RNA),4,TRANSCRIPTION RNA POLYMERASE II 45 KDA SUBUNI S0001283
YBR154C,RPB5,Gene expression (RNA),4,"TRANSCRIPTION SHARED SUBUNIT OF RNA POLYMERASES I, II,S0000358"
YOR224C,RPB8,Gene expression (RNA),4,"TRANSCRIPTION SHARED SUBUNIT OF RNA POLYMERASE I,II, AS0005750"
