gene_id,scer_gene_name,functional_category,category_order,desc_raw
YKL122C,SRP21,Membrane / Trafficking,6,SECRETION SIGNAL RECOGNITION PARTICLE SUBUNIT S0001605
YBR283C,SSH1,Membrane / Trafficking,6,SECRETION ER PROTEIN TRANSLOCATION COMPLEX SUBUNITS0000487
YLR250W,SSP120,Membrane / Trafficking,6,SECRETION UNKNOWN S0004240
YER118C,SSU81,Membrane / Trafficking,6,"SIGNALING, HIGH OSMOLARITY PATHWAY TRANSMEMBRANE OSMOSENSOR S0000920"
YDR513W,TTR1,Membrane / Trafficking,6,ELECTRON CARRIER GLUTAREDOXIN S0002921
YMR197C,VTI1,Membrane / Trafficking,6,SECRETION CIS-GOLGI V-SNARE S0004810
YKL065C,YET1,Membrane / Trafficking,6,UNKNOWN ER 25 KDA TRANSMEMBRANE PROTEIN S0001548
YGL104C,YGL104C,Membrane / Trafficking,6,UNKNOWN; SIMILAR TO GLUCOSE TRANSPORT PRS0003072
YJL198W,YJL198W,Membrane / Trafficking,6,"UNKNOWN; SIMILAR TO PHO87P, MEMBER OF THS0003734"
YOR374W,ALD4,Mitochondria / Respiration,7,ETHANOL UTILIZATION MITOCHONDRIAL ALDEHYDE DEHYDROGENASE S0005901
YER141W,COX15,Mitochondria / Respiration,7,RESPIRATION CYTOCHROME OXIDASE ASSEMBLY FACTOR S0000943
YEL039C,CYC7,Mitochondria / Respiration,7,RESPIRATION CYTOCHROME C (ISOFORM 2) S0000765
YMR081C,ISF1,Mitochondria / Respiration,7,"RNA SPLICING, MITOCHONDRIAL INTERACTS WITH NAM7P S0004686"
YKL093W,MBR1,Mitochondria / Respiration,7,MITOCHONDRIAL BIOGENESIS UNKNOWN S0001576
YBR026C,MRF1,Mitochondria / Respiration,7,' MITOCHONDRIAL RESPIRATION ARS-BINDING PROTEIN S0000230
YJL208C,NUC1,Mitochondria / Respiration,7,MITOCHONDRIAL RECOMBINATION ENDONUCLEASE S0003744
YIL136W,OM45,Mitochondria / Respiration,7,(PUTATIVE) MITOCHONDRIAL ORGANIZATION OUTER MITOCHONDRIAL MEMBRANE PROTEIN S0001398
YNL055C,POR1,Mitochondria / Respiration,7,TRANSPORT MITOCHONDRIAL OUTER MEMBRANE PORIN S0005000
YGR008C,STF2,Mitochondria / Respiration,7,ATP SYNTHESIS ATPASE STABILIZING FACTOR S0003240
YER053C,YER053C,Mitochondria / Respiration,7,UNKNOWN; SIMILAR TO C. ELEGANS MITOCHONDS0000855
YNL141W,AAH1,Carbon metabolism,8,PURINE METABOLISM ADENINE DEAMINASE S0005085
YBR149W,ARA1,Carbon metabolism,8,ARABINOSE METABOLISM ARABINOSE DEHYDROGENASE S0000353
YHR137W,ARO9,Carbon metabolism,8,AROMATIC AMINO ACID METABOLISM AROMATIC AMINO ACID AMINOTRANSFERASE II S0001179
YPR026W,ATH1,Carbon metabolism,8,TREHALOSE METABOLISM VACUOLAR ACID TREHALASE S0006230
YAL038W,CDC19,Carbon metabolism,8,GLYCOLYSIS PYRUVATE KINASE S0000036
YNR001C,CIT1,Carbon metabolism,8,TCA CYCLE CITRATE SYNTHASE S0005284
YHR144C,DCD1,Carbon metabolism,8,PYRIMIDINE METABOLISM DEOXYCYTIDYLATE DEAMINASE S0001187
YBR252W,DUT1,Carbon metabolism,8,PYRIMIDINE METABOLISM DUTP PYROPHOSPHATASE S0000456
YOR317W,FAA1,Carbon metabolism,8,FATTY ACID METABOLISM LONG CHAIN FATTY ACYL:COA SYNTHETASE S0005844
YJL155C,FBP26,Carbon metabolism,8,"FRUCTOSE METABOLISM FRUCTOSE-2,6-BISPHOSPHATASE S0003691"
YKR009C,FOX2,Carbon metabolism,8,FATTY ACID METABOLISM PEROXISOMAL BETA-OXIDATION PROTEIN S0001717
YKR058W,GLG1,Carbon metabolism,8,GLYCOGEN METABOLISM GLYCOGEN SYNTHESIS INITIATOR S0001766
YCL040W,GLK1,Carbon metabolism,8,GLYCOLYSIS GLUCOKINASE S0000545
YML004C,GLO1,Carbon metabolism,8,AMINO ACID METABOLISM GLYOXALASE I S0004463
YDL022W,GPD1,Carbon metabolism,8,GLYCEROL METABOLISM GLYCEROL-3-PHOSPHATE DEHYDROGENAS S0002180
YDL021W,GPM2,Carbon metabolism,8,GLYCOLYSIS PHOSPHOGLYCERATE MUTASE S0002179
YLR258W,GSY2,Carbon metabolism,8,GLYCOGEN METABOLISM GLYCOGEN SYNTHASE S0004248
YIR038C,GTT1,Carbon metabolism,8,GLUTATHIONE METABOLISM GLUTATHIONE TRANSFERASE S0001477
YMR217W,GUA1,Carbon metabolism,8,PURINE METABOLISM GMP SYNTHASE S0004830
YDR454C,GUK1,Carbon metabolism,8,GUANINE NUCLEOTIDE METABOLISM GUANYLATE KINASE S0002862
YFR053C,HXK1,Carbon metabolism,8,GLYCOLYSIS HEXOKINASE I S0001949
YNL009W,IDP3,Carbon metabolism,8,TCA CYCLE ISOCITRATE DEHYDROGENASE S0004954
YBR084W,MIS1,Carbon metabolism,8,FOLATE METABOLISM C1-TETRAHYDROFOLATE SYNTHASE S0000288
YNR043W,MVD1,Carbon metabolism,8,STEROL METABOLISM MEVALONATE PYROPHOSPHATE DECARBOXYLASE S0005326
YDR001C,NTH1,Carbon metabolism,8,"TREHALOSE METABOLISM ALPHA, ALPHA-TREHALASE S0002408"
YLR044C,PDC1,Carbon metabolism,8,GLYCOLYSIS PYRUVATE DECARBOXYLASE S0004034
YLR134W,PDC5,Carbon metabolism,8,GLYCOLYSIS PYRUVATE DECARBOXYLASE S0004124
YGL248W,PDE1,Carbon metabolism,8,"PURINE METABOLISM 3',5'-CYCLIC-NUCLEOTIDE PHOSPHODIESTERASS0003217"
YIL107C,PFK26,Carbon metabolism,8,FRUCTOSE AND MANNOSE METABOLISM 6-PHOSPHOFRUCTOSE-2-KINASE S0001369
YMR105C,PGM2,Carbon metabolism,8,GLYCOLYSIS PHOSPHOGLUCOMUTASE S0004711
YDR465C,RMT2,Carbon metabolism,8,ARGININE METABOLISM ARGININE METHYLTRANSFERASE S0002873
YLR372W,SUR4,Carbon metabolism,8,FATTY ACID METABOLISM CONVERSION OF 24-CARBON TO 26-CARBON FATS0004364
YBR126C,TPS1,Carbon metabolism,8,TREHALOSE METABOLISM TREHALOSE-6-PHOSPHATE SYNTHAS S0000330
YDR074W,TPS2,Carbon metabolism,8,TREHALOSE METABOLISM TREHALOSE-6-PHOSPHATE PHOSPHATASE S0002481
YML100W,TSL1,Carbon metabolism,8,TREHALOSE METABOLISM TREHALOSE-6-PHOSPHATE SYNTHASE/PHOSPHATAS0004566
YGR019W,UGA1,Carbon metabolism,8,GABA METABOLISM 4-AMINOBUTYRATE AMINOTRANSFERASE (GABA TS0003251
YKL035W,UGP1,Carbon metabolism,8,"PYRIMIDINE METABOLISM UGP1, UDP-GLUCOSE PYROPHOSPHORYLASE S0001518"
YKL067W,YNK1,Carbon metabolism,8,NUCLEOTIDE METABOLISM NUCLEOSIDE DIPHOSPHATE KINASE S0001550
YNL134C,YNL134C,Carbon metabolism,8,UNKNOWN; SIMILAR TO C. CARBONUM TOXD GENS0005078
YML022W,APT1,Biosynthesis (AA/Nuc),9,PURINE BIOSYNTHESIS ADENINE PHOSPHORIBOSYLTRANSFERASE S0004484
YGL148W,ARO2,Biosynthesis (AA/Nuc),9,AROMATIC AMINO ACID BIOSYNTHESIS CHORISMATE SYNTHASE S0003116
YBR249C,ARO4,Biosynthesis (AA/Nuc),9,AROMATIC AMINO ACID BIOSYNTHESIS 2-DEHYDRO-3-DEOXYPHOSPHOHEPTONATE ALDOLAS0000453
YPR060C,ARO7,Biosynthesis (AA/Nuc),9,AROMATIC AMINO ACID BIOSYNTHESIS CHORISMATE MUTASE S0006264
YPR145W,ASN1,Biosynthesis (AA/Nuc),9,ASPARAGINE BIOSYNTHESIS ASPARAGINE SYNTHETASE S0006349
YGR124W,ASN2,Biosynthesis (AA/Nuc),9,ASPARAGINE BIOSYNTHESIS ASPARAGINE SYNTHETASE S0003356
YJR025C,BNA1,Biosynthesis (AA/Nuc),9,NICOTINIC ACID BIOSYNTHESIS 3-HYDROXYANTHRANILIC ACID DIOXYGENASE S0003786
YDR204W,COQ4,Biosynthesis (AA/Nuc),9,UBIQUINONE BIOSYNTHESIS UNKNOWN S0002612
YML110C,COQ5,Biosynthesis (AA/Nuc),9,UBIQUINONE BIOSYNTHESIS METHYLTRANSFERASE S0004578
YLR172C,DPH5,Biosynthesis (AA/Nuc),9,DIPHTHAMIDE BIOSYNTHESIS DIPHTHAMIDE METHYLTRANSFERASE S0004162
YHR068W,DYS1,Biosynthesis (AA/Nuc),9,HYPUSINE BIOSYNTHESIS DEOXYHYPUSINE SYNTHASE S0001110
YLR299W,ECM38,Biosynthesis (AA/Nuc),9,GLUTATHIONE BIOSYNTHESIS GAMMA-GLUTAMYLTRANSFERASE S0004290
YHR128W,FUR1,Biosynthesis (AA/Nuc),9,PYRIMIDINE SALVAGE PATHWAY URACIL PHOSPHORIBOSYLTRANSFERASE S0001170
YIL020C,HIS6,Biosynthesis (AA/Nuc),9,HISTIDINE BIOSYNTHESIS PHOSPHORIBOSYL IMIDAZOLECARBOXAMIDE ISOMS0001282
YOR209C,NPT1,Biosynthesis (AA/Nuc),9,NAD BIOSYNTHESIS NICOTINATE PHOSPHORIBOSYLTRANSFERASE S0005735
YDR300C,PRO1,Biosynthesis (AA/Nuc),9,PROLINE BIOSYNTHESIS GLUTAMATE 5-KINASE S0002708
YKL181W,PRS1,Biosynthesis (AA/Nuc),9,"PURINE, PYRIMIDINE, TRYPTOPHAN AND HISTIPHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE S0001664"
YHL011C,PRS3,Biosynthesis (AA/Nuc),9,PURINE BIOSYNTHESIS RIBOSE-PHOSPHATE PYROPHOSPHOKINASE 3 S0001003
YHR216W,PUR5,Biosynthesis (AA/Nuc),9,PURINE BIOSYNTHESIS IMP DEHYDROGENASE S0001259
YER070W,RNR1,Biosynthesis (AA/Nuc),9,DNA REPLICATION RIBONUCLEOTIDE REDUCTASE S0000872
YER043C,SAH1,Biosynthesis (AA/Nuc),9,METHIONINE BIOSYNTHESIS S-ADENOSYL-L-HOMOCYSTEINE HYDROLASE S0000845
YLR146C,SPE4,Biosynthesis (AA/Nuc),9,SPERMINE BIOSYNTHESIS SPERMINE SYNTHASE S0004136
YHR025W,THR1,Biosynthesis (AA/Nuc),9,THREONINE BIOSYNTHESIS HOMOSERINE KINASE S0001067
YCR053W,THR4,Biosynthesis (AA/Nuc),9,THREONINE BIOSYNTHESIS THREONINE SYNTHASE S0000649
YMR271C,URA10,Biosynthesis (AA/Nuc),9,PYRIMIDINE BIOSYNTHESIS OROTATE PHOSPHORIBOSYLTRANSFERASE S0004884
YML106W,URA5,Biosynthesis (AA/Nuc),9,PYRIMIDINE BIOSYNTHESIS OROTATE PHOSPHORIBOSYLTRANSFERASE S0004574
YBL039C,URA7,Biosynthesis (AA/Nuc),9,PYRIMIDINE BIOSYNTHESIS CTP SYNTHASE 1 S0000135
YGL180W,APG1,Autophagy / Vacuole,10,AUTOPHAGY PROTEIN KINASE S0003148
YBL078C,AUT7,Autophagy / Vacuole,10,AUTOPHAGY MICROTUBULE-ASSOCIATED PROTEIN (PUTATIVES0000174
YEL005C,VAB31,Autophagy / Vacuole,10,VACUOLAR PROTEIN TARGETING (PUTATIVE) UNKNOWN; VAC8P BINDING PROTEIN S0000731
YKL080W,VMA5,Autophagy / Vacuole,10,VACUOLAR ACIDIFICATION VACUOLAR H+-ATPASE V1 SECTOR SUBUNIT S0001563
YLR447C,VMA6,Autophagy / Vacuole,10,VACUOLAR ACIDIFICATION VACUOLAR H+-ATPASE V0 DOMAIN 36 KD SUBUNS0004439
YBR204C,YBR204C,Autophagy / Vacuole,10,UNKNOWN; SIMILAR TO PEROXISOMAL SERINE-AS0000408
YDR085C,AFR1,Other,11,"MATING CYTOSKELETAL PROTEIN, SIMILAR TO ARRESTIS0002492"
YMR170C,ALD2,Other,11,ETHANOL UTILIZATION ALDEHYDE DEHYDROGENASE S0004780
YMR169C,ALD3,Other,11,ETHANOL UTILIZATION ALDEHYDE DEHYDROGENASE S0004779
YLR370C,ARC18,Other,11,CYTOSKELETON CORTICAL ACTIN PATCH INTEGRITY; ARP2/3 CS0004362
YHR013C,ARD1,Other,11,PROTEIN PROCESSING PROTEIN N-ACETYLTRANSFERASE SUBUNIT S0001055
YPR034W,ARP7,Other,11,CYTOSKELETON (PUTATIVE) ACTIN-RELATED PROTEIN S0006238
YMR116C,ASC1,Other,11,PROTEIN SYNTHESIS (PUTATIVE) G-BETA LIKE PROTEIN S0004722
YDR321W,ASP1,Other,11,ASPARAGINE UTILIZATION L-ASPARAGINASE I S0002729
YLR433C,CNA1,Other,11,SIGNALING CALCINEURIN CATALYTIC A SUBUNIT S0004425
YHR193C,EGD2,Other,11,PROTEIN SYNTHESIS (PUTATIVE) HOMOLOG OF HUMAN NASCENT-POLYPEPTIDE-ASSS0001236
YBR247C,ENP1,Other,11,PROTEIN GLYCOSYLATION PUTATIVE OLIGOSACCHARYLTRANSFERASE COMPLS0000451
YDR272W,GLO2,Other,11,METHYLGLYOXAL RESISTANCE GLYOXALASE II S0002680
YGR256W,GND2,Other,11,PENTOSE PHOSPHATE CYCLE 6-PHOSPHOGLUCONATE DEHYDROGENASE S0003488
YLR293C,GSP1,Other,11,"NUCLEAR PROTEIN TARGETING GTP-BINDING PROTEIN, RAS SUPERFAMILY S0004284"
YOR185C,GSP2,Other,11,NUCLEAR ORGANIZATION GTPASE; RAN HOMOLOG S0005711
YBR034C,HMT1,Other,11,PROTEIN PROCESSING ARGININE METHYLTRANSFERASE S0000238
YJL057C,IKS1,Other,11,SIGNALING (PUTATIVE) PROTEIN KINASE S0003593
YER110C,KAP123,Other,11,NUCLEAR PROTEIN TARGETING BETA-KARYOPHERIN S0000912
YLR017W,MEU1,Other,11,GLUCOSE DEREPRESSION REGULATOR OF ADH2 EXPRESSION S0004007
YNL061W,NOP2,Other,11,NUCLEAR ORGANIZATION NUCLEOLAR PROTEIN S0005005
YJL002C,OST1,Other,11,PROTEIN GLYCOSYLATION OLIGOSACCHARYLTRANSFERASE COMPLEX SUBUNIS0003539
YGR078C,PAC10,Other,11,CYTOSKELETON NON-NATIVE ACTIN BINDING COMPLEX SUBUNITS0003310
YIL045W,PIG2,Other,11,GLUCOSE REPRESSION (PUTATIVE) GLC7P REGULATORY SUBUNIT S0001307
YPL203W,PKA3,Other,11,"SIGNALING, NUTRIENT CONTROL OF CELL GROWCAMP-DEPENDENT PROTEIN KINASE CATALYTIC S0006124"
YJR143C,PMT4,Other,11,PROTEIN GLYCOSYLATION DOLICHYL PHOSPHATE-D-MANNOSE:PROTEIN O-DS0003904
YMR297W,PRC1,Other,11,SPORULATION CARBOXYPEPTIDASE Y S0004912
