Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
NA,YDL191W,NA,NA,RPL35A,Translation / Ribosome,3
NA,YDL136W,NA,NA,RPL35B,Translation / Ribosome,3
NA,YMR194W,NA,NA,RPL36A,Translation / Ribosome,3
NA,YLR185W,NA,NA,RPL37A,Translation / Ribosome,3
NA,YDR500C,NA,NA,RPL37B,Translation / Ribosome,3
NA,YLR325C,NA,NA,RPL38,Translation / Ribosome,3
NA,YJL189W,NA,NA,RPL39,Translation / Ribosome,3
NA,YIL148W,NA,NA,RPL40A,Translation / Ribosome,3
NA,YKR094C,NA,NA,RPL40B,Translation / Ribosome,3
NA,YNL162W,NA,NA,RPL42A,Translation / Ribosome,3
NA,YHR141C,NA,NA,RPL42B,Translation / Ribosome,3
NA,YPR043W,NA,NA,RPL43A,Translation / Ribosome,3
NA,YBR031W,NA,NA,RPL4A,Translation / Ribosome,3
NA,YDR012W,NA,NA,RPL4B,Translation / Ribosome,3
NA,YML073C,NA,NA,RPL6A,Translation / Ribosome,3
NA,YLR448W,NA,NA,RPL6B,Translation / Ribosome,3
NA,YGL076C,NA,NA,RPL7A,Translation / Ribosome,3
NA,YPL198W,NA,NA,RPL7B,Translation / Ribosome,3
NA,YHL033C,NA,NA,RPL8A,Translation / Ribosome,3
NA,YLL045C,NA,NA,RPL8B,Translation / Ribosome,3
NA,YGL147C,NA,NA,RPL9A,Translation / Ribosome,3
NA,YNL067W,NA,NA,RPL9B,Translation / Ribosome,3
NA,YLR340W,NA,NA,RPP0,Translation / Ribosome,3
NA,YDL081C,NA,NA,RPP1A,Translation / Ribosome,3
NA,YOL039W,NA,NA,RPP2A,Translation / Ribosome,3
NA,YDR382W,NA,NA,RPP2B,Translation / Ribosome,3
NA,YGR214W,NA,NA,RPS0A,Translation / Ribosome,3
NA,YLR048W,NA,NA,RPS0B,Translation / Ribosome,3
NA,YOR293W,NA,NA,RPS10A,Translation / Ribosome,3
NA,YMR230W,NA,NA,RPS10B,Translation / Ribosome,3
NA,YDR025W,NA,NA,RPS11A,Translation / Ribosome,3
NA,YBR048W,NA,NA,RPS11B,Translation / Ribosome,3
NA,YOR369C,NA,NA,RPS12,Translation / Ribosome,3
NA,YDR064W,NA,NA,RPS13,Translation / Ribosome,3
NA,YCR031C,NA,NA,RPS14A,Translation / Ribosome,3
NA,YJL191W,NA,NA,RPS14B,Translation / Ribosome,3
NA,YOL040C,NA,NA,RPS15,Translation / Ribosome,3
NA,YMR143W,NA,NA,RPS16A,Translation / Ribosome,3
NA,YDL083C,NA,NA,RPS16B,Translation / Ribosome,3
NA,YML024W,NA,NA,RPS17A,Translation / Ribosome,3
NA,YDR447C,NA,NA,RPS17B,Translation / Ribosome,3
NA,YDR450W,NA,NA,RPS18A,Translation / Ribosome,3
NA,YML026C,NA,NA,RPS18B,Translation / Ribosome,3
NA,YOL121C,NA,NA,RPS19A,Translation / Ribosome,3
NA,YNL302C,NA,NA,RPS19B,Translation / Ribosome,3
NA,YLR441C,NA,NA,RPS1A,Translation / Ribosome,3
NA,YML063W,NA,NA,RPS1B,Translation / Ribosome,3
NA,YGL123W,NA,NA,RPS2,Translation / Ribosome,3
NA,YKR057W,NA,NA,RPS21A,Translation / Ribosome,3
NA,YJL136C,NA,NA,RPS21B,Translation / Ribosome,3
NA,YJL190C,NA,NA,RPS22A,Translation / Ribosome,3
NA,YLR367W,NA,NA,RPS22B,Translation / Ribosome,3
NA,YGR118W,NA,NA,RPS23A,Translation / Ribosome,3
NA,YPR132W,NA,NA,RPS23B,Translation / Ribosome,3
NA,YER074W,NA,NA,RPS24A,Translation / Ribosome,3
NA,YGR027C,NA,NA,RPS25A,Translation / Ribosome,3
NA,YLR333C,NA,NA,RPS25B,Translation / Ribosome,3
NA,YGL189C,NA,NA,RPS26A,Translation / Ribosome,3
NA,YER131W,NA,NA,RPS26B,Translation / Ribosome,3
NA,YKL156W,NA,NA,RPS27A,Translation / Ribosome,3
NA,YHR021C,NA,NA,RPS27B,Translation / Ribosome,3
NA,YOR167C,NA,NA,RPS28A,Translation / Ribosome,3
NA,YLR264W,NA,NA,RPS28B,Translation / Ribosome,3
NA,YLR388W,NA,NA,RPS29A,Translation / Ribosome,3
NA,YDL061C,NA,NA,RPS29B,Translation / Ribosome,3
NA,YNL178W,NA,NA,RPS3,Translation / Ribosome,3
NA,YOR182C,NA,NA,RPS30B,Translation / Ribosome,3
NA,YLR167W,NA,NA,RPS31,Translation / Ribosome,3
NA,YJR145C,NA,NA,RPS4A,Translation / Ribosome,3
NA,YHR203C,NA,NA,RPS4B,Translation / Ribosome,3
NA,YJR123W,NA,NA,RPS5,Translation / Ribosome,3
NA,YPL090C,NA,NA,RPS6A,Translation / Ribosome,3
NA,YBR181C,NA,NA,RPS6B,Translation / Ribosome,3
NA,YOR096W,NA,NA,RPS7A,Translation / Ribosome,3
NA,YNL096C,NA,NA,RPS7B,Translation / Ribosome,3
NA,YBL072C,NA,NA,RPS8A,Translation / Ribosome,3
NA,YER102W,NA,NA,RPS8B,Translation / Ribosome,3
NA,YPL081W,NA,NA,RPS9A,Translation / Ribosome,3
NA,YBR189W,NA,NA,RPS9B,Translation / Ribosome,3
NA,YDR087C,NA,NA,RRP1,Translation / Ribosome,3
NA,YHR065C,NA,NA,RRP3,Translation / Ribosome,3
NA,YDL111C,NA,NA,RRP42,Translation / Ribosome,3
