gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0180,t0240,t0360,t0480
GWK60_I01199,-1.19589242677447,0,0,-1.18765298010222,-2.067782143877131,-2.030672527347282,-1.458155594239124,-1.0026633369683648,-1.0731494487397706,-1.2724290845207615
GWK60_I01243,0,0,0,0,1.410309502474726,1.722615199086588,1.9108309882696664,1.9526664208454405,2.000930493051964,2.1098241691127773
GWK60_I01309,0,0,0,0,1.3604835372013415,1.4509633565260016,1.21504301069084,0,0,0
GWK60_I01331,0,0,0,1.676390391052587,1.981476230683592,1.919950099560752,1.5550873850027045,1.5134276473018269,1.4995449106551826,1.7482088801664872
GWK60_I01353,0,0,0,0,0,0,-1.121474848598654,-1.0377475690801332,-1.0626509888820102,0
GWK60_I01375,0,0,1.3035230941210811,1.7496337907880046,1.5908061165982692,1.9967574560811805,2.0202699384940224,1.81521871504936,1.7777968958259545,2.0575647920530526
GWK60_I01419,0,0,1.6537156429307904,2.299502720908936,2.7274825948122285,2.818186880911681,2.558372401054895,2.442836042559757,2.454035516992662,2.504659274271785
GWK60_I01441,0,0,0,0,1.244375415266454,1.6388342961190503,1.9170031238876188,1.9536962113410856,2.153660618848116,2.279624318289233
GWK60_I01463,0,1.2806210791643304,0,-3.9425965835474064,-3.765495642476573,-3.099207354019616,-1.3398171719892893,0,0,0
GWK60_I01485,0,0,0,1.2367962091392413,1.18127931708933,1.2503393759264008,0,0,0,1.0613488466541323
GWK60_I01507,-1.2765112761395734,0,1.692000301668077,1.945683475282055,0,-1.0265510708007088,-1.858636105184592,-1.525485385502798,-1.2977053396709113,-1.5343712540273904
GWK60_I01529,0,0,0,0,1.1697154979065043,1.065369812510773,0,0,0,0
GWK60_I01551,0,0,0,1.487412380543582,1.4939091705934295,1.5576226716308466,1.4401682059614185,1.3529543874908738,1.3373986297618556,1.4373934391198608
GWK60_I01573,0,0,0,1.3852604935345076,1.2558763261951296,1.3406328548814188,1.1706427961825288,1.1857906096791413,1.6602817645846053,1.8389583390026767
GWK60_I01595,0,0,0,0,1.8513034415463772,2.3693369882562725,2.438925727621558,2.5662244249546933,2.9558261084538224,3.3358266192988864
GWK60_I01617,0,0,0,0,-1.9690647167998407,-1.4226402218212264,0,0,0,-1.3641563940528325
GWK60_I01639,0,0,0,0,1.0607059318911536,0,0,0,0,0
GWK60_I01661,0,0,0,0,0,0,0,-1.0315098497913051,-1.0237504261479706,-1.2732195512405258
GWK60_I01683,1.4760239448076102,0,0,0,0,0,0,1.278534993376886,1.301460892630969,1.544360282957937
GWK60_I01727,1.1382475219011017,1.273480385923605,1.9824434198706449,2.506928455569687,2.9419685514363567,3.1998234638894765,3.2631813917096544,2.913895207801949,2.6377642779415975,2.607742958881205
GWK60_I01749,0,0,1.0943224525681976,1.59588942384317,2.015025642898181,2.254728256165655,2.313771238988629,2.4157834600518653,2.3649371974628077,2.489496895548345
GWK60_I01793,0,0,0,-1.2643305337028357,-1.4849833732378035,-1.417239416047226,-1.3766479770230249,-1.3811867645622364,-1.426546040714803,-1.6676086485354324
GWK60_I01837,0,0,1.1507231814599244,1.161115603243254,1.0780505323479987,1.0216815848330767,0,1.0726983950400109,1.3623005747006371,1.530541294967107
GWK60_I01859,0,0,0,0,1.0402549008017226,0,0,0,0,0
GWK60_I01881,0,0,0,1.6676975155176244,1.609307194140895,1.5251487358868578,1.3367201642466775,1.312693524994983,1.3151325651809092,1.6177800096965198
