tx	gene_id	Cgla.t0000.b1.L001	Cgla.t0000.b1.L002	Cgla.t0000.b4.L001	Cgla.t0000.b4.L002	Cgla.t0015.b1.L001	Cgla.t0015.b1.L002	Cgla.t0015.b2.L001	Cgla.t0015.b2.L002	Cgla.t0030.b1.L001	Cgla.t0030.b1.L002	Cgla.t0030.b2.L001	Cgla.t0030.b2.L002	Cgla.t0045.b1.L001	Cgla.t0045.b1.L002	Cgla.t0045.b2.L001	Cgla.t0045.b2.L002	Cgla.t0060.b1.L001	Cgla.t0060.b1.L002	Cgla.t0060.b2.L001	Cgla.t0060.b2.L002	Cgla.t0090.b1.L001	Cgla.t0090.b1.L002	Cgla.t0090.b2.L001	Cgla.t0090.b2.L002	Cgla.t0120.b1.L001	Cgla.t0120.b1.L002	Cgla.t0120.b2.L001	Cgla.t0120.b2.L002	Cgla.t0180.b1.L001	Cgla.t0180.b1.L002	Cgla.t0180.b2.L001	Cgla.t0180.b2.L002	Cgla.t0240.b1.L001	Cgla.t0240.b1.L002	Cgla.t0240.b2.L001	Cgla.t0240.b2.L002	Cgla.t0360.b1.L001	Cgla.t0360.b1.L002	Cgla.t0360.b2.L001	Cgla.t0360.b2.L002	Cgla.t0480.b1.L001	Cgla.t0480.b1.L002	Cgla.t0480.b2.L001	Cgla.t0480.b2.L002
rna-gnl|PRJNA600925|mrna.GWK60_I01067	gene-GWK60_I01067	39.077537	38.468259	39.452146	40.791178	57.238926	56.749901	51.369314	53.684631	30.3242	29.792992	31.601011	30.462248	76.9297	78.466183	81.327048	79.933761	118.798145	117.692467	129.53721	121.589625	104.298821	103.753075	100.00847	104.523855	91.607249	88.938607	89.09805	89.088648	80.730748	79.748689	74.820963	78.329962	73.364074	75.793751	78.159326	81.457582	70.987875	67.68371	77.25258	77.585895	72.041006	70.496758	67.460255	71.241216
rna-gnl|PRJNA600925|mrna.GWK60_I01089	gene-GWK60_I01089	25.40804	25.377726	24.96686	24.659426	31.385648	29.258201	30.464388	31.149281	33.018782	37.175452	35.014142	35.667723	11.484638	12.738679	11.086471	12.574555	4.934477	5.176267	5.970648	3.502802	7.31588	6.822178	6.174928	7.688255	14.786804	13.945297	14.059557	13.998772	33.338179	33.608486	27.630339	31.209631	32.387496	32.670625	33.550137	34.251628	31.598133	33.979084	31.632933	33.867411	26.635984	32.358367	28.802714	27.435544
rna-gnl|PRJNA600925|mrna.GWK60_I01111	gene-GWK60_I01111	4.922103	5.694783	5.065093	5.908314	6.722177	6.705744	6.277976	5.344626	3.215482	3.770882	3.090826	3.350974	2.964054	3.294002	3.721944	2.783215	2.830957	3.123897	2.569716	2.441597	3.868306	3.558629	3.399426	3.929023	5.824643	4.218015	5.020329	5.437203	7.308219	7.30718	8.087163	8.410671	8.864489	9.865679	8.47988	8.163857	9.027356	8.346089	7.26838	9.318356	9.405618	9.361027	8.769212	8.599684
rna-gnl|PRJNA600925|mrna.GWK60_I01133	gene-GWK60_I01133	33.8514	34.278477	36.037627	37.077362	189.676523	186.861025	161.683614	157.098365	48.26916	48.632715	45.728042	46.669518	67.72075	63.452908	71.125925	72.620006	81.500089	84.038531	84.94008	95.815079	106.400759	107.428736	103.621751	107.444278	113.245131	110.195551	105.879287	99.802079	93.451906	94.918939	107.028256	108.323562	96.063425	97.877769	114.497803	111.463601	107.965416	105.704759	123.839321	121.312396	117.583174	115.285322	106.82928	105.119695
rna-gnl|PRJNA600925|mrna.GWK60_I01155	gene-GWK60_I01155	276.430839	292.465924	279.921746	274.219531	209.204159	206.880672	214.234254	212.03439	245.934213	241.333114	220.898805	228.133316	355.068452	368.377702	358.84207	357.991269	416.702261	430.257453	441.805881	429.294275	229.00441	225.143569	225.191356	225.557618	154.571564	150.888417	152.886828	154.029383	86.904819	86.847113	107.13787	109.815797	104.880115	97.667819	112.174788	110.452758	89.747848	88.282814	88.510625	90.970328	82.833977	91.796218	82.089	78.825888
rna-gnl|PRJNA600925|mrna.GWK60_I01177	gene-GWK60_I01177	62.078141	56.433631	53.786479	53.012166	51.094239	53.882669	55.441105	61.880813	63.55904	49.708852	45.994855	54.009875	72.576662	66.074634	71.297753	62.799114	75.557795	74.811921	87.617209	84.400433	86.787345	87.196969	85.207449	103.352646	81.7426	88.874498	91.081819	99.462775	65.570919	71.541565	112.68399	111.313664	109.755868	131.228326	126.663979	118.642172	153.481954	140.440062	149.087547	127.66786	143.809864	144.708342	144.678033	132.823373
rna-gnl|PRJNA600925|mrna.GWK60_I01199	gene-GWK60_I01199	59.55838	61.606967	63.865952	58.193827	24.454382	27.201539	27.667101	30.325367	48.626746	45.906454	46.220789	43.248015	45.251828	48.120997	43.475575	50.049913	32.123961	36.76684	32.33723	32.043922	15.911953	19.317297	15.721326	16.899916	15.927489	15.874673	18.655068	19.08038	20.34972	23.121331	32.89407	34.216054	39.91014	42.094067	36.086951	41.932551	35.664133	38.238595	34.134709	36.808069	33.107035	30.652757	28.667887	26.377218
rna-gnl|PRJNA600925|mrna.GWK60_I01221	gene-GWK60_I01221	39.339334	39.933189	40.24371	39.41989	38.343738	38.568352	39.922112	40.428172	35.263298	31.647782	31.971166	32.867855	43.466777	44.880118	43.984193	47.481208	57.46758	58.038299	63.492911	61.890007	68.285353	65.069801	63.917786	65.116756	74.168881	74.34311	74.661763	79.551587	89.037135	92.222404	82.13628	84.803804	89.509164	86.353824	85.850753	88.423361	79.302558	77.394021	75.697715	79.370923	74.473277	76.293438	72.748018	71.314091
rna-gnl|PRJNA600925|mrna.GWK60_I01243	gene-GWK60_I01243	19.809267	20.342686	18.703197	19.645732	30.693836	29.312563	28.284522	27.281051	20.448153	22.140942	24.667916	21.209835	25.824192	29.165341	24.304985	28.645684	46.489374	46.154934	49.576103	45.18608	64.307584	63.852623	58.591414	63.010397	78.683969	76.125376	78.272449	74.790923	111.220113	100.099884	79.227607	88.549648	109.488013	104.460377	99.488711	94.514733	100.696442	100.920786	99.990176	98.19819	109.389912	98.967872	99.323833	100.243606
rna-gnl|PRJNA600925|mrna.GWK60_I01265	gene-GWK60_I01265	44.417256	46.388983	48.743119	49.906752	60.293348	57.00152	58.111825	59.28548	31.492411	31.402062	29.2102	27.891803	67.047496	61.754346	68.666287	69.107775	80.012117	87.132113	84.030251	85.513971	82.462492	81.992709	84.110401	84.433141	78.28849	77.482741	81.390063	80.348175	63.396805	66.564677	65.753653	68.133634	62.270435	62.027506	61.304292	62.085698	56.744506	57.499155	55.622725	53.075791	55.36541	59.710312	50.624478	54.22278
