gene_id	gene_name	Cgla.t0000.b1.L001	Cgla.t0000.b1.L002	Cgla.t0000.b4.L001	Cgla.t0000.b4.L002	Cgla.t0015.b1.L001	Cgla.t0015.b1.L002	Cgla.t0015.b2.L001	Cgla.t0015.b2.L002	Cgla.t0030.b1.L001	Cgla.t0030.b1.L002	Cgla.t0030.b2.L001	Cgla.t0030.b2.L002	Cgla.t0045.b1.L001	Cgla.t0045.b1.L002	Cgla.t0045.b2.L001	Cgla.t0045.b2.L002	Cgla.t0060.b1.L001	Cgla.t0060.b1.L002	Cgla.t0060.b2.L001	Cgla.t0060.b2.L002	Cgla.t0090.b1.L001	Cgla.t0090.b1.L002	Cgla.t0090.b2.L001	Cgla.t0090.b2.L002	Cgla.t0120.b1.L001	Cgla.t0120.b1.L002	Cgla.t0120.b2.L001	Cgla.t0120.b2.L002	Cgla.t0180.b1.L001	Cgla.t0180.b1.L002	Cgla.t0180.b2.L001	Cgla.t0180.b2.L002	Cgla.t0240.b1.L001	Cgla.t0240.b1.L002	Cgla.t0240.b2.L001	Cgla.t0240.b2.L002	Cgla.t0360.b1.L001	Cgla.t0360.b1.L002	Cgla.t0360.b2.L001	Cgla.t0360.b2.L002	Cgla.t0480.b1.L001	Cgla.t0480.b1.L002	Cgla.t0480.b2.L001	Cgla.t0480.b2.L002
gene-GWK60_M09581	GWK60_M09581	318.171805128021	290.034780228162	219.313826055234	201.933331046471	337.816065338568	320.667510941111	291.466284317188	260.091137799519	219.827251114282	220.756901383053	219.035385708529	240.876646392327	307.715591324808	303.606492859313	287.963347455724	287.627851266613	360.850867653109	372.287878227508	396.676452433536	372.483988564227	485.019978929837	478.025405899883	390.74022367663	429.924923086408	578.042059155682	583.82910885675	549.589156350196	587.638372563814	817.860661110628	796.203487998606	428.738785210189	467.754299461072	535.945349830846	457.85639367623	466.952068660867	458.402693978698	475.590812147653	493.844990284585	360.450236529383	384.253485468548	354.103006087857	354.956397385638	558.154544380491	555.318395228265
gene-GWK60_M09603	GWK60_M09603	843.325633123804	821.547191540729	729.557290484355	669.681365600765	657.320056046193	650.545599586956	639.980975376571	572.651167143347	546.246755828494	469.310248901429	483.334751605854	426.721536251721	757.686476197326	756.79528024712	635.111740447188	629.348811565023	1097.24690823419	1041.99195076881	1254.73184560716	1189.88487710929	1245.03268794445	1300.91299158952	1030.00037267834	1045.87003322937	1092.89677342647	1136.17176843357	1123.81008926392	1176.74862919732	1651.75934233095	1520.51832436691	812.553924099058	835.338438824612	893.549974532074	826.68393560541	812.458039531794	850.838318220834	796.636047007964	766.442614984751	646.154037786436	620.549348151815	594.084353074813	658.146804436803	1042.37201458853	1042.16495485081
gene-GWK60_M09625	GWK60_M09625	460.244516222954	441.449092699837	386.691486764652	348.598012579876	585.408324165689	586.725977473936	537.791353289939	559.549989383641	532.371939547749	589.601642682343	564.052282176249	533.635921331283	881.742049741832	804.10723014152	790.730139435507	770.726707173688	812.271593257852	798.22766219252	940.808391614188	961.120380427998	869.826431754357	962.495207171806	747.580575567428	777.65592632018	751.257197076694	776.553310229127	863.629876301997	777.621285996364	1001.63453813518	1138.84292584225	576.421840241073	633.372610248705	978.446947338731	1000.62295528864	948.840684025328	865.645723168343	1104.13419593557	1213.53580305769	998.762403167085	961.795617364258	1118.12394056838	970.281970053965	1757.29468932651	1714.76907305253
gene-GWK60_M09647	GWK60_M09647	620.446932478887	661.405539317351	563.025737559024	597.354330392379	657.162598263801	630.242819605164	602.489608285444	584.773497510173	822.126015776553	785.198164019568	756.220459741779	687.574535200587	683.458160626372	757.450694927349	613.832819292562	613.068806371499	503.050642260768	425.121373595982	547.147393141266	475.125289266743	413.943829700858	426.936990128842	354.833733827934	327.887376518129	393.462618983191	445.526446717124	403.050880394535	412.040190114295	649.022285410501	705.194196088147	403.986045480829	400.078760249244	595.741691025585	559.782461768532	574.979253169305	550.032621060933	698.940861998349	691.874024128029	518.392413660089	548.394608422389	478.084826400559	519.075910844075	814.938760632063	881.848527430084
gene-GWK60_M09669	GWK60_M09669	3110.08049075522	3036.38446456315	2622.04328717945	2567.73437450709	1623.20841880802	1735.27752109262	1514.27796915226	1470.59254176395	1071.00969473668	1008.04964331205	1008.13389189129	1001.39714762667	1850.3982240409	1701.49895011328	1564.60238011206	1477.84121951499	2847.08169594597	2697.87661725072	3096.35106528033	3088.07762975926	2213.43503120901	2268.44085211185	1872.49320066403	1761.04008210998	1723.97943261293	1854.89624533451	1743.47591221122	1738.43782079774	2616.86235807899	2542.85544373022	1422.31449515571	1444.13481771412	1451.42120781097	1513.40715171976	1699.47158915202	1696.31078568647	1607.16134823929	1554.1380895362	1172.50935166279	1153.35768801253	1099.21439291705	1068.11542748073	1862.46016039195	1903.36082774074
gene-GWK60_M09691	MEC3	235.297326048787	267.211757259094	196.212078258523	257.144088923417	187.057962641601	197.099226430222	191.80026310858	157.929695253198	186.042595579778	216.077552206095	175.802945071325	179.887102310035	290.698248575385	272.740599601115	258.926999640834	241.054827559213	260.034602906804	340.156201402892	302.106095446996	323.125628404636	210.880020551719	197.935295423655	169.85520003921	194.895621202916	155.279298718374	155.284279183056	163.028312076918	161.002616212439	207.157553780013	170.091101272504	128.978250409827	144.036193080794	160.927281953771	156.963844162331	197.283796528769	189.998918849682	166.969668866257	156.949121795212	143.710477489399	161.767401545126	139.023380294526	128.021282624155	217.209029136448	212.981744888426
gene-GWK60_M09713	GWK60_M09713	358.587160231966	416.540174016682	316.607720894979	379.563412986709	346.025184637398	370.020221165981	324.901300770916	298.932569852548	582.965991583753	592.9729244323	521.593743890487	561.666274282702	255.972673213272	287.973151119908	191.95285073235	227.952108288455	83.0008306234122	99.9799568205902	84.0034017034038	88.9923225210572	91.0328801101784	99.4115892337625	98.0593668160501	95.0184202225941	138.921247062736	145.907473158528	160.05466011384	178.057703504811	457.886953920216	470.618723560797	236.080401394939	247.011115082751	409.843231825032	383.849071364896	360.15270344572	332.080069903614	526.098292169043	540.116367136587	402.476945837069	366.35566691577	365.074207607054	375.033840198361	656.743750197091	676.720886710671
gene-GWK60_M09735	CTS1	2159.69664023094	2210.81239259275	1948.27353592054	1952.32065671535	2011.96655956412	1930.59617798521	1932.22752114073	1991.79800307993	1948.84940405657	1975.28459818019	1642.90480944043	1611.78220365386	2347.27948979429	2175.17984735644	1934.44327658742	1773.93611319151	2207.4895370925	2165.02209569687	2560.47098944692	2459.79828372074	2322.95043942776	2444.50180214737	1917.32798312523	1930.95049716429	1647.9139273237	1681.66263917056	1803.98251393894	1802.93323755524	1355.74319181548	1388.99330287031	1250.32965852315	1204.39335409404	2388.80129717763	2444.05916824963	2582.89269249213	2532.64565990165	3269.01429331094	3179.73310569274	2762.01878169692	2733.38426195086	2821.23364109178	2653.45378003591	4805.29603033157	4767.10803761106
gene-GWK60_M09757	GWK60_M09757	420.345662087154	426.331180327506	296.567901728918	343.384444146154	279.865447955744	283.732639846019	280.397298619992	275.079660938079	649.528624113257	609.387258059498	674.043046555111	807.586837612785	285.600718718082	297.565740548201	240.967259668383	197.762862584752	42.9845116730855	51.909975201406	50.9632662023518	42.9462796290688	52.1005889306018	51.0946685730954	49.2000488974308	42.082099838517	79.5054128251899	72.5292343607682	86.0874666138106	87.0889160366246	250.225581278588	207.022678051091	159.251524886491	129.939256573064	291.959685345878	274.906494013275	255.480705061547	252.204969466849	371.414957873255	386.597986092868	278.434557688928	256.982005345511	280.077943439487	310.977419269252	439.382341208326	453.476506037614
gene-GWK60_M09779	VIP1	1229.10148609931	1293.63347996848	1047.63898808056	1012.20825924281	2429.16895277211	2312.71711995015	2087.04085686455	2137.89373250874	1916.79287916588	1807.44695452363	1694.67488862248	1653.82609655979	2052.1697695982	2035.76870501675	1799.33211545468	1889.46285067209	2025.88291853972	2005.17416812667	2470.75569992626	2411.75575835129	2740.79060377343	2712.56993383799	2277.89100703346	2265.72188208163	2795.2899501815	2792.03669324728	3106.92018005805	3022.76110420533	3882.10653387016	4024.83787591108	2016.13516455448	2171.64672024344	2815.24788007183	2846.94184348878	2635.42338406835	2547.43928735255	2959.78025868753	2801.37412391847	2463.65031841734	2449.51289071474	2752.22552583271	2661.94046224816	4314.699605235	4258.0562728212
gene-GWK60_M09801	GWK60_M09801	1083.43190878595	1109.51790959094	996.997050841432	877.910464998151	1296.07114884156	1309.94069474508	1237.72166223302	1248.84645730859	2032.73777811067	1982.45922429065	1861.52588964278	1873.68758065118	663.963356510375	576.374273744752	517.813058121006	571.675087362943	143.05740186497	117.222361471491	169.173953535806	156.222489863637	286.510800539456	287.824545639902	248.000691939942	236.497386790455	495.445168003452	479.453107611381	499.70639563244	478.686712661251	1394.01000720383	1387.74898206529	720.079521217362	716.50187733364	1142.31124303904	1249.53340198087	1084.30672167727	1078.41387111318	1530.49306168661	1536.69476326674	1257.69677248897	1252.00522732797	1266.11619357792	1198.39783596135	2087.02318859079	2110.32153820634
