gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
orf19.6902,4.168849282182787,4.712767171025825,4.558994995074339,3.20085538013952,0,0,2.4464647410920666,3.241338769722736,3.362419801407172,3.4410265667187643,3.3144383688122345,3.2567407585731156
orf19.6903,1.86761129013936,2.2454159087357546,2.0723686146127185,1.4586572263449868,0,0,0,1.3728442782648138,1.6432917270411542,1.7074893297784992,1.8980471227504008,2.0206518213895435
orf19.6905,0,0,0,0,0,0,0,0,0,0,0,-1.0827308588559124
orf19.6906,0,2.1480252764987364,2.099016941260517,1.8536468462779736,0,-1.4719257822821556,-3.234770736964641,-2.531371763859996,-2.325367915808035,-2.3714072925229095,-2.4584608671020876,-2.23234096051304
orf19.6907,0,1.2112377740647011,0,0,0,0,0,0,0,0,0,0
orf19.691,5.067342524963406,0,0,0,1.0649683829485357,0,0,1.0709494370357064,1.128035722225894,1.0993219473675595,1.3888778391027023,1.596020235290671
orf19.6910,0,0,0,0,0,-1.335389900951805,-1.5706912125343124,-1.9769469294415023,-1.7749406313555154,-1.768255720487469,-1.422790693004207,-1.555596472783038
orf19.6912,0,0,0,0,0,0,0,0,0,0,-1.031282439642332,-1.0083104293872132
orf19.6916,1.0782557949530946,0,1.100626604820181,0,0,0,0,0,0,0,0,0
orf19.6917,1.5923167532465397,1.833441515683646,1.5909824349424908,0,0,0,0,1.305881927440206,1.5405194842239454,1.4284635427541197,1.9573156042889897,2.039966363239393
orf19.6918,1.2274200012976435,1.3772319434201643,1.2275744437813818,0,0,0,0,0,0,0,0,0
orf19.692,0,0,0,0,0,-1.356566302743075,0,0,0,0,0,0
orf19.6920,0,0,2.1404714122205446,2.1297146685518187,2.1801874385065636,2.358604495827312,2.2301704493314607,2.545255807636578,2.7010164099149563,2.7394948932587084,3.0615416637901673,2.7993589951358357
orf19.6923.1,0,0,0,0,0,0,0,0,0,0,1.2481966176027737,1.01587524474154
orf19.6924,0,0,0,0,0,1.4932841761765114,0,0,0,0,0,0
orf19.6928,0,0,-1.1818936700497602,0,0,0,0,0,0,0,0,0
orf19.6936,-1.553611722552161,0,0,0,0,0,0,0,-1.023186069052881,-1.1660242177905658,-1.3343451209914954,-1.2538104352053332
orf19.6937,0,0,0,0,-1.3378935437921886,-1.6076104815990853,-1.4788010606927575,-1.3473390544807915,-1.5022591899223376,-1.5975523256198074,-1.822317925113211,-1.9096191259668651
orf19.6938,1.2471372378213277,1.716160951995762,2.0349728963608995,2.1504614207833943,2.5140680739627133,2.6334581804996193,2.249869211800092,2.2905453099290387,2.1456170853634715,2.2135129739871378,2.482471333243893,2.4365873966386573
orf19.6941,0,-1.7058391719865842,-1.5235717228509769,-1.341751736388486,0,0,0,0,0,0,0,1.0991333807404042
orf19.6943,0,0,0,0,0,1.055362650639165,1.345325662200192,1.8615967576444996,2.204010715705267,2.3561020458771957,2.9877758337423286,2.960883824981065
orf19.6944,0,0,0,0,0,0,0,0,0,0,1.1977527370332708,1.181647287388942
orf19.6947,0,0,0,0,0,1.3541001262216863,1.1127362383642168,1.2457029620985238,1.3184155027555269,1.343628846832797,1.5531844114210147,1.4694674489281665
orf19.6948,2.9971761890530204,2.5316596692101796,2.2638191621745665,1.5836893238737977,0,0,0,1.0443590624067316,0,1.1348706848223764,1.0798674942924986,1.1478031967854954
orf19.695,-1.3939358753863849,-2.1931478966135316,-1.5885703199328538,-1.0269577273583266,0,0,0,1.0614018752222778,1.5530848923120255,1.7023390487740555,1.8763546277742664,1.9507320369314691
orf19.6950,-1.3860637188459517,-1.010134162823758,-1.6732335725571723,-2.102922507473742,-1.6735646939295563,0,0,0,0,0,0,0
orf19.6951,0,-1.4737011706209964,-1.695327154502822,-1.710177749939675,-1.19011603048738,0,0,0,0,0,0,0
orf19.6955,3.792564748999176,4.330124965010596,4.115809467444752,2.8935108096707793,0,0,1.675522556815627,2.5719763596258303,2.842659405811396,2.841037673505769,2.8676637793683337,2.94499117410027
orf19.6956,0,-1.4122425861287238,-1.6227351739361948,-1.7017230515080872,-1.3621703624343071,-1.2443559970970757,0,0,0,0,0,0
orf19.6966,0,0,0,0,0,-1.0881375369398465,-1.118845849921788,-1.440226449919145,-1.4464624820942114,-1.5938635948032045,-1.4175737571917306,-1.7411990178459726
orf19.6968,1.2394214400489272,0,0,0,0,0,0,0,0,0,0,0
