"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-KLLA0_D18667g",1441.29087740221,-2.72298769599031,0.112657167641692,4.36243552975172e-130,1.80759627031164e-128
"gene-KLLA0_D19008g",477.038635824875,-2.27311145703229,0.164136683471032,1.45693005003094e-44,1.89992553224847e-43
"gene-KLLA0_D19470g",4737.61734277619,2.49195662864257,0.0859143880877918,6.14355799581368e-186,4.7826668155289e-184
"gene-KLLA0_D19929g",824.142618639041,-3.10224237610037,0.135928047632321,2.38034276264954e-116,7.74063361676793e-115
"gene-KLLA0_E00111g",7.87256267630314,5.42632186792375,2.62904633708941,0.000286900219805693,0.000745998648462375
"gene-KLLA0_E00837g",761.515690089736,-2.29935724876987,0.131758425956714,3.53255615723645e-69,6.74731358211184e-68
"gene-KLLA0_E02795g",49.0566642473416,-2.83993845400588,0.532776076447993,8.7984827814371e-09,3.77981643235985e-08
"gene-KLLA0_E03653g",15723.9280610625,-3.10292621325721,0.0787639181547159,0,0
"gene-KLLA0_E03763g",3689.68267256929,2.42469583832394,0.0877704115342189,5.08547431886096e-169,3.07401965297736e-167
"gene-KLLA0_E04489g",6698.91487688694,-3.27119648858753,0.0866799848637149,0,0
"gene-KLLA0_E04665g",692.042291343221,-2.91107091584489,0.145822361769142,1.0437617002946e-89,2.6417968552284e-88
"gene-KLLA0_E05061g",436.204354966693,-2.89260799789324,0.175406906781755,4.07433734840115e-62,7.02481385774667e-61
"gene-KLLA0_E05149g",1004.43474303155,-3.05073230509853,0.134181820369886,1.92071304803293e-115,6.16788977549575e-114
"gene-KLLA0_E05479g",533.574646494062,-4.47050377566616,0.195463851927037,1.12606100537366e-116,3.6851601564394e-115
"gene-KLLA0_E05545g",2936.66693300603,-2.61546958191261,0.0962262950199064,1.05892710019129e-163,5.91387765302485e-162
"gene-KLLA0_E07393g",1279.38570003511,-2.47679584434976,0.115941011283102,2.71148072416757e-102,7.54218931426101e-101
"gene-KLLA0_E07547g",397.025590179197,-2.25425431008259,0.171539802560263,2.07809853360152e-40,2.56665150616457e-39
"gene-KLLA0_E07833g",271.920155430487,-3.39596686559513,0.226621530873785,9.25166087146846e-52,1.34279755812443e-50
"gene-KLLA0_E07965g",635.226022049144,-3.36757948394881,0.155546065002541,5.21638262613087e-105,1.48898744072558e-103
"gene-KLLA0_E07987g",4541.47649533574,-2.39532480708019,0.0848278851062235,2.21004382825685e-176,1.47470197267321e-174
"gene-KLLA0_E08229g",707.214528150229,-2.37070299250239,0.139526712457335,9.84932369779634e-66,1.80091904481415e-64
"gene-KLLA0_E08317g",677.320785476062,-2.24825237908381,0.13762510852498,6.02205577143725e-61,1.01115433181845e-59
"gene-KLLA0_E08361g",181.352125214334,-2.14939795231803,0.246817571555188,3.41149399022357e-19,2.44126129829648e-18
"gene-KLLA0_E09021g",5472.01729317898,-5.7057326362473,0.109399781263048,0,0
"gene-KLLA0_E09439g",638.226496550258,-4.086680945813,0.186634175092712,3.55699004597761e-107,1.05033418713983e-105
