gene_id,tp,log2FC
KLLA0_A00506g,t0150,0
KLLA0_A00506g,t0180,0
KLLA0_A00506g,t0210,0
KLLA0_A00506g,t0240,0
KLLA0_A00506g,t0360,0
KLLA0_A00506g,t0480,0
KLLA0_A00550g,t0015,-1.963425278847324
KLLA0_A00550g,t0030,-2.26299311751691
KLLA0_A00550g,t0045,0
KLLA0_A00550g,t0060,0
KLLA0_A00550g,t0090,0
KLLA0_A00550g,t0120,0
KLLA0_A00550g,t0150,0
KLLA0_A00550g,t0180,1.0068243102122885
KLLA0_A00550g,t0210,0
KLLA0_A00550g,t0240,0
KLLA0_A00550g,t0360,1.0183062146090065
KLLA0_A00550g,t0480,0
KLLA0_A00594g,t0015,0
KLLA0_A00594g,t0030,0
KLLA0_A00594g,t0045,0
KLLA0_A00594g,t0060,0
KLLA0_A00594g,t0090,0
KLLA0_A00594g,t0120,0
KLLA0_A00594g,t0150,0
KLLA0_A00594g,t0180,0
KLLA0_A00594g,t0210,0
KLLA0_A00594g,t0240,0
KLLA0_A00594g,t0360,0
KLLA0_A00594g,t0480,-1.069459547128587
KLLA0_A00616g,t0015,0
KLLA0_A00616g,t0030,1.1782809191336148
KLLA0_A00616g,t0045,0
KLLA0_A00616g,t0060,0
KLLA0_A00616g,t0090,-2.193469897135565
KLLA0_A00616g,t0120,-3.8119718434089944
KLLA0_A00616g,t0150,-4.174564896370017
KLLA0_A00616g,t0180,-3.820480875746196
KLLA0_A00616g,t0210,-3.791606456028688
KLLA0_A00616g,t0240,-3.580216241238092
KLLA0_A00616g,t0360,-3.185907979079959
KLLA0_A00616g,t0480,-3.0684253643579655
KLLA0_A00660g,t0015,-1.9700725440480744
KLLA0_A00660g,t0030,-3.0037452251373833
KLLA0_A00660g,t0045,-1.8799264193822585
KLLA0_A00660g,t0060,0
KLLA0_A00660g,t0090,0
KLLA0_A00660g,t0120,1.2751528898187188
KLLA0_A00660g,t0150,1.2689390660478874
KLLA0_A00660g,t0180,1.3532442970395342
KLLA0_A00660g,t0210,1.333341418430698
KLLA0_A00660g,t0240,1.3624015702152676
KLLA0_A00660g,t0360,1.3438077809962408
KLLA0_A00660g,t0480,1.5260039576714242
KLLA0_A00682g,t0015,0
KLLA0_A00682g,t0030,1.0380639975854884
KLLA0_A00682g,t0045,0
KLLA0_A00682g,t0060,0
KLLA0_A00682g,t0090,0
KLLA0_A00682g,t0120,0
KLLA0_A00682g,t0150,0
KLLA0_A00682g,t0180,-1.0548706469173832
KLLA0_A00682g,t0210,-1.1171763579090086
KLLA0_A00682g,t0240,-1.0944304698572211
KLLA0_A00682g,t0360,-1.1607261644552993
KLLA0_A00682g,t0480,-1.2467177845936082
KLLA0_A00935g,t0015,0
KLLA0_A00935g,t0030,1.4927647494037264
KLLA0_A00935g,t0045,0
KLLA0_A00935g,t0060,0
KLLA0_A00935g,t0090,0
KLLA0_A00935g,t0120,0
KLLA0_A00935g,t0150,0
KLLA0_A00935g,t0180,0
KLLA0_A00935g,t0210,0
KLLA0_A00935g,t0240,0
KLLA0_A00935g,t0360,0
KLLA0_A00935g,t0480,0
KLLA0_A01001g,t0015,0
KLLA0_A01001g,t0030,0
KLLA0_A01001g,t0045,0
KLLA0_A01001g,t0060,0
KLLA0_A01001g,t0090,0
KLLA0_A01001g,t0120,0
KLLA0_A01001g,t0150,0
KLLA0_A01001g,t0180,0
KLLA0_A01001g,t0210,-1.1405937771261916
KLLA0_A01001g,t0240,-1.1697426306141712
KLLA0_A01001g,t0360,-1.5475054605673042
KLLA0_A01001g,t0480,-1.915960389155009
KLLA0_A01089g,t0015,0
KLLA0_A01089g,t0030,0
KLLA0_A01089g,t0045,0
KLLA0_A01089g,t0060,0
KLLA0_A01089g,t0090,0
KLLA0_A01089g,t0120,0
KLLA0_A01089g,t0150,0
KLLA0_A01089g,t0180,0
KLLA0_A01089g,t0210,0
KLLA0_A01089g,t0240,1.06640218575078
KLLA0_A01089g,t0360,1.2082278237149997
KLLA0_A01089g,t0480,1.2520361030578104
KLLA0_A01199g,t0015,0
KLLA0_A01199g,t0030,1.8201971313057057
KLLA0_A01199g,t0045,1.7935078592857632
KLLA0_A01199g,t0060,0
KLLA0_A01199g,t0090,0
KLLA0_A01199g,t0120,0
KLLA0_A01199g,t0150,0
KLLA0_A01199g,t0180,0
KLLA0_A01199g,t0210,0
KLLA0_A01199g,t0240,0
KLLA0_A01199g,t0360,0
KLLA0_A01199g,t0480,0
KLLA0_A01221g,t0015,-1.479090798340092
KLLA0_A01221g,t0030,-2.027253415570447
KLLA0_A01221g,t0045,0
KLLA0_A01221g,t0060,0
KLLA0_A01221g,t0090,0
KLLA0_A01221g,t0120,0
KLLA0_A01221g,t0150,0
KLLA0_A01221g,t0180,0
KLLA0_A01221g,t0210,0
KLLA0_A01221g,t0240,0
KLLA0_A01221g,t0360,0
KLLA0_A01221g,t0480,0
