gene_id,tp,log2FC
orf19.1059,t0150,0
orf19.1059,t0180,0
orf19.1059,t0210,0
orf19.1059,t0240,0
orf19.1059,t0360,0
orf19.1059,t0480,0
orf19.1061,t0015,0
orf19.1061,t0030,0
orf19.1061,t0045,0
orf19.1061,t0060,0
orf19.1061,t0090,0
orf19.1061,t0120,1.1917367803124777
orf19.1061,t0150,0
orf19.1061,t0180,0
orf19.1061,t0210,0
orf19.1061,t0240,0
orf19.1061,t0360,0
orf19.1061,t0480,0
orf19.1064,t0015,0
orf19.1064,t0030,0
orf19.1064,t0045,0
orf19.1064,t0060,0
orf19.1064,t0090,0
orf19.1064,t0120,0
orf19.1064,t0150,-1.2216991767073355
orf19.1064,t0180,-1.483619014126812
orf19.1064,t0210,-1.7257972444369378
orf19.1064,t0240,-1.8387121145550376
orf19.1064,t0360,-2.2398032910619032
orf19.1064,t0480,-2.532519538571956
orf19.1065,t0015,2.2539988478821207
orf19.1065,t0030,3.4303540059224984
orf19.1065,t0045,3.03389183647333
orf19.1065,t0060,3.450417372094668
orf19.1065,t0090,3.462685120900169
orf19.1065,t0120,3.0461278579323205
orf19.1065,t0150,1.3284586489090746
orf19.1065,t0180,0
orf19.1065,t0210,0
orf19.1065,t0240,0
orf19.1065,t0360,1.1325865720866062
orf19.1065,t0480,1.2350838776387123
orf19.1066,t0015,0
orf19.1066,t0030,0
orf19.1066,t0045,0
orf19.1066,t0060,0
orf19.1066,t0090,0
orf19.1066,t0120,1.0196879279235274
orf19.1066,t0150,0
orf19.1066,t0180,1.2435952553913874
orf19.1066,t0210,1.4684772396165022
orf19.1066,t0240,1.644721658343359
orf19.1066,t0360,1.8888809271117952
orf19.1066,t0480,1.947319198445006
orf19.1067,t0015,0
orf19.1067,t0030,-3.846133431977441
orf19.1067,t0045,-3.08564485403538
orf19.1067,t0060,-2.5125905885072375
orf19.1067,t0090,-1.5744450604067155
orf19.1067,t0120,0
orf19.1067,t0150,0
orf19.1067,t0180,0
orf19.1067,t0210,0
orf19.1067,t0240,0
orf19.1067,t0360,0
orf19.1067,t0480,0
orf19.107,t0015,2.8737668512591563
orf19.107,t0030,3.116490780186091
orf19.107,t0045,3.0942578056684837
orf19.107,t0060,1.7899932588279268
orf19.107,t0090,0
orf19.107,t0120,0
orf19.107,t0150,1.1614746069897484
orf19.107,t0180,1.9365116913479308
orf19.107,t0210,2.410486737672262
orf19.107,t0240,2.4362381689582286
orf19.107,t0360,2.4328043621969475
orf19.107,t0480,2.546476052552858
orf19.1075,t0015,0
orf19.1075,t0030,0
orf19.1075,t0045,0
orf19.1075,t0060,0
orf19.1075,t0090,-1.7679503909872287
orf19.1075,t0120,-1.409596890955546
orf19.1075,t0150,0
orf19.1075,t0180,0
orf19.1075,t0210,0
orf19.1075,t0240,0
orf19.1075,t0360,0
orf19.1075,t0480,0
