gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
orf19.1279,2143,1570,2925,2953
orf19.1280,1034,768,985,1076
orf19.1281,319,272,266,232
orf19.1282,268,221,223,217
orf19.1283,1656,1442,1342,1614
orf19.1285,3326,3139,1850,2085
orf19.1286,15,3,1,1
orf19.1287,2819,2581,805,801
orf19.1288,1689,1262,645,810
orf19.1289,2420,1777,2201,2392
orf19.1290,1985,1729,2427,2721
orf19.1291,1871,1501,1719,1748
orf19.1295,3155,2720,37573,40668
orf19.1296,471,450,670,667
orf19.1297,528,456,532,591
orf19.1298,908,822,1234,1300
orf19.1299,2062,1547,1656,1694
orf19.130,892,760,924,1065
orf19.1300,811,667,537,551
orf19.1301,1363,1124,133,147
orf19.1302,1,4,7,1
orf19.1303,315,239,222,220
orf19.1304,370,326,250,263
orf19.1305,227,198,248,266
orf19.1306,469,380,376,325
orf19.1307,1039,807,830,929
orf19.1308,841,713,1269,1386
orf19.1309,263,190,184,180
orf19.131,123,84,135,182
orf19.131.2,2317,1795,1326,1314
orf19.1310,125,130,289,270
orf19.1311,623,548,773,781
orf19.1313,389,309,319,315
orf19.1314,648,512,931,921
orf19.1317,2771,2242,2409,2511
orf19.1318,699,558,412,441
orf19.132,2098,1798,1926,1904
orf19.1321,9,9,5,4
orf19.1323,1135,921,1347,1464
orf19.1324,882,895,1184,1211
orf19.1325,300,233,414,438
orf19.1326,409,290,583,631
orf19.1327,83,69,69,96
orf19.133,54,51,34,58
orf19.1330,136,70,401,391
orf19.1331,1262,920,1726,1797
orf19.1332,864,650,1215,1197
orf19.1333,1088,800,1008,1105
orf19.1334,947,777,972,1096
orf19.1335,1210,1076,914,982
orf19.1336,4699,3360,2309,2424
orf19.1336.2,119,124,96,112
orf19.1338,3013,2166,1946,1946
orf19.1339,7332,5974,11378,11548
orf19.134,28,40,63,85
orf19.1340,764,638,6180,6293
orf19.1341,380,298,922,979
orf19.1342,6926,5554,22760,23719
orf19.1343,1231,1123,1814,1924
orf19.1344,164,117,136,173
orf19.1345,573,478,637,670
orf19.1348,10,14,12,8
orf19.1349,2,9,1,3
orf19.135,1209,997,1563,1624
orf19.1350,54,44,106,96
orf19.1351,258,228,227,228
orf19.1352,252,168,276,278
orf19.1353,0,0,4,10
orf19.1354,13,20,2040,1989
orf19.1355,2007,1633,1722,1798
orf19.1356,1041,816,573,611
orf19.1357,1813,1353,2830,2892
orf19.1358,5432,4622,16226,16536
orf19.1359,1187,1056,1007,1135
orf19.136,361,298,743,771
orf19.1360,85,83,56,60
orf19.1360.1,82,70,38,45
orf19.1361,664,487,703,716
orf19.1362,151,126,77,79
orf19.1363,8,2,13,26
orf19.1364,1200,833,2167,2342
orf19.1365,122,90,174,141
orf19.1366,26,25,18,35
orf19.1367,169,180,241,203
orf19.1367.1,533,343,196,223
orf19.1368,1498,1211,1245,1307
orf19.1369,375,284,205,260
orf19.137,1323,931,816,805
orf19.1370,2,11,0,4
orf19.1371,389,341,475,495
orf19.1372,3278,2358,1687,1593
orf19.1373,1154,1017,1070,1211
orf19.1374,1224,1000,389,337
orf19.1375,1728,1391,11595,11916
orf19.1376,1610,1272,1237,1254
orf19.1377,600,396,670,604
orf19.1378,7154,5829,4912,5202
orf19.138,82,71,94,90
orf19.1381,5227,3859,3168,3163
orf19.1382,260,231,296,283
orf19.1383,546,544,807,771
orf19.1386,791,604,420,418
orf19.1387,1826,1355,1524,1694
orf19.1388,240,216,152,125
orf19.1389,5386,4471,3151,3200
orf19.139,4451,4150,2549,2964
orf19.1390,21627,17097,3663,3796
orf19.1391,508,460,201,223
orf19.1392,2860,2435,1298,1427
orf19.1393,496,390,367,405
orf19.1394,453,382,1118,1096
orf19.1395,1900,1702,2352,2433
orf19.1396,1575,1314,1350,1375
orf19.1397,334,326,238,282
orf19.1400,1093,796,914,862
orf19.1401,431,319,362,392
orf19.1402,4535,3515,2783,2901
orf19.1403,1053,868,705,618
orf19.1404,415,324,237,281
orf19.1405,548,368,376,359
orf19.1406,222,180,234,277
orf19.1409,745,521,465,551
orf19.1409.1,1140,794,5422,5326
orf19.1409.2,10,9,13,12
orf19.1409.3,2,0,0,0
orf19.1411,31,35,56,89
orf19.1412,481,371,566,604
orf19.1413,263,238,471,516
orf19.1414,5253,4252,2752,2826
orf19.1415,2962,2333,3987,4335
orf19.1416,1682,1300,1077,973
orf19.1417,216,192,115,122
orf19.1418,1522,1365,1464,1482
orf19.1420,479,328,365,314
orf19.1421,240,147,134,145
orf19.1422,1651,1514,1498,1645
orf19.1424,361,333,492,519
orf19.1426,1548,1413,1922,2118
orf19.1427,467,465,519,556
orf19.1428,138,91,90,88
orf19.1429,181,143,121,105
orf19.1430,150,133,149,188
orf19.1433,836,688,749,740
orf19.1433.1,0,0,0,1
orf19.1434,501,383,684,749
orf19.1435,216226,163151,139480,143401
orf19.1438,10,6,5,6
orf19.1439,486,305,690,643
orf19.144,610,640,923,935
orf19.1440,1114,899,561,540
orf19.1440.1,0,1,3,5
orf19.1440.2,15,22,26,31
orf19.1441,1691,1336,1611,1704
orf19.1442,3748,2900,4761,4858
orf19.1444,2394,2136,2085,2532
orf19.1445,434,454,727,814
orf19.1446,2386,2073,3367,3462
orf19.1447,613,677,578,615
orf19.1448,4186,3239,2147,2177
orf19.1448.1,433,328,227,163
orf19.1449,177,153,90,80
orf19.145,2010,1724,1049,992
orf19.1450,3,3,1,4
orf19.1451,2494,2175,1880,2123
orf19.1453,5490,4840,5949,6184
orf19.1456,80,64,112,116
orf19.1457,1528,1336,1165,1259
orf19.1458,236,166,199,283
orf19.1459,590,528,540,533
orf19.1460,4356,3447,4418,4686
orf19.1461,828,608,833,810
orf19.1462,3875,2903,3188,3256
orf19.1464,1599,1395,2022,2078
orf19.1465,132,113,56,41
orf19.1466,291,246,192,185
orf19.1467,6350,4471,2819,2766
orf19.1468,4217,3313,3900,4111
orf19.147,942,833,1312,1493
orf19.1470,8199,6210,21493,21392
orf19.1471,3778,3236,2396,2264
orf19.1473,220,142,860,819
orf19.1474,7552,6565,5848,6352
orf19.1476,17,22,12,11
orf19.1477,825,596,511,554
orf19.1478,9561,7200,4491,4869
orf19.1479,1173,1078,1120,1178
orf19.1480,4681,3549,2504,2505
orf19.1481,764,645,877,953
orf19.1482,225,183,123,100
orf19.1483,337,227,199,208
orf19.1484,239,185,110,127
orf19.1485,315,230,256,267
orf19.1486,1543,1240,81,83
orf19.1488,65,50,70,79
orf19.149,5,2,6,1
orf19.1490,1895,1415,1108,1339
orf19.1490.1,224,201,7,7
orf19.1491,550,426,427,438
orf19.1492,293,266,287,298
orf19.1493,1373,1145,1668,1770
orf19.1494,7414,5348,2832,2993
orf19.1495,871,712,315,321
orf19.1496,731,555,671,688
orf19.1497,110,123,296,330
orf19.1499,630,696,740,864
orf19.150,418,316,451,449
orf19.1500,1079,1104,1251,1273
orf19.1502,277,205,417,441
orf19.1504,1645,1334,1924,1970
orf19.1505,790,686,542,616
orf19.1506,0,2,1,0
orf19.1507,640,491,585,661
orf19.1508,66,41,71,70
orf19.1509,4734,3722,2986,3025
orf19.151,873,669,483,487
orf19.1510,2266,1732,2381,2584
orf19.1513,2255,2122,2074,2306
orf19.1514,3501,2447,2491,2491
orf19.1515,339,262,237,251
orf19.1516,2676,2057,2411,2555
orf19.1517,9377,7276,34691,34269
orf19.1519,934,717,960,1065
orf19.1522,2010,1702,2979,3092
orf19.1523,222,184,54,43
orf19.1524,4,3,2,4
orf19.1525,758,558,847,872
orf19.1526,4860,4476,3950,4645
orf19.1527,510,333,109,73
orf19.1528,914,687,468,465
orf19.1529,21,14,5,3
orf19.1530,4,0,1,3
orf19.1531,1038,873,1304,1347
orf19.1532,286,229,269,301
orf19.1533,793,641,798,796
orf19.1534,742,528,707,716
orf19.1535,234,167,104,128
orf19.1536,2397,1622,2516,2823
orf19.1538,753,744,450,524
orf19.1539,7,5,13,17
orf19.154,132,81,82,86
orf19.1541,7,5,11,5
orf19.1542,2096,1829,1312,1329
orf19.1543,1376,1207,741,777
orf19.1544,4766,3926,2017,2124
orf19.1545,456,325,361,318
orf19.1546,662,463,657,668
orf19.1547,269,241,160,163
orf19.1548,279,204,152,141
orf19.1549,2259,1686,1154,1221
orf19.155,1653,1136,751,840
orf19.1551,453,332,312,346
orf19.1552,3484,2598,1627,1632
orf19.1553,9581,7172,4944,5216
orf19.1555,1601,1350,1460,1554
orf19.1557,603,450,135,146
orf19.1559,5703,4373,30588,30924
orf19.156,1939,1522,2023,2078
orf19.1560,5870,4684,4954,5142
orf19.1562,421,302,431,421
orf19.1563,483,377,1820,1811
orf19.1564,4610,3560,3155,3170
orf19.1565,1668,1328,1184,1328
orf19.1566,304,218,318,320
orf19.1567,1292,1072,1354,1364
orf19.1569,858,786,1283,1412
orf19.1570,3283,2555,4263,4558
orf19.1571,0,1,0,0
orf19.1573,2246,1723,1972,2091
orf19.1574,2154,1850,1171,1263
orf19.1575,1985,1440,494,517
orf19.1576,669,733,616,659
orf19.1577,3,5,4,6
orf19.1578,677,578,535,671
orf19.158,409,281,339,405
