gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
orf19.135,1493,1154,1563,1624
orf19.1350,197,165,106,96
orf19.1351,222,126,227,228
orf19.1352,381,338,276,278
orf19.1353,0,0,4,10
orf19.1354,239,200,2040,1989
orf19.1355,2555,1733,1722,1798
orf19.1356,457,373,573,611
orf19.1357,8361,5266,2830,2892
orf19.1358,15229,11405,16226,16536
orf19.1359,1708,1341,1007,1135
orf19.136,444,342,743,771
orf19.1360,146,107,56,60
orf19.1360.1,39,24,38,45
orf19.1361,2163,1550,703,716
orf19.1362,1490,938,77,79
orf19.1363,96,41,13,26
orf19.1364,915,622,2167,2342
orf19.1365,110,69,174,141
orf19.1366,19,9,18,35
orf19.1367,127,95,241,203
orf19.1367.1,400,291,196,223
orf19.1368,1376,1013,1245,1307
orf19.1369,180,128,205,260
orf19.137,680,516,816,805
orf19.1370,1,0,0,4
orf19.1371,624,405,475,495
orf19.1372,2051,1498,1687,1593
orf19.1373,1051,786,1070,1211
orf19.1374,536,457,389,337
orf19.1375,8337,6225,11595,11916
orf19.1376,1680,1122,1237,1254
orf19.1377,517,346,670,604
orf19.1378,12376,8439,4912,5202
orf19.138,239,147,94,90
orf19.1381,2002,1534,3168,3163
orf19.1382,359,269,296,283
orf19.1383,954,672,807,771
orf19.1386,409,245,420,418
orf19.1387,1735,1254,1524,1694
orf19.1388,3022,1934,152,125
orf19.1389,3795,2713,3151,3200
orf19.139,4770,3128,2549,2964
orf19.1390,2232,1581,3663,3796
orf19.1391,71,58,201,223
orf19.1392,1624,1125,1298,1427
orf19.1393,823,599,367,405
orf19.1394,902,615,1118,1096
orf19.1395,4097,3196,2352,2433
orf19.1396,1933,1486,1350,1375
orf19.1397,476,347,238,282
orf19.1400,1096,772,914,862
orf19.1401,620,472,362,392
orf19.1402,5573,3905,2783,2901
orf19.1403,3715,2593,705,618
orf19.1404,3006,2004,237,281
orf19.1405,344,241,376,359
orf19.1406,328,201,234,277
orf19.1409,1156,751,465,551
orf19.1409.1,8438,5899,5422,5326
orf19.1409.2,18,10,13,12
orf19.1409.3,0,1,0,0
orf19.1411,132,92,56,89
orf19.1412,890,614,566,604
orf19.1413,515,372,471,516
orf19.1414,3294,2269,2752,2826
orf19.1415,5067,3426,3987,4335
orf19.1416,1973,1385,1077,973
orf19.1417,261,183,115,122
orf19.1418,1707,1283,1464,1482
orf19.1420,321,242,365,314
orf19.1421,152,114,134,145
orf19.1422,2819,1947,1498,1645
orf19.1424,311,225,492,519
orf19.1426,1155,717,1922,2118
orf19.1427,619,471,519,556
orf19.1428,94,55,90,88
orf19.1429,173,130,121,105
orf19.1430,176,76,149,188
orf19.1433,520,356,749,740
orf19.1433.1,0,0,0,1
orf19.1434,458,295,684,749
orf19.1435,223786,155837,139480,143401
orf19.1438,31,23,5,6
orf19.1439,805,607,690,643
orf19.144,2610,1749,923,935
orf19.1440,912,606,561,540
orf19.1440.1,5,1,3,5
orf19.1440.2,36,46,26,31
orf19.1441,4240,2612,1611,1704
orf19.1442,1500,1095,4761,4858
orf19.1444,3948,2754,2085,2532
orf19.1445,178,125,727,814
orf19.1446,3250,2187,3367,3462
orf19.1447,437,279,578,615
orf19.1448,3203,2185,2147,2177
orf19.1448.1,230,164,227,163
orf19.1449,442,332,90,80
orf19.145,2555,1802,1049,992
orf19.1450,3,1,1,4
orf19.1451,2674,1864,1880,2123
orf19.1453,8405,6034,5949,6184
orf19.1456,188,147,112,116
orf19.1457,1931,1364,1165,1259
orf19.1458,517,318,199,283
orf19.1459,669,466,540,533
orf19.1460,5182,3813,4418,4686
orf19.1461,733,603,833,810
orf19.1462,3373,2404,3188,3256
orf19.1464,1411,1109,2022,2078
orf19.1465,96,67,56,41
orf19.1466,673,427,192,185
orf19.1467,4345,3184,2819,2766
orf19.1468,3842,2657,3900,4111
orf19.147,1155,810,1312,1493
orf19.1470,30602,22384,21493,21392
orf19.1471,4459,3183,2396,2264
orf19.1473,2379,1627,860,819
orf19.1474,7575,5899,5848,6352
orf19.1476,13,21,12,11
orf19.1477,557,336,511,554
orf19.1478,5604,3876,4491,4869
orf19.1479,1248,963,1120,1178
orf19.1480,3796,2615,2504,2505
orf19.1481,1049,749,877,953
orf19.1482,56,59,123,100
orf19.1483,459,260,199,208
orf19.1484,156,75,110,127
orf19.1485,537,384,256,267
orf19.1486,938,653,81,83
orf19.1488,177,122,70,79
orf19.149,4,7,6,1
orf19.1490,2271,1511,1108,1339
orf19.1490.1,25,25,7,7
orf19.1491,1032,612,427,438
