gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-GWK60_B03927,753,709,799,712
gene-GWK60_B03949,0,0,0,0
gene-GWK60_B03971,731,695,654,468
gene-GWK60_B03993,2823,2615,3647,3208
gene-GWK60_B04015,2652,2420,3452,2900
gene-GWK60_B04037,1781,1585,1389,1210
gene-GWK60_B04059,1253,1041,2299,2055
gene-GWK60_B04081,111,117,118,95
gene-GWK60_B04103,54,43,90,84
gene-GWK60_B04125,34391,35421,60922,52556
gene-GWK60_B04147,1466,1347,1623,1427
gene-GWK60_B04169,1650,1489,1449,1222
gene-GWK60_B04191,2604,2400,1625,1565
gene-GWK60_B04213,9934,9292,11886,10192
gene-GWK60_B04235,315,322,561,467
gene-GWK60_B04257,2067,1808,1709,1648
gene-GWK60_B04279,357,317,445,396
gene-GWK60_B04301,661,645,1016,923
gene-GWK60_B04323,60,52,114,80
gene-GWK60_B04345,708,709,622,477
gene-GWK60_B04367,1152,1147,1366,1174
gene-GWK60_B04389,5435,4853,5069,4515
gene-GWK60_B04411,1349,1314,1918,1691
gene-GWK60_B04433,8747,8442,13350,11753
gene-GWK60_B04455,3362,3190,3278,2822
gene-GWK60_B04477,464,404,510,407
gene-GWK60_B04499,5456,4775,4882,4247
gene-GWK60_B04521,133,96,158,147
gene-GWK60_B04543,1639,1626,2328,2026
gene-GWK60_B04565,389,390,419,394
gene-GWK60_B04587,588,514,543,467
gene-GWK60_B04609,592,580,545,505
gene-GWK60_B04631,273,212,313,294
gene-GWK60_B04653,4896,4422,5498,4950
gene-GWK60_B04675,531,513,443,389
gene-GWK60_B04697,2220,2139,4489,4128
gene-GWK60_B04719,590,541,748,711
gene-GWK60_B04741,864,763,861,689
gene-GWK60_B04763,664,644,724,596
gene-GWK60_B04785,623,565,546,481
gene-GWK60_B04807,1582,1570,2383,1945
gene-GWK60_B04829,556,529,795,677
gene-GWK60_B04851,0,0,0,0
gene-GWK60_B04873,0,0,0,0
gene-GWK60_B04895,2087,1913,2077,1947
gene-GWK60_B04917,0,1,0,0
gene-GWK60_C00011,81,66,55,67
gene-GWK60_C00033,585,519,734,614
gene-GWK60_C00055,703,588,721,618
gene-GWK60_C00077,466,476,780,729
gene-GWK60_C00099,4000,3703,1038,916
gene-GWK60_C00121,2177,1908,2438,2143
gene-GWK60_C00143,11570,10416,13755,12604
gene-GWK60_C00165,502,483,836,661
gene-GWK60_C00187,4339,4197,3848,3424
gene-GWK60_C00209,2353,2302,2880,2491
gene-GWK60_C00231,1060,926,1386,1090
gene-GWK60_C00253,847,822,1028,811
gene-GWK60_C00275,3060,3061,2352,1892
gene-GWK60_C00297,1170,1072,1353,1293
gene-GWK60_C00319,612,557,596,519
gene-GWK60_C00341,1912,1921,1809,1679
gene-GWK60_C00363,635,603,1317,1205
gene-GWK60_C00385,558,587,755,707
gene-GWK60_C00407,952,868,1013,817
gene-GWK60_C00429,301,284,589,445
gene-GWK60_C00451,552,475,618,508
gene-GWK60_C00473,10037,9389,10075,8720
gene-GWK60_C00495,3733,3605,2665,2622
gene-GWK60_C00517,3238,3054,2452,2081
gene-GWK60_C00539,523,483,499,400
gene-GWK60_C00561,1886,1770,1720,1541
gene-GWK60_C00583,1813,1661,2219,2056
gene-GWK60_C00605,2,4,2,2
gene-GWK60_C00627,854,628,1194,1293
gene-GWK60_C00649,12,20,23,22
gene-GWK60_C00671,646,523,1171,1187
gene-GWK60_C00693,4174,3734,4788,4826
gene-GWK60_C00715,404,378,482,406
gene-GWK60_C00737,1253,1130,1468,1295
gene-GWK60_C00759,1701,1534,3199,2893
gene-GWK60_C00781,3148,2859,3882,3404
gene-GWK60_C00803,3475,3077,4503,3773
gene-GWK60_C00825,3258,2915,3508,3215
gene-GWK60_C00847,617,636,1087,907
gene-GWK60_C00869,2655,2395,2877,2637
gene-GWK60_C00891,3942,3528,2650,2150
gene-GWK60_C00913,864,906,910,737
gene-GWK60_C00935,2930,2562,3872,3268
gene-GWK60_C00957,3939,3460,3032,2532
gene-GWK60_C00979,53,36,65,61
gene-GWK60_C01001,337,283,317,262
gene-GWK60_C01023,125,120,156,129
gene-GWK60_C01045,2198,2060,2845,2518
gene-GWK60_C01067,685,702,939,807
gene-GWK60_C01089,2745,2498,2329,2102
gene-GWK60_C01111,2256,1823,1703,1587
gene-GWK60_C01133,2802,2661,3167,2852
gene-GWK60_C01155,1351,1399,1551,1271
gene-GWK60_C01177,9666,9126,12734,11761
gene-GWK60_C01199,3433,3206,5095,4312
gene-GWK60_C01221,13,6,3,5
gene-GWK60_C01243,1392,1291,1460,1281
gene-GWK60_C01265,1075,1022,964,886
gene-GWK60_C01287,5967,5285,6355,5691
gene-GWK60_C01309,1508,1470,1225,1075
gene-GWK60_C01331,2504,2444,2658,2417
gene-GWK60_C01353,477,563,1233,1077
gene-GWK60_C01375,1463,1335,1135,1091
gene-GWK60_C01397,575,542,374,329
gene-GWK60_C01419,3560,3348,2181,2003
gene-GWK60_C01441,695,639,512,482
gene-GWK60_C01463,3258,2854,2361,2161
gene-GWK60_C01485,579,564,741,676
gene-GWK60_C01507,0,0,0,0
gene-GWK60_C01529,1009,959,1163,996
gene-GWK60_C01551,13274,11542,16025,14093
gene-GWK60_C01573,1270,1112,1094,862
gene-GWK60_C01595,359,350,377,345
gene-GWK60_C01617,1493,1386,1261,1108
gene-GWK60_C01639,6496,5903,6373,5626
gene-GWK60_C01661,20,15,15,11
gene-GWK60_C01683,393,453,436,369
gene-GWK60_C01705,1032,927,794,736
gene-GWK60_C01727,2633,2539,2587,2297
gene-GWK60_C01749,2079,1796,1755,1696
gene-GWK60_C01771,3427,3183,3481,3106
gene-GWK60_C01793,14297,12239,13038,12047
gene-GWK60_C01815,3776,3798,4822,4234
gene-GWK60_C01837,2338,2118,2163,1716
gene-GWK60_C01859,154,86,100,132
gene-GWK60_C01881,1052,950,1096,1026
gene-GWK60_C01903,314,272,392,373
gene-GWK60_C01925,483,453,328,273
gene-GWK60_C01947,8171,7690,7560,6831
gene-GWK60_C01969,20,22,19,14
gene-GWK60_C01991,254,222,514,418
gene-GWK60_C02013,1163,998,1468,1296
gene-GWK60_C02035,1471,1361,1822,1842
gene-GWK60_C02057,3867,3710,3815,3588
gene-GWK60_C02079,1450,1221,2121,1726
gene-GWK60_C02101,415,369,570,499
gene-GWK60_C02123,171,126,1274,1148
gene-GWK60_C02145,2361,1806,1934,1741
gene-GWK60_C02167,2193,2031,2271,1944
gene-GWK60_C02189,1556,1360,1478,1293
