gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
gene-KLLA0_A04774g,404,472,230,339
gene-KLLA0_A04796g,1319,1273,1382,1728
gene-KLLA0_A04818g,848,864,761,1021
gene-KLLA0_A04840g,1342,1345,717,942
gene-KLLA0_A04862g,1558,1631,1167,1437
gene-KLLA0_A04884g,1222,1282,1316,1345
gene-KLLA0_A04906g,18524,18616,95,100
gene-KLLA0_A04928g,1061,1057,981,1116
gene-KLLA0_A04961g,6210,6570,7704,8664
gene-KLLA0_A04983g,5182,4963,5693,5227
gene-KLLA0_A05005g,1058,1108,259,340
gene-KLLA0_A05027g,2544,2638,1483,1769
gene-KLLA0_A05049g,606,598,484,526
gene-KLLA0_A05071g,3669,3718,4812,5454
gene-KLLA0_A05093g,1941,1974,1592,2235
gene-KLLA0_A05115g,1513,1450,1048,1096
gene-KLLA0_A05137g,2308,2420,1370,1581
gene-KLLA0_A05159g,1991,2152,1295,1714
gene-KLLA0_A05181g,130,118,73,82
gene-KLLA0_A05203g,823,834,484,581
gene-KLLA0_A05225g,559,581,447,471
gene-KLLA0_A05247g,557,604,400,551
gene-KLLA0_A05258g,684,669,462,504
gene-KLLA0_A05280g,2072,2009,1859,1728
gene-KLLA0_A05302g,735,699,319,371
gene-KLLA0_A05324g,2106,2070,891,1045
gene-KLLA0_A05346g,3141,2972,2116,1886
gene-KLLA0_A05368g,633,522,1488,1475
gene-KLLA0_A05390g,2936,2929,3219,3586
gene-KLLA0_A05412g,686,750,593,732
gene-KLLA0_A05434g,1511,1535,936,996
gene-KLLA0_A05456g,1774,1873,1431,1587
gene-KLLA0_A05478g,4814,4979,3811,4638
gene-KLLA0_A05500g,618,513,306,412
gene-KLLA0_A05511g,37,15,23,30
gene-KLLA0_A05522g,2779,2729,2452,2155
gene-KLLA0_A05544g,37110,38329,43685,51766
gene-KLLA0_A05566g,268,246,167,224
gene-KLLA0_A05621g,1690,1723,1696,1582
gene-KLLA0_A05643g,568,535,243,298
gene-KLLA0_A05665g,829,907,836,1015
gene-KLLA0_A05687g,3,2,0,0
gene-KLLA0_A05700g,206,234,6187,6314
gene-KLLA0_A05709g,1315,1470,1012,1042
gene-KLLA0_A05731g,12106,12848,19436,24176
gene-KLLA0_A05753g,393,401,418,460
gene-KLLA0_A05775g,833,856,1015,1254
gene-KLLA0_A05797g,769,784,784,902
gene-KLLA0_A05819g,1847,1841,1679,1922
gene-KLLA0_A05841g,770,746,1391,1783
gene-KLLA0_A05852g,369,279,83,77
gene-KLLA0_A05863g,2599,2689,17410,22238
gene-KLLA0_A05885g,891,1061,926,1275
gene-KLLA0_A05907g,1558,1744,721,933
gene-KLLA0_A05929g,1023,1074,451,484
gene-KLLA0_A05951g,753,784,735,951
gene-KLLA0_A05973g,408,502,411,484
gene-KLLA0_A05987r,16,16,7,5
gene-KLLA0_A06002r,3,1,5,4
gene-KLLA0_A06017g,610,670,499,677
gene-KLLA0_A06039g,994,994,704,869
gene-KLLA0_A06061g,846,861,520,538
gene-KLLA0_A06072r,0,0,0,0
gene-KLLA0_A06083g,2081,2115,1299,1582
gene-KLLA0_A06105g,991,982,770,819
gene-KLLA0_A06127g,2211,2193,1139,1340
gene-KLLA0_A06149g,1771,1708,1024,1168
gene-KLLA0_A06171g,506,524,246,327
gene-KLLA0_A06193g,895,950,937,1102
gene-KLLA0_A06215g,1503,1608,2083,2261
gene-KLLA0_A06237g,1655,1767,2811,3195
gene-KLLA0_A06259g,1306,1228,1570,1856
gene-KLLA0_A06281g,232,265,331,479
gene-KLLA0_A06303g,2879,2990,1774,2116
gene-KLLA0_A06336g,518,611,18783,23135
gene-KLLA0_A06402g,1430,1501,1825,2053
gene-KLLA0_A06424g,3124,3099,3583,3777
gene-KLLA0_A06446g,609,642,1055,1195
gene-KLLA0_A06468g,1002,978,646,734
gene-KLLA0_A06490g,691,725,354,470
gene-KLLA0_A06512g,8708,9012,6932,7873
gene-KLLA0_A06534g,1296,1349,499,575
gene-KLLA0_A06556g,819,950,1210,1456
gene-KLLA0_A06578g,182,182,61,69
gene-KLLA0_A06600g,1667,1827,1754,1950
gene-KLLA0_A06622g,478,525,445,386
gene-KLLA0_A06644g,2174,2256,2011,2362
gene-KLLA0_A06666g,864,853,514,567
gene-KLLA0_A06688g,1108,1204,788,939
gene-KLLA0_A06710g,1904,1881,2049,2182
gene-KLLA0_A06732g,6873,7403,8616,9933
gene-KLLA0_A06754g,3110,3246,2315,2204
gene-KLLA0_A06776g,1119,1037,937,1066
gene-KLLA0_A06798g,442,395,663,700
gene-KLLA0_A06820g,1218,1340,1624,1869
gene-KLLA0_A06842g,1291,1327,725,837
gene-KLLA0_A06864r,0,0,0,0
gene-KLLA0_A06886g,2986,3032,13231,15234
gene-KLLA0_A06908r,0,0,0,0
gene-KLLA0_A06930g,982,963,520,624
gene-KLLA0_A06952g,352,384,324,309
gene-KLLA0_A06974g,917,924,486,568
gene-KLLA0_A06996g,1048,1242,357,514
gene-KLLA0_A07018g,762,811,444,500
gene-KLLA0_A07040g,2887,3129,4778,5671
gene-KLLA0_A07051g,0,1,0,0
gene-KLLA0_A07062g,12992,13207,4025,4568
gene-KLLA0_A07084g,1334,1368,377,470
gene-KLLA0_A07106g,412,445,472,541
gene-KLLA0_A07128g,1056,1086,796,851
gene-KLLA0_A07150g,178,191,100,81
gene-KLLA0_A07172g,1126,1211,1322,1476
gene-KLLA0_A07194g,277,286,16335,15959
gene-KLLA0_A07227g,109,111,12387,13805
gene-KLLA0_A07249g,1612,1632,2123,2537
gene-KLLA0_A07271g,3151,3322,1874,2397
gene-KLLA0_A07293g,941,1066,534,691
gene-KLLA0_A07315g,2242,2142,2009,2563
gene-KLLA0_A07337g,667,646,514,445
gene-KLLA0_A07359g,1675,1806,1520,1673
gene-KLLA0_A07381g,766,821,338,337
gene-KLLA0_A07403g,1441,1420,2755,2651
gene-KLLA0_A07425g,2212,2190,2006,2147
gene-KLLA0_A07447g,757,887,592,704
gene-KLLA0_A07469g,1398,1416,296,317
gene-KLLA0_A07491g,1916,2101,1331,1546
gene-KLLA0_A07513g,709,732,519,603
gene-KLLA0_A07535g,193,176,70,94
gene-KLLA0_A07557g,4952,5149,1805,1880
gene-KLLA0_A07579g,2841,2969,1888,2189
gene-KLLA0_A07601g,1120,1046,1133,1492
gene-KLLA0_A07623g,289,333,371,387
gene-KLLA0_A07645g,188,179,6,1
gene-KLLA0_A07667g,2050,2099,872,1019
gene-KLLA0_A07689g,289,292,91,86
gene-KLLA0_A07711g,384,398,213,245
gene-KLLA0_A07733g,1614,1723,946,970
gene-KLLA0_A07755g,410,393,791,844
gene-KLLA0_A07777g,83,101,34,46
gene-KLLA0_A07799g,3087,3114,2818,3341
gene-KLLA0_A07821g,735,718,492,509
gene-KLLA0_A07843g,1361,1468,1299,1419
gene-KLLA0_A07865g,494,480,510,528
gene-KLLA0_A07887g,246,234,195,251
gene-KLLA0_A07909g,1413,1571,1968,2217
gene-KLLA0_A07931g,1844,1833,960,1226
gene-KLLA0_A07953g,3796,3881,908,1169
gene-KLLA0_A07975g,1582,1763,898,1026
gene-KLLA0_A07997g,1500,1658,511,583
gene-KLLA0_A08019g,1217,1241,622,692
gene-KLLA0_A08041g,1426,1321,822,1015
gene-KLLA0_A08063g,1275,1278,668,781
gene-KLLA0_A08085r,0,0,0,0
gene-KLLA0_A08107g,5068,5266,6276,7583
gene-KLLA0_A08129g,1827,1962,1629,1669
gene-KLLA0_A08140g,780,814,289,398
gene-KLLA0_A08162g,886,1001,728,760
gene-KLLA0_A08184g,2931,2867,5220,5161
gene-KLLA0_A08206g,135,138,42,44
gene-KLLA0_A08228r,0,0,0,0
gene-KLLA0_A08294r,0,0,1,0
gene-KLLA0_A08316g,2552,2613,2281,2766
gene-KLLA0_A08338g,1442,1536,1079,1121
gene-KLLA0_A08360g,4086,4269,4828,5759
gene-KLLA0_A08382g,2558,2790,689,896
gene-KLLA0_A08404g,2009,2084,2399,2659
gene-KLLA0_A08426g,2522,2521,4567,5464
gene-KLLA0_A08448g,2162,2234,5766,6816
gene-KLLA0_A08470g,805,880,1302,1827
gene-KLLA0_A08492g,4418,4837,8845,11318
gene-KLLA0_A08514r,0,0,0,0
gene-KLLA0_A08536g,418,480,202,245
gene-KLLA0_A08558r,0,0,0,0
gene-KLLA0_A08580g,1072,1186,1026,1083
gene-KLLA0_A08602g,461,464,378,461
gene-KLLA0_A08624g,646,639,665,847
gene-KLLA0_A08646g,1512,1613,1227,1437
gene-KLLA0_A08690g,355,389,79,125
gene-KLLA0_A08712g,674,659,534,636
gene-KLLA0_A08734g,1495,1462,1364,1541
gene-KLLA0_A08756g,1764,1906,1855,2059
gene-KLLA0_A08778g,1776,1763,2063,2470
gene-KLLA0_A08800g,579,641,600,714
gene-KLLA0_A08822g,1117,1105,591,682
gene-KLLA0_A08844g,4441,4536,3381,4189
gene-KLLA0_A08866g,1586,1557,979,1130
gene-KLLA0_A08888g,451,424,399,447
gene-KLLA0_A08910g,2476,2595,3137,3237
gene-KLLA0_A08932g,421,487,408,441
gene-KLLA0_A08965r,0,0,0,0
gene-KLLA0_A08987r,0,1,0,0
gene-KLLA0_A09031g,29114,30357,25458,30436
gene-KLLA0_A09075g,27969,28992,9616,12289
gene-KLLA0_A09097g,2100,2166,3641,3745
gene-KLLA0_A09119g,1763,1747,1449,1593
gene-KLLA0_A09141g,629,582,488,461
gene-KLLA0_A09185g,336117,339690,305026,379413
gene-KLLA0_A09207g,602,653,366,411
gene-KLLA0_A09229g,633,606,280,242
gene-KLLA0_A09251g,1567,1488,797,937
gene-KLLA0_A09273r,0,0,0,0
gene-KLLA0_A09295g,1143,1172,902,1270
gene-KLLA0_A09317g,960,971,326,349
gene-KLLA0_A09339g,43444,45830,34188,40994
gene-KLLA0_A09361g,209,205,75,78
gene-KLLA0_A09383g,869,819,391,494
gene-KLLA0_A09405g,16,11,0,6
gene-KLLA0_A09427g,2424,2668,867,953
gene-KLLA0_A09449g,9402,9493,2762,3323
gene-KLLA0_A09471g,2400,2586,2474,2439
gene-KLLA0_A09493g,565,643,302,259
gene-KLLA0_A09515g,2380,2462,2110,2606
gene-KLLA0_A09537g,1293,1346,774,872
gene-KLLA0_A09559g,993,998,1082,1244
gene-KLLA0_A09581r,0,0,0,0
gene-KLLA0_A09603g,1751,1726,520,544
gene-KLLA0_A09625g,634,653,529,622
gene-KLLA0_A09647g,3403,3520,5807,6482
gene-KLLA0_A09669g,1762,1964,1596,2032
gene-KLLA0_A09691g,2109,2083,1898,2185
gene-KLLA0_A09713g,6598,6927,6542,8180
gene-KLLA0_A09735g,545,594,884,1179
gene-KLLA0_A09757g,156,152,157,101
gene-KLLA0_A09779g,936,1003,185,227
gene-KLLA0_A09801g,774,713,541,730
gene-KLLA0_A09823g,2727,2771,2956,3022
gene-KLLA0_A09845g,830,855,595,740
gene-KLLA0_A09867g,557,579,244,303
gene-KLLA0_A09889g,2156,2082,1370,1457
gene-KLLA0_A09911g,3096,3363,221,316
gene-KLLA0_A09933g,4100,4160,1484,1459
gene-KLLA0_A09955g,3026,2912,2377,2385
gene-KLLA0_A09977g,22138,23300,11313,14800
gene-KLLA0_A09999g,1465,1449,1001,1187
gene-KLLA0_A10021g,2232,2401,1664,1855
gene-KLLA0_A10043g,623,698,453,497
gene-KLLA0_A10065g,2177,2051,2269,2679
gene-KLLA0_A10087g,158,178,127,134
gene-KLLA0_A10109g,2650,2784,2644,3044
gene-KLLA0_A10131g,854,963,1142,1161
gene-KLLA0_A10153g,2746,2870,1584,1934
gene-KLLA0_A10175g,2960,3215,727,804
gene-KLLA0_A10197g,1129,1255,516,685
gene-KLLA0_A10219g,1211,1153,1375,1692
gene-KLLA0_A10241g,700,814,653,833
gene-KLLA0_A10263g,1898,1980,930,1036
gene-KLLA0_A10285g,1729,1645,1468,1742
gene-KLLA0_A10307g,16587,16789,26843,33339
gene-KLLA0_A10329g,1379,1396,877,1026
gene-KLLA0_A10351g,596,639,433,527
