gene_id,treated_b1,untreated_b1,untreated_b2
gene-KLLA0_A05987r,9,7,5
gene-KLLA0_A06002r,5,5,4
gene-KLLA0_A06017g,516,499,677
gene-KLLA0_A06039g,938,704,869
gene-KLLA0_A06061g,711,520,538
gene-KLLA0_A06072r,0,0,0
gene-KLLA0_A06083g,1863,1299,1582
gene-KLLA0_A06105g,943,770,819
gene-KLLA0_A06127g,2190,1139,1340
gene-KLLA0_A06149g,1865,1024,1168
gene-KLLA0_A06171g,444,246,327
gene-KLLA0_A06193g,893,937,1102
gene-KLLA0_A06215g,1491,2083,2261
gene-KLLA0_A06237g,2166,2811,3195
gene-KLLA0_A06259g,979,1570,1856
gene-KLLA0_A06281g,252,331,479
gene-KLLA0_A06303g,2747,1774,2116
gene-KLLA0_A06336g,439,18783,23135
gene-KLLA0_A06402g,1427,1825,2053
gene-KLLA0_A06424g,3726,3583,3777
gene-KLLA0_A06446g,578,1055,1195
gene-KLLA0_A06468g,1235,646,734
gene-KLLA0_A06490g,818,354,470
gene-KLLA0_A06512g,9239,6932,7873
gene-KLLA0_A06534g,683,499,575
gene-KLLA0_A06556g,979,1210,1456
gene-KLLA0_A06578g,88,61,69
gene-KLLA0_A06600g,1616,1754,1950
gene-KLLA0_A06622g,571,445,386
gene-KLLA0_A06644g,2006,2011,2362
gene-KLLA0_A06666g,635,514,567
gene-KLLA0_A06688g,993,788,939
gene-KLLA0_A06710g,1381,2049,2182
gene-KLLA0_A06732g,9005,8616,9933
gene-KLLA0_A06754g,2976,2315,2204
gene-KLLA0_A06776g,1090,937,1066
gene-KLLA0_A06798g,377,663,700
gene-KLLA0_A06820g,1298,1624,1869
gene-KLLA0_A06842g,944,725,837
gene-KLLA0_A06864r,0,0,0
gene-KLLA0_A06886g,3808,13231,15234
gene-KLLA0_A06908r,0,0,0
gene-KLLA0_A06930g,830,520,624
gene-KLLA0_A06952g,406,324,309
gene-KLLA0_A06974g,633,486,568
gene-KLLA0_A06996g,664,357,514
gene-KLLA0_A07018g,376,444,500
gene-KLLA0_A07040g,3132,4778,5671
gene-KLLA0_A07051g,2,0,0
gene-KLLA0_A07062g,18102,4025,4568
gene-KLLA0_A07084g,1271,377,470
gene-KLLA0_A07106g,379,472,541
gene-KLLA0_A07128g,1027,796,851
gene-KLLA0_A07150g,135,100,81
gene-KLLA0_A07172g,1954,1322,1476
gene-KLLA0_A07194g,411,16335,15959
gene-KLLA0_A07227g,120,12387,13805
gene-KLLA0_A07249g,1155,2123,2537
gene-KLLA0_A07271g,3318,1874,2397
gene-KLLA0_A07293g,840,534,691
gene-KLLA0_A07315g,2068,2009,2563
gene-KLLA0_A07337g,643,514,445
gene-KLLA0_A07359g,1446,1520,1673
gene-KLLA0_A07381g,671,338,337
gene-KLLA0_A07403g,2159,2755,2651
gene-KLLA0_A07425g,2592,2006,2147
gene-KLLA0_A07447g,756,592,704
gene-KLLA0_A07469g,1141,296,317
gene-KLLA0_A07491g,2119,1331,1546
gene-KLLA0_A07513g,656,519,603
gene-KLLA0_A07535g,202,70,94
gene-KLLA0_A07557g,4148,1805,1880
gene-KLLA0_A07579g,2277,1888,2189
gene-KLLA0_A07601g,959,1133,1492
gene-KLLA0_A07623g,195,371,387
gene-KLLA0_A07645g,64,6,1
gene-KLLA0_A07667g,1677,872,1019
