"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-GWK60_E04147",26.184524086133,2.35708983770889,0.602158194002649,1.55260245913837e-05,2.31285441378301e-05
"gene-GWK60_E04235",315.543370054509,2.85586483451741,0.192637879696327,1.93267635723131e-50,7.42034864163262e-50
"gene-GWK60_E04587",4890.71141866546,2.54358589443963,0.0636708963985654,0,0
"gene-GWK60_E04697",14275.0882607759,-3.43503332200325,0.0614519425283895,0,0
"gene-GWK60_E04851",12287.5330487895,2.1489421349432,0.0508317489397298,0,0
"gene-GWK60_E05115",44.0466281491058,-4.42660132279099,0.64647211411349,2.06291138688939e-12,3.97906633481415e-12
"gene-GWK60_E05137",696.072684913496,-6.14626752684522,0.715924017440331,4.78598490527644e-19,1.08556621827314e-18
"gene-GWK60_E05159",2281.28123555014,-5.18835574779081,0.114024444005575,0,0
"gene-GWK60_E05269",32348.5823088084,2.84338232279899,0.0440257489239072,0,0
"gene-GWK60_E05313",1850.63003174904,2.17968625685444,0.0832269961556039,8.57219020868338e-152,7.69449155250419e-151
"gene-GWK60_E05423",951.783079570924,-2.11582338412576,0.111550698466252,5.32767383912013e-81,2.79955688249469e-80
"gene-GWK60_E05511",1540.85618177339,-2.93753195521716,0.0908391283855675,2.57954912111891e-230,3.58953131668928e-229
"gene-GWK60_E05555",912.534832905058,2.19851971455483,0.109379720445686,1.81369004316217e-90,1.04148576714334e-89
"gene-GWK60_E05599",670.303027041873,2.45043819910154,0.123364464397414,1.50502812076678e-88,8.46678921415323e-88
"gene-GWK60_E05621",8321.84686008842,9.10425690974787,0.192306309024353,0,0
"gene-GWK60_E06017",2583.82725851895,3.01037577433861,0.0770418494923675,0,0
"gene-GWK60_E06061",5826.92985583001,2.22901931294359,0.0559831225995614,0,0
"gene-GWK60_E06171",1145.82985194886,-2.14824969453951,0.0994704199131749,4.42499205817786e-104,2.85238458652151e-103
"gene-GWK60_E06281",4.06220350301631,3.96065618083215,2.83936418181001,0.00393501454581444,0.00520577880054928
"gene-GWK60_F00055",688.699911389227,-3.46071242345556,0.139029229541906,1.40039448964777e-137,1.12976610667903e-136
"gene-GWK60_F00099",9775.4771122168,2.91036726143481,0.0508959577446156,0,0
