gene_id	gene_name	Scer.t0000.b2.L001	Scer.t0000.b2.L002	Scer.t0000.b3.L001	Scer.t0000.b3.L002	Scer.t0030.b2.L001	Scer.t0030.b2.L002	Scer.t0030.b4.L001	Scer.t0030.b4.L002	Scer.t0060.b2.L001	Scer.t0060.b2.L002	Scer.t0060.b4.L001	Scer.t0060.b4.L002	Scer.t0090.b2.L001	Scer.t0090.b2.L002	Scer.t0090.b4.L001	Scer.t0090.b4.L002	Scer.t0120.b2.L001	Scer.t0120.b2.L002	Scer.t0120.b4.L001	Scer.t0120.b4.L002	Scer.t0150.b2.L001	Scer.t0150.b2.L002	Scer.t0150.b4.L001	Scer.t0150.b4.L002	Scer.t0180.b2.L001	Scer.t0180.b2.L002	Scer.t0180.b4.L001	Scer.t0180.b4.L002	Scer.t0210.b2.L001	Scer.t0210.b2.L002	Scer.t0210.b4.L001	Scer.t0210.b4.L002	Scer.t0240.b2.L001	Scer.t0240.b2.L002	Scer.t0240.b4.L001	Scer.t0240.b4.L002	Scer.t0360.b2.L001	Scer.t0360.b2.L002	Scer.t0360.b4.L001	Scer.t0360.b4.L002	Scer.t0480.b2.L001	Scer.t0480.b2.L002	Scer.t0480.b4.L001	Scer.t0480.b4.L002
gene-YOR276W	NM_001183695.3	429.301746	443.485506	476.390761	467.389649	263.980436	260.663801	257.440541	254.886129	316.828671	312.936737	356.92239	328.414077	383.071048	397.55135	382.427455	370.234859	358.068567	362.45302	339.311984	349.810027	240.084149	250.285449	259.47515	257.306449	198.294083	219.101957	231.543377	194.57158	220.288604	221.717061	220.808195	209.660262	221.382458	201.109624	235.830241	232.517219	181.633511	190.368133	201.731456	221.135822	184.607119	209.34757	263.013413	258.389214
gene-YOR278W	NM_001183697.1	40.137806	38.210892	38.343912	38.473542	55.263867	50.118029	43.010228	44.69916	54.746571	49.023627	44.96729	47.038264	45.049608	43.987218	45.779444	42.3161	31.199333	36.825004	40.132489	28.444475	41.870925	44.515451	41.097082	40.488291	40.955935	36.552308	45.400259	35.791566	41.771872	36.285011	42.285794	43.773369	38.744737	38.364876	45.55132	39.979566	36.187608	37.949041	39.584547	36.47353	36.574985	32.853058	41.198882	41.40131
gene-YOR279C	NM_001183698.3	16.75026	14.817283	16.886411	18.950325	23.635085	22.350822	20.061312	16.729519	20.821896	21.276895	18.343338	20.659283	17.779259	23.435715	15.224663	20.114835	17.831563	17.805054	19.658953	21.081812	22.950194	20.14455	19.826763	20.458999	20.885786	27.437678	22.230854	23.452722	24.806243	28.162883	25.039903	24.83332	23.925333	25.165525	23.167432	19.908059	24.812766	25.940465	24.978882	26.265445	27.932648	26.089124	28.489974	27.753438
gene-YOR280C	NM_001183699.1	42.299938	45.675673	45.998459	44.143178	52.735426	54.757203	52.02383	48.25729	57.983768	61.644526	62.823148	62.610893	53.276756	49.670709	49.866417	50.198631	50.258934	48.079906	52.575264	49.020219	61.178988	65.083794	57.532051	55.976036	57.692118	63.525654	60.004689	57.598204	64.449225	63.054503	64.312935	62.918624	61.460908	62.129775	60.615759	63.033767	63.442853	53.853944	59.165512	60.372126	47.3702	54.069274	51.074289	61.508703
gene-YOR281C	NM_001183700.3	97.979823	100.409288	100.867163	93.783148	106.477366	101.360855	99.913549	100.94675	113.155865	109.7164	117.833646	108.319954	110.768651	108.685368	106.363147	111.301432	99.202522	103.574273	103.5142	96.520802	104.168066	99.421265	108.069452	95.78785	93.267377	105.646794	97.48661	109.657673	104.256437	99.797406	99.586071	96.805395	88.796509	87.945867	96.861068	98.38924	81.520365	78.086025	83.349322	84.045366	83.308356	84.437075	94.527318	87.727734
gene-YOR283W	NM_001183702.1	107.489642	92.413032	98.508972	95.192365	61.340422	63.722091	67.353654	62.376367	90.875597	87.343364	88.933765	90.102614	97.002372	97.674774	104.622396	111.938701	91.250037	92.469812	81.434392	88.067697	89.242759	80.914058	90.517872	87.005199	92.651978	88.035611	90.767877	91.636851	105.18325	94.982564	107.655324	106.918661	113.309572	116.115109	112.1927	129.270456	132.949142	147.228401	165.216537	145.968922	191.896074	181.222831	223.322854	227.465043
gene-YOR284W	NM_001183703.3	17.640304	22.045911	21.154211	23.334533	16.527686	17.8228	15.996724	16.698421	18.582641	21.943737	23.720043	24.091993	19.18678	25.983987	23.245465	23.780379	19.653174	20.002402	18.970197	18.189823	19.684466	23.728829	21.97375	21.573425	22.499956	27.212549	22.119528	29.154174	32.570293	26.977305	29.091793	27.746334	30.077396	30.013964	26.257562	33.785788	26.861876	28.70121	28.449703	28.197909	23.767135	23.534256	31.604934	26.987648
gene-YOR285W	NM_001183704.1	339.539049	311.644706	340.951768	279.740593	1497.483528	1455.214679	1297.018015	1348.368113	869.184367	891.087907	924.052135	959.758003	485.869942	509.644369	499.539539	460.592858	768.839146	731.475667	783.885569	799.296454	1541.035411	1542.554652	1326.59642	1285.856594	1992.691964	1940.405913	1994.105379	1999.083604	1970.32253	1925.742625	2080.329918	2107.002373	2161.762543	2208.855159	1929.248119	1990.166298	2298.822594	2330.668296	2304.861174	2284.030744	2582.665905	2612.472596	2139.529547	2126.979271
gene-YOR286W	NM_001183705.3	102.711468	100.341009	118.084387	109.908265	209.092645	199.518036	183.518482	187.797186	141.73551	155.03888	159.613669	160.912411	120.833562	122.197202	140.349655	120.62217	130.309212	134.673874	130.308086	159.281725	173.206164	151.34895	149.93564	150.760253	155.250763	158.922283	154.00925	156.415145	149.838908	140.457269	156.577071	162.387891	140.18856	130.363774	137.680099	152.195226	119.396277	119.035019	120.187457	126.046093	107.570509	115.010308	126.273139	121.22552
gene-YOR287C	NM_001183706.1	24.872418	30.157224	33.784679	31.163019	6.020274	5.791469	6.051939	6.124597	35.646545	36.111051	39.136271	34.253309	35.871058	36.112338	36.985283	39.443439	15.632485	17.531695	23.056982	24.131832	7.924024	6.413679	10.490945	11.939935	5.184909	4.06479	2.996613	4.155803	6.334822	4.476504	7.292767	7.207447	4.9883	5.879413	7.151882	6.114335	11.830498	13.601037	16.543587	17.037188	31.344341	29.331512	28.981019	26.045587
