gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
KLLA0_A05665g,2.1417460799773504,2.2415932468468744,0,-3.785301499552731,-4.2405614653870165,-1.2038526194320152,0,0,0,0,0,0
KLLA0_A05700g,0,1.4594706505589718,1.228162398449539,0,-2.7645520961699477,-4.944317404894651,-5.282066022955718,-5.495463465789477,-5.319367698762775,-5.127581345088215,-4.7955859707175845,-4.475167249615458
KLLA0_A05709g,-2.1269225616027994,-2.7122369363052816,-1.320485073542702,0,0,0,0,0,0,0,0,0
KLLA0_A05731g,0,0,0,0,-1.66222487842378,-1.3444063127607395,-1.056944207393646,-1.0030362027584754,-1.150076073589208,-1.0963187677881268,-1.1256945152209237,-1.002552627363812
KLLA0_A05753g,1.5163041710046177,2.1313338468254455,0,-1.6497981525139818,-1.725645224432599,0,0,0,0,0,0,0
KLLA0_A05819g,-1.4905726660881649,-1.273264936943583,0,0,0,0,0,0,0,0,0,0
KLLA0_A05841g,0,0,0,0,-1.4415983457117605,-1.5282006596190438,-1.5256429873966983,-1.45760842313986,-1.4288268300174234,-1.3447415049833344,0,0
KLLA0_A05852g,0,0,0,0,0,0,1.0437832502974054,1.2407979329651122,1.5861819146276874,1.6355120975652606,2.464681768673234,2.812587404154658
KLLA0_A05863g,-1.0252300502182752,-5.3143652575424385,-5.012816856955056,-4.200270697453874,-3.638854493179694,-3.2570383481971463,-3.2037547706157437,-3.161146207144617,-3.191691493566879,-3.19646681204677,-2.829015471189684,-2.297722668064835
KLLA0_A05885g,0,-1.0809118789198258,0,0,0,0,0,0,0,0,0,0
KLLA0_A05907g,0,-2.2014435091693763,0,0,0,0,0,0,0,0,0,0
KLLA0_A05929g,0,0,0,0,0,0,0,0,0,0,0,1.1502325500041377
KLLA0_A05973g,2.152674949014266,2.6850314182260844,0,-3.0077024540374326,-2.9777887395166167,0,0,0,0,0,0,0
KLLA0_A06017g,0,0,0,-1.8678502300685096,-1.7479845396441316,0,0,0,0,0,0,0
KLLA0_A06061g,-1.0633070035419914,0,0,0,0,0,0,0,0,0,0,0
KLLA0_A06127g,-1.3034699469635085,-1.6788472930258591,-1.0550523022723164,0,0,0,0,0,0,0,0,0
KLLA0_A06215g,0,0,0,0,0,0,0,0,0,0,0,-1.0230321809088847
KLLA0_A06237g,0,0,0,0,0,0,0,0,0,-1.1049219132379198,-1.253592876634687,-1.917194536992018
KLLA0_A06259g,0,0,0,0,0,-1.016423756683186,0,0,0,0,0,0
KLLA0_A06281g,0,0,0,0,-1.0831602581316886,0,0,0,-1.0688682449414473,0,-1.023392411371114,0
KLLA0_A06336g,0,1.3206843419614012,1.0158334165814444,0,-3.2583893711178664,-5.8031471749724695,-5.929875609919857,-5.689553285084707,-5.676854673062896,-5.512177953606576,-4.808292838658487,-4.863819323734379
KLLA0_A06446g,-1.692684462746515,-2.4020661849732847,-2.0933797382493116,-1.9903682618196532,-1.4297457158354905,-1.1643528901066915,-1.1810590166506865,-1.1625435652470262,-1.1761553978364223,-1.1312984239593844,-1.1333825942287077,-1.0004580334984612
KLLA0_A06468g,2.3679745300512844,3.1254096181506106,2.4952789377019036,1.8828480929700648,1.3453384482486257,0,0,0,0,0,0,0
KLLA0_A06512g,0,-2.06445810434764,-1.5590054508374769,0,0,0,0,0,0,0,0,0
KLLA0_A06534g,0,-1.0961315298353975,-1.1123239653762251,0,0,0,0,0,0,0,1.3846783570972376,1.6820396139000515
KLLA0_A06556g,0,0,0,0,0,0,0,-1.018282309194409,0,0,0,0
KLLA0_A06578g,0,0,0,0,0,0,0,0,0,1.079062526674447,2.351603189788364,3.1000945717219404
KLLA0_A06710g,2.0267053446191263,2.1551956717410503,0,-3.381324519568355,-2.7972809817349016,0,0,0,0,0,0,0
KLLA0_A06732g,0,0,0,0,0,0,0,0,0,0,0,-1.1604931525175208
KLLA0_A06754g,0,1.2512475293732574,0,0,0,0,0,0,0,0,0,0
KLLA0_A06776g,0,-1.0156750893906634,0,0,0,0,0,0,0,0,0,0
KLLA0_A06798g,0,0,0,0,0,-1.0472927693325182,-1.184839677849694,-1.19159692918229,-1.1526407736876576,0,0,0
KLLA0_A06886g,-1.3192306281738186,-4.722891944542112,-2.418826984954845,-1.8482897053241436,-1.7056043984517653,-2.125893367326511,-2.401124155141898,-2.673722886723342,-2.5626184219624104,-2.5401830267831444,-2.6615136081975095,-2.801910372517412
KLLA0_A06996g,-1.979926752745756,-2.2794333055507128,0,0,0,0,0,0,0,1.086370908976248,0,0
KLLA0_A07018g,1.5962561503886068,2.43060551271903,1.1075136521456823,-1.7579104013272244,-2.063963447994274,0,0,0,0,0,0,0
KLLA0_A07040g,0,1.0980746341792036,0,0,0,0,0,-1.0944827475212378,-1.155312584319501,-1.0892852350893207,-1.096524145065789,-1.087430022133118
KLLA0_A07062g,0,1.6176307844344515,2.2084458463025656,2.648184674702546,2.1155583166621814,1.8272309785621823,1.7459926877465433,1.540292392763176,1.4697067015501648,1.3020314406105375,1.073362170088246,0
KLLA0_A07084g,1.1054546666139504,2.6051266086838663,2.0210176402327855,1.0225908945428568,0,1.315098913296218,1.5817786434061123,1.452876701024227,1.3942818737424312,1.3592069933048,1.0951157509192386,1.145856578911248
KLLA0_A07150g,2.4835009586179977,2.031577076839969,0,-1.67653334002981,-1.2588518332106458,0,0,0,0,0,0,1.0920131425885675
KLLA0_A07172g,0,0,0,0,0,0,0,0,0,0,-1.114328901509965,-1.2603623509266326
KLLA0_A07194g,0,1.4247701802170725,1.203013703937663,0,-3.0372754160761986,-5.529952489924208,-6.269932066465387,-6.3478671603959205,-6.237542373409088,-6.142577982140894,-5.250505068951551,-4.922170840580231
KLLA0_A07227g,0,1.4293412002255306,1.2436468620080694,0,-4.53000227515281,-6.9973494611490965,-7.211715932685368,-7.464965089726137,-7.397690963577803,-7.193121094390498,-6.8300924312734805,-6.332940119437718
KLLA0_A07249g,0,0,0,-1.1537789880453242,-1.3363272922932274,-1.2240505732060976,-1.1041067816777763,-1.0247251619088027,0,0,0,0
KLLA0_A07271g,0,-2.363444498605197,-1.7513497981790993,0,0,0,0,0,0,0,0,0
KLLA0_A07293g,0,-1.3594946898806253,0,0,0,0,0,0,0,0,0,0
KLLA0_A07315g,0,0,0,0,0,0,0,0,0,0,0,-1.284958847525475
KLLA0_A07359g,0,1.258685824147388,0,-1.230073931761615,-1.159536942819815,0,0,0,0,0,0,0
KLLA0_A07403g,0,0,0,0,0,0,0,-1.1220019980242422,-1.073917573022678,-1.2110455093416146,-1.5504905560577993,-1.720153701350985
KLLA0_A07469g,0,0,0,0,0,1.6166418504136173,1.7912182262741254,1.8347311730735816,1.80809217194486,1.877792941240643,1.833808665419571,1.7791553826530373
KLLA0_A07557g,-1.184167036385392,-1.335314072217261,0,0,0,0,0,1.028151755187641,1.1695644903301423,1.1432343893136891,1.254692654470046,1.437318675621608
KLLA0_A07579g,0,-1.1945186909787835,-1.0493413435686174,0,0,0,0,0,0,0,0,0
KLLA0_A07601g,0,-1.6427525238028813,-1.486341263774922,0,0,0,0,0,0,0,0,0
KLLA0_A07623g,2.1824133024728036,2.5763449182273317,1.1392433864936578,-2.8208790959797647,-4.416257880452284,-1.123560792889037,0,0,0,0,0,0
KLLA0_A07645g,0,0,0,0,0,3.1953816314398336,4.368681057827847,4.650426853400531,5.164403644739886,5.284221911201602,5.666224072964383,5.94393431538778
KLLA0_A07667g,0,0,0,0,0,0,0,0,0,0,1.04568400863717,0
KLLA0_A07689g,1.3678577429601986,1.5095582936151837,0,0,0,0,1.147502894221837,1.144249070393044,0,1.3358096699423,1.2339828548354377,1.2018077882816744
KLLA0_A07755g,0,1.0090937443978316,0,0,-1.3150889786622002,-1.2000725508909786,-1.3775570763664315,-1.4663336175583928,-1.4044371930569632,-1.3101081507976953,0,0
KLLA0_A07777g,1.8436763426228575,2.4784408647014646,0,0,0,0,0,0,0,0,0,1.1859925729852645
KLLA0_A07843g,0,0,0,0,0,0,0,0,0,0,0,-1.338702830698944
KLLA0_A07865g,0,0,0,0,0,0,0,0,0,0,0,-1.0983594057013442
