tx	gene_id	Klac.t0000.b1.L001	Klac.t0000.b1.L002	Klac.t0000.b2.L001	Klac.t0000.b2.L002	Klac.t0015.b3.L001	Klac.t0015.b3.L002	Klac.t0015.b4.L001	Klac.t0015.b4.L002	Klac.t0030.b3.L001	Klac.t0030.b3.L002	Klac.t0030.b4.L001	Klac.t0030.b4.L002	Klac.t0045.b3.L001	Klac.t0045.b3.L002	Klac.t0045.b4.L001	Klac.t0045.b4.L002	Klac.t0060.b3.L001	Klac.t0060.b3.L002	Klac.t0060.b4.L001	Klac.t0060.b4.L002	Klac.t0090.b3.L001	Klac.t0090.b3.L002	Klac.t0090.b4.L001	Klac.t0090.b4.L002	Klac.t0120.b4.L001	Klac.t0120.b4.L002	Klac.t0150.b1.L001	Klac.t0150.b1.L002	Klac.t0150.b2.L001	Klac.t0150.b2.L002	Klac.t0180.b3.L001	Klac.t0180.b3.L002	Klac.t0180.b4.L001	Klac.t0180.b4.L002	Klac.t0210.b3.L001	Klac.t0210.b3.L002	Klac.t0210.b4.L001	Klac.t0210.b4.L002	Klac.t0240.b3.L001	Klac.t0240.b3.L002	Klac.t0240.b4.L001	Klac.t0240.b4.L002	Klac.t0360.b3.L001	Klac.t0360.b3.L002	Klac.t0360.b4.L001	Klac.t0360.b4.L002	Klac.t0480.b3.L001	Klac.t0480.b3.L002	Klac.t0480.b4.L001	Klac.t0480.b4.L002
rna-XM_453570.1	gene-KLLA0_D11418g	6.508417	7.76302	7.867316	6.760853	6.386716	6.359362	6.344316	7.542989	3.442918	3.162214	3.14549	2.774079	4.721945	4.429707	4.74364	4.824096	7.063259	6.588355	6.924989	6.542331	10.666735	10.731821	9.122493	11.720923	16.511424	16.76317	19.167973	18.731682	17.139436	18.814299	19.930978	19.593794	18.511109	18.951788	19.999888	21.069789	22.659202	23.14151	24.770893	27.27698	23.894624	21.786566	30.555246	29.97752	27.388454	28.654559	37.589973	32.734549	30.915561	32.979228
rna-XM_453571.1	gene-KLLA0_D11440g	41.884765	41.645411	46.538923	42.140825	9.66515	10.746868	8.784083	9.116683	9.903835	9.15826	9.014414	8.038454	25.546624	25.813342	32.977029	30.320596	66.876588	72.521943	68.013578	66.500699	98.744152	103.033325	98.558508	93.06048	117.596195	114.43312	106.804736	113.391703	105.572831	103.79872	107.327944	99.82481	105.276838	101.47086	110.043646	116.019233	105.310846	94.540646	103.887267	101.321491	108.753187	108.180033	83.617208	84.109907	89.058231	88.412969	69.170587	72.953448	76.253045	71.874759
rna-XM_453572.1	gene-KLLA0_D11462g	8.849645	7.187582	6.177411	7.256644	3.738652	3.32857	2.602188	2.879395	2.316141	2.075448	2.437628	2.084601	5.363489	4.065448	6.412153	5.027564	11.672737	11.790623	13.669448	13.477636	19.573258	17.68673	19.586904	19.180271	19.736156	21.73447	17.293025	14.43258	17.073021	17.950329	16.011595	15.143756	13.521213	14.657235	19.153077	19.16896	17.322847	17.208714	15.263666	16.062183	16.526157	16.011798	17.996353	17.695825	15.345164	15.920823	17.041619	18.115049	19.979015	17.527559
rna-XM_453573.1	gene-KLLA0_D11484g	159.491477	158.969945	157.926806	157.115591	100.085488	101.747348	96.38563	97.442628	91.129951	89.48692	92.775838	91.204421	126.642232	129.002552	137.210908	134.578798	176.474609	176.135763	180.258259	182.965972	234.98871	232.0867	235.58891	217.807384	244.11285	242.95642	242.172266	232.147147	251.897622	266.194903	256.809575	267.191339	256.077425	243.578613	257.25278	268.680768	267.171029	277.824822	259.272456	263.691848	265.079637	263.937254	277.338481	279.015973	238.648078	248.893308	272.165503	269.833942	273.974581	275.63397
rna-XM_453574.1	gene-KLLA0_D11506g	197.447013	200.382862	205.20274	206.238291	144.560874	139.198517	131.041054	127.113035	98.885705	93.010986	104.424041	102.528874	159.186038	159.686578	174.393942	168.294087	279.301254	278.501055	286.371437	267.899044	367.8966	358.908317	364.814805	357.972087	400.984055	388.811051	440.21625	432.558233	417.784353	418.242712	421.957502	433.857963	427.795349	422.306105	414.424588	399.760579	422.175995	417.126093	394.785046	414.429884	400.266597	410.367292	404.875166	422.71829	416.19716	426.591233	438.000298	397.277257	414.222748	435.995977
rna-XM_453575.1	gene-KLLA0_D11528g	39.679552	46.195516	46.91386	40.477203	36.846802	38.455202	37.38885	36.129014	21.023756	22.028033	21.838553	22.322294	34.696591	35.437657	35.13934	33.743407	47.87791	51.715698	51.589163	49.976646	64.61741	70.419667	65.611861	61.749808	64.487134	65.629645	69.46152	71.057312	68.482284	72.555382	61.65822	66.879594	68.760423	65.880031	76.854404	69.724	69.64608	63.294064	70.197898	66.461973	68.064438	70.073553	69.841952	76.138658	68.249935	72.33671	73.827992	67.672177	74.702843	73.355619
rna-XM_453576.1	gene-KLLA0_D11550g	285.172364	289.018469	291.454528	256.263084	143.90774	143.041244	148.474947	134.230016	101.786632	87.441649	96.517003	96.657645	167.090313	163.076582	170.121057	159.518938	303.554946	330.572949	264.26215	297.021433	373.373022	373.377643	345.232638	359.408723	311.188538	370.478872	314.33557	301.889274	316.595334	318.039459	309.443623	272.413791	290.063594	293.955003	296.576404	304.860404	292.518282	319.792906	311.369223	308.298615	287.19782	291.12543	300.085509	258.074052	278.438507	275.294006	261.09495	280.652259	289.809691	302.975847
rna-XM_453577.1	gene-KLLA0_D11572g	56.482949	53.824825	45.344337	48.637146	29.656994	28.16634	30.662651	32.686474	14.330528	13.385698	11.943269	14.05482	28.051481	28.499864	29.904663	30.5274	66.832169	63.218988	59.471051	61.421161	69.110702	76.115049	73.860194	69.055881	75.059216	74.677142	76.173833	81.103634	72.387345	69.106691	78.887658	73.159404	68.413147	63.752457	81.268153	80.067606	83.982521	73.991638	85.060612	83.406727	79.376104	79.101461	81.188151	81.808283	81.514088	86.004835	67.546366	73.15829	74.113125	76.010784
rna-XM_453578.1	gene-KLLA0_D11594g	217.261589	207.677362	218.424387	222.303211	244.893142	234.555196	254.708752	268.032931	56.802394	59.66378	57.255969	64.972836	90.473868	92.273179	104.637437	108.030009	300.400585	296.467505	313.821031	322.601329	436.667283	448.385334	443.668487	466.050744	402.844868	412.38734	414.780132	392.616907	430.399944	413.04465	423.849146	398.244683	395.642557	432.090454	405.900174	402.117165	385.340018	393.806275	396.827041	418.665889	421.432742	424.360458	335.575615	319.555858	376.306867	378.869943	312.016225	293.190212	291.914577	280.588837
rna-XM_453580.1	gene-KLLA0_D11638g	21.05892	23.746159	19.123965	18.605443	12.96431	14.388067	8.874825	11.192825	5.048958	4.398812	3.778242	2.862014	9.005822	11.24261	9.207397	11.214464	23.714359	19.345613	22.785986	22.40644	39.321938	42.067056	43.782814	38.430246	43.070706	40.579439	38.074251	36.722682	43.179788	39.771345	40.301361	36.939253	43.238637	41.640275	41.316932	39.802187	44.878906	42.564769	45.187248	42.115382	46.558471	42.448627	44.059474	46.070151	47.155774	41.000593	46.702413	48.09967	50.085957	51.859279
