gene_id	gene_name	Klac.t0000.b1.L001	Klac.t0000.b1.L002	Klac.t0000.b2.L001	Klac.t0000.b2.L002	Klac.t0015.b3.L001	Klac.t0015.b3.L002	Klac.t0015.b4.L001	Klac.t0015.b4.L002	Klac.t0030.b3.L001	Klac.t0030.b3.L002	Klac.t0030.b4.L001	Klac.t0030.b4.L002	Klac.t0045.b3.L001	Klac.t0045.b3.L002	Klac.t0045.b4.L001	Klac.t0045.b4.L002	Klac.t0060.b3.L001	Klac.t0060.b3.L002	Klac.t0060.b4.L001	Klac.t0060.b4.L002	Klac.t0090.b3.L001	Klac.t0090.b3.L002	Klac.t0090.b4.L001	Klac.t0090.b4.L002	Klac.t0120.b4.L001	Klac.t0120.b4.L002	Klac.t0150.b1.L001	Klac.t0150.b1.L002	Klac.t0150.b2.L001	Klac.t0150.b2.L002	Klac.t0180.b3.L001	Klac.t0180.b3.L002	Klac.t0180.b4.L001	Klac.t0180.b4.L002	Klac.t0210.b3.L001	Klac.t0210.b3.L002	Klac.t0210.b4.L001	Klac.t0210.b4.L002	Klac.t0240.b3.L001	Klac.t0240.b3.L002	Klac.t0240.b4.L001	Klac.t0240.b4.L002	Klac.t0360.b3.L001	Klac.t0360.b3.L002	Klac.t0360.b4.L001	Klac.t0360.b4.L002	Klac.t0480.b3.L001	Klac.t0480.b3.L002	Klac.t0480.b4.L001	Klac.t0480.b4.L002
gene-KLLA0_B10142g	XM_451980.2	83.2273559996525	109.333023840201	108.466173826046	124.093120081885	127.945221177032	125.714882943791	91.3662115567746	125.922582338913	75.1084605130124	85.2413010898044	68.1742949863948	71.839571628806	141.596766484523	93.4832515663316	83.2122139230582	96.2314563973077	210.243172711685	204.821238636062	193.482636437665	195.598090409808	274.319908842017	253.093479845669	291.231097441805	288.335743651758	372.144806099007	377.034187875867	401.069526307911	444.380017684186	446.217589461885	477.291345715495	836.888690054685	807.671066844266	673.620879655183	620.733043309291	897.647843459607	970.827556793314	844.778826251996	792.740272025484	1103.71163608167	965.26379886457	1015.47446680823	1036.40733382859	1224.61021256931	1216.39212806676	1606.83430554134	1699.57011325756	1563.25304555203	1477.0150775892	1577.81233058757	1706.0127151522
gene-KLLA0_B10153g	XM_451981.1	506.867229951424	548.743908705543	683.224078207719	667.507623436296	517.195483864768	501.036861960063	407.770829695974	432.318286384912	355.898264580054	339.387686506103	324.213046482966	312.953177191254	454.395606296385	446.838786425446	366.205868856254	357.925162507539	697.760926784319	731.552997304793	645.853581351981	607.707222754484	787.532049224806	767.268178199746	966.565741493213	902.514962091123	1026.14349028909	1006.47318251325	1051.96733423989	1052.37058265089	1020.5439401714	1017.99452040609	1575.46772897223	1541.30902991541	1233.88804226841	1207.35636630713	1672.9750922807	1578.49806421134	1355.80484723521	1469.80099632402	1793.04931935992	1847.44017367574	1785.76884044015	1751.27210224586	2086.25619558829	2082.19466991045	3266.70366872235	3288.73334956629	2873.19723082325	2713.95913733494	2828.01263116954	2762.14869411128
gene-KLLA0_B10175g	XM_451982.1	599.053280970497	577.277844587102	720.676077022663	688.954510847242	386.77357159603	380.67567907511	339.921344348537	333.56466862503	301.315328370779	297.030327950027	299.555109799986	274.949241553549	391.551188328678	367.40501849791	293.607272471134	287.460842999056	490.49698558007	493.356173578507	479.088072626913	486.373229777496	609.691688480556	594.278893646923	711.191594118599	714.664549772501	810.440696702959	806.512189055675	757.96237385114	768.946713000677	896.199050405893	829.815427527988	1010.06264453521	1034.85455744035	928.237466120641	852.238840690067	954.346954135601	949.438402314825	855.687261238603	820.875742867976	943.985514738049	936.736443697414	997.639614823564	949.415565141738	900.010291896808	940.634558455041	1103.66891874963	1132.58914073464	853.496950840354	834.256087786235	986.240210713263	1002.63343130954
gene-KLLA0_B10197g	XM_451983.1	228.865050428943	246.365558178997	234.939950162881	245.209139640921	130.611136613714	117.430889924231	106.3188569593	109.680561842265	123.48096952527	108.100996702693	99.8629934445897	110.887163615816	201.113938536509	184.946519674843	156.345768978429	148.653843363361	255.993872978398	273.057414738017	265.055759270549	275.807438536521	281.601025343436	242.709846339734	276.593867738771	264.104700656046	252.282691350565	238.538149088359	219.807324329017	199.673992146604	232.266631241435	237.717116335323	232.04540624457	239.540516691936	201.496174214486	191.003268650624	238.137086399494	235.990300280056	182.04742790957	209.801449525033	211.683644917698	199.719908342835	221.484941427201	196.194184957642	170.758561256033	176.962932041244	231.136081720036	250.774485765321	201.9421128249	179.316870675808	213.828475777363	202.83741000334
gene-KLLA0_B10219g	XM_451984.1	27.179475921115	22.6316834063369	19.5598391604743	10.8532718168136	15.0085764064308	6.42189050827766	12.535486760485	18.7933314800346	16.4712387990127	10.9537767525985	5.42724302741917	16.2560690558387	9.57379979139153	13.3797947597409	3.77092544386547	7.52595555622296	4.30994059229687	8.60435823045977	4.49014214180845	11.1820765772949	27.1861127611641	7.3936606924678	5.05463268385471	7.54940337744531	5.08695932625416	5.070212573899	4.96775566116397	0	5.17025667984405	5.17127126079112	2.4977018114649	7.46653151790773	0	0	17.85719929753	7.6263520877151	5.17621454633755	12.9421871625085	0	2.50947468687717	0	5.0532093341209	5.07942313525533	2.53764668931327	14.398105152032	7.19057710498137	7.43872760530513	0	7.69405936903087	10.2429633796642
gene-KLLA0_B10241g	XM_451985.1	158.398940696252	177.636432348576	150.592916475093	161.303975807539	300.027727386207	233.589457381673	224.557530331552	238.888397101696	103.220333756786	90.3762540803887	86.6243603721106	95.6783585083416	170.179824551481	176.224661304135	145.237644206235	177.303724583626	387.705788288563	398.073002784751	369.758021674595	309.943831661212	450.907110154039	449.37681391073	537.148762832795	714.790852673747	625.716675124017	761.44680417045	759.213306459599	762.322189516	657.876621003044	937.887977711174	1177.46192097694	1202.18241744208	977.915539556028	875.913220324051	1318.90438852534	1325.76660602935	1059.14752855569	1086.32629869431	1309.84774988505	1440.92784763851	1387.61956639261	1471.29459516177	1614.93979905955	1409.23236714587	2445.11265138393	2565.27526503392	2159.41150101854	2110.10770176082	2157.57932116634	2262.49358720131
gene-KLLA0_B10263g	XM_451986.1	276.994678044013	288.973530603016	303.455029289948	293.555515243924	113.962972838769	113.518941973392	95.5723865880178	86.30522476821	38.9358491501447	42.1778445611932	29.4181067094105	31.3338122953507	124.584422949893	122.769736658523	127.44889844043	123.985426421217	577.750240867918	605.278133735263	598.586478354197	604.113615943351	680.874316629219	664.87212630411	779.96842604733	770.992953660145	763.327298947642	732.799213797947	598.688682685736	609.220227052679	679.532560151771	683.409409096135	814.007952907264	799.084314434221	702.62561608878	692.518821755612	821.071871973095	801.660593658836	675.958191272607	685.143222917397	720.722676367999	708.581610246091	711.041515699336	742.665165231909	603.485845828355	598.071250298876	687.127616221936	687.008031909369	509.604259810749	524.16527336739	563.136542532195	568.482395274995
gene-KLLA0_B10285g	XM_451987.1	475.826405646654	510.279524428435	611.731229304266	606.853628328424	860.174121519789	863.863125995055	760.883413964538	724.960479736034	528.391538925886	527.803603487104	505.837150128881	472.367550395672	438.735417454509	427.148960932535	421.753317932815	397.337311834771	894.978631916458	931.875286959087	905.621581978714	871.047103755828	1023.13493061068	1017.81335340537	1200.83257285727	1237.75695151766	1377.94786000711	1317.55595269754	1446.62789049944	1375.97148249912	1410.65514518244	1399.62870023239	1818.87951502227	1763.69938906997	1512.12507084449	1540.92431588495	1669.13726453025	1604.3330048241	1435.49462983437	1375.86784359373	1697.45497660222	1626.04695613861	1753.79758404542	1787.98203205452	1681.51113294594	1734.03717068892	2415.95228909066	2512.33409800768	1806.0149405253	1776.43090084949	2015.49587744052	1903.96514208984
gene-KLLA0_B10307g	XM_451988.1	399.687234147645	498.583014683933	499.561442851766	452.564365705663	674.944186637939	680.894507069986	657.593837699568	629.138077994721	769.71144487493	839.367870356335	669.18009977167	765.228763204039	658.636702554703	687.242158866296	576.71545032564	554.381466657658	705.527901722522	541.966512867288	615.520119197478	595.276107146457	594.421922292066	623.160451141553	594.96027159397	643.230556480234	706.459260350007	626.96419107061	781.750896573226	725.13962677685	716.048894272129	768.61276042208	815.080324530317	884.709808776202	815.377653561636	830.562558684188	881.756364154425	907.122481586013	828.380180962379	705.94715796071	1004.27262337144	875.777371830988	950.236090676057	865.796828134326	848.57015883113	890.747322260061	1122.62619875367	1226.70600621511	984.26082682557	896.72394104492	982.516212896662	946.206813672007
gene-KLLA0_B10329g	XM_451989.1	181.869143804911	159.367132150716	218.834062493726	212.891830404862	174.464202192921	181.175627191367	146.303509256378	136.15719041121	153.763198369323	158.054037380705	133.834791586834	134.475218803001	143.516065545999	165.945173928883	118.97362218189	134.764997871918	215.928588138254	247.95728881012	227.689608370816	222.622317737371	276.432951152375	257.610486706275	292.566293226067	293.375796548268	317.321465161602	305.043438802489	247.969128937583	222.847486763601	250.539085760657	247.050168362161	294.306432527731	270.451758155312	230.071105790655	237.680977032124	253.141234916824	264.077444007551	227.316663726092	222.395290845149	251.9649970005	224.931950277693	229.888015154369	253.7473902412	196.429191649599	211.145257329779	316.518934245202	313.92401214878	205.926847637799	215.107208294349	240.084378442194	228.939639901743
