TXNAME	GENEID
orf19.1047-T	orf19.1047
orf19.1048-T	orf19.1048
orf19.1052-T	orf19.1052
orf19.1058-T	orf19.1058
orf19.1061-T	orf19.1061
orf19.1067-T	orf19.1067
orf19.1069-T	orf19.1069
orf19.5200-T	orf19.5200
orf19.6833.2-T	orf19.6833.2
orf19.6843-T	orf19.6843
orf19.6844-T	orf19.6844
orf19.6845-T	orf19.6845
orf19.6849-T	orf19.6849
orf19.6850-T	orf19.6850
orf19.6852.1-T	orf19.6852.1
orf19.6854-T	orf19.6854
orf19.6855-T	orf19.6855
orf19.782-T	orf19.782
orf19.781-T	orf19.781
orf19.780-T	orf19.780
orf19.779-T	orf19.779
orf19.778-T	orf19.778
orf19.772.1-T	orf19.772.1
orf19.771-T	orf19.771
orf19.769-T	orf19.769
orf19.763-T	orf19.763
orf19.761-T	orf19.761
orf19.759-T	orf19.759
orf19.757-T	orf19.757
orf19.756-T	orf19.756
orf19.754-T	orf19.754
orf19.753-T	orf19.753
orf19.51-T	orf19.51
orf19.54-T	orf19.54
orf19.59-T	orf19.59
orf19.4063-T	orf19.4063
orf19.4062-T	orf19.4062
orf19.4061-T	orf19.4061
orf19.4059-T	orf19.4059
orf19.4057-T	orf19.4057
orf19.4056-T	orf19.4056
orf19.443-T	orf19.443
orf19.442-T	orf19.442
orf19.438-T	orf19.438
orf19.437-T	orf19.437
tP(UGG)1-T	tP(UGG)1
orf19.430-T	orf19.430
orf19.423-T	orf19.423
orf19.422-T	orf19.422
orf19.420-T	orf19.420
orf19.418-T	orf19.418
orf19.417-T	orf19.417
orf19.414-T	orf19.414
orf19.413-T	orf19.413
orf19.410.3-T	orf19.410.3
tN(GUU)2-T	tN(GUU)2
tN(GUU)1-T	tN(GUU)1
tT(AGU)1-T	tT(AGU)1
orf19.2495-T	orf19.2495
orf19.2494-T	orf19.2494
orf19.2487-T	orf19.2487
orf19.2484-T	orf19.2484
orf19.2480.1-T	orf19.2480.1
orf19.2478.1-T	orf19.2478.1
snR39b-T	snR39b
orf19.2473-T	orf19.2473
orf19.2472.1-T	orf19.2472.1
orf19.2471-T	orf19.2471
orf19.2468-T	orf19.2468
orf19.2467-T	orf19.2467
orf19.2465-T	orf19.2465
orf19.2463-T	orf19.2463
orf19.2462-T	orf19.2462
orf19.2461-T	orf19.2461
orf19.2460-T	orf19.2460
orf19.2459-T	orf19.2459
orf19.2458-T	orf19.2458
orf19.2457-T	orf19.2457
orf19.2454-T	orf19.2454
orf19.2451-T	orf19.2451
orf19.2449-T	orf19.2449
orf19.2447-T	orf19.2447
orf19.2445-T	orf19.2445
orf19.2444-T	orf19.2444
orf19.2443-T	orf19.2443
orf19.2440-T	orf19.2440
orf19.2438-T	orf19.2438
orf19.2430-T	orf19.2430
orf19.2429-T	orf19.2429
orf19.2661-T	orf19.2661
orf19.2663-T	orf19.2663
orf19.1828-T	orf19.1828
orf19.1825-T	orf19.1825
orf19.1824-T	orf19.1824
orf19.1823-T	orf19.1823
snR5b-T	snR5b
snR44a-T	snR44a
orf19.177-T	orf19.177
orf19.6280-T	orf19.6280
orf19.6277-T	orf19.6277
orf19.6276-T	orf19.6276
orf19.6275-T	orf19.6275
orf19.6272-T	orf19.6272
orf19.6269-T	orf19.6269
orf19.6264.4-T	orf19.6264.4
orf19.6264-T	orf19.6264
orf19.6257-T	orf19.6257
orf19.6255-T	orf19.6255
orf19.6254-T	orf19.6254
orf19.6253-T	orf19.6253
orf19.6250-T	orf19.6250
orf19.6247-T	orf19.6247
orf19.6246-T	orf19.6246
orf19.6245-T	orf19.6245
orf19.6244-T	orf19.6244
orf19.6243-T	orf19.6243
orf19.6242-T	orf19.6242
orf19.6240-T	orf19.6240
orf19.6239-T	orf19.6239
orf19.6237-T	orf19.6237
orf19.6235-T	orf19.6235
orf19.6233-T	orf19.6233
orf19.6232-T	orf19.6232
orf19.6230-T	orf19.6230
orf19.6229-T	orf19.6229
orf19.6227-T	orf19.6227
snR44b-T	snR44b
orf19.6225-T	orf19.6225
orf19.6224-T	orf19.6224
orf19.6217-T	orf19.6217
orf19.6213-T	orf19.6213
orf19.6208-T	orf19.6208
orf19.6205-T	orf19.6205
orf19.6196-T	orf19.6196
orf19.6193-T	orf19.6193
orf19.4456-T	orf19.4456
orf19.4450.2-T	orf19.4450.2
orf19.4449-T	orf19.4449
orf19.4448-T	orf19.4448
orf19.4447-T	orf19.4447
orf19.4445-T	orf19.4445
orf19.4444-T	orf19.4444
orf19.4443-T	orf19.4443
orf19.4440-T	orf19.4440
orf19.4439-T	orf19.4439
snR43a-T	snR43a
orf19.4438-T	orf19.4438
orf19.4437-T	orf19.4437
orf19.4435-T	orf19.4435
orf19.4430-T	orf19.4430
orf19.4424-T	orf19.4424
orf19.4423-T	orf19.4423
snR42a-T	snR42a
orf19.2794-T	orf19.2794
orf19.2800-T	orf19.2800
orf19.2790-T	orf19.2790
orf19.2789-T	orf19.2789
orf19.2785-T	orf19.2785
orf19.2782-T	orf19.2782
orf19.2779-T	orf19.2779
orf19.2778-T	orf19.2778
orf19.1227-T	orf19.1227
orf19.1228-T	orf19.1228
orf19.4712-T	orf19.4712
orf19.4713-T	orf19.4713
orf19.5050-T	orf19.5050
orf19.5052-T	orf19.5052
orf19.5054-T	orf19.5054
orf19.5057-T	orf19.5057
orf19.5063-T	orf19.5063
orf19.5064.1-T	orf19.5064.1
snR67-T	snR67
orf19.5067-T	orf19.5067
orf19.5071-T	orf19.5071
orf19.5073-T	orf19.5073
orf19.5074-T	orf19.5074
orf19.5076-T	orf19.5076
orf19.5076.1-T	orf19.5076.1
orf19.5077-T	orf19.5077
orf19.5078-T	orf19.5078
orf19.5079-T	orf19.5079
orf19.5083-T	orf19.5083
orf19.5085-T	orf19.5085
orf19.5087-T	orf19.5087
orf19.5090-T	orf19.5090
orf19.5093-T	orf19.5093
orf19.5098-T	orf19.5098
orf19.5101-T	orf19.5101
orf19.5107-T	orf19.5107
orf19.5110-T	orf19.5110
orf19.5112-T	orf19.5112
orf19.5118-T	orf19.5118
orf19.382-T	orf19.382
orf19.387-T	orf19.387
orf19.388-T	orf19.388
orf19.392-T	orf19.392
orf19.394-T	orf19.394
orf19.396-T	orf19.396
orf19.398-T	orf19.398
orf19.401-T	orf19.401
orf19.4720-T	orf19.4720
orf19.4721-T	orf19.4721
orf19.4722-T	orf19.4722
orf19.4725-T	orf19.4725
orf19.4727-T	orf19.4727
orf19.4728-T	orf19.4728
orf19.4730-T	orf19.4730
orf19.4731-T	orf19.4731
orf19.4733-T	orf19.4733
orf19.4734-T	orf19.4734
orf19.4735-T	orf19.4735
orf19.4736-T	orf19.4736
orf19.4737-T	orf19.4737
orf19.4738-T	orf19.4738
orf19.4742-T	orf19.4742
orf19.4747-T	orf19.4747
orf19.4749-T	orf19.4749
orf19.4751-T	orf19.4751
orf19.4753-T	orf19.4753
snR190-T	snR190
snR128-T	snR128
orf19.4756-T	orf19.4756
orf19.4757-T	orf19.4757
orf19.4758-T	orf19.4758
orf19.4761-T	orf19.4761
orf19.4764-T	orf19.4764
orf19.4767-T	orf19.4767
orf19.4768-T	orf19.4768
orf19.4769-T	orf19.4769
orf19.4771-T	orf19.4771
orf19.4773-T	orf19.4773
orf19.4774-T	orf19.4774
orf19.4775-T	orf19.4775
orf19.4776-T	orf19.4776
orf19.4778-T	orf19.4778
orf19.4780-T	orf19.4780
orf19.4784-T	orf19.4784
orf19.4786-T	orf19.4786
orf19.4787-T	orf19.4787
orf19.4793-T	orf19.4793
orf19.4796-T	orf19.4796
orf19.4799-T	orf19.4799
orf19.4800-T	orf19.4800
orf19.4801-T	orf19.4801
orf19.4803-T	orf19.4803
orf19.4804-T	orf19.4804
orf19.4805-T	orf19.4805
orf19.4807-T	orf19.4807
orf19.4809-T	orf19.4809
orf19.4812-T	orf19.4812
orf19.4814-T	orf19.4814
orf19.4815-T	orf19.4815
orf19.4817-T	orf19.4817
orf19.4818-T	orf19.4818
orf19.4819-T	orf19.4819
orf19.4820-T	orf19.4820
orf19.4824-T	orf19.4824
orf19.4826-T	orf19.4826
orf19.4827-T	orf19.4827
orf19.4828-T	orf19.4828
orf19.4829-T	orf19.4829
orf19.4831-T	orf19.4831
orf19.4833-T	orf19.4833
orf19.4834-T	orf19.4834
orf19.4836-T	orf19.4836
orf19.4837-T	orf19.4837
orf19.4839-T	orf19.4839
orf19.4842-T	orf19.4842
orf19.4846-T	orf19.4846
orf19.4848-T	orf19.4848
orf19.4853-T	orf19.4853
orf19.4856-T	orf19.4856
orf19.4858-T	orf19.4858
orf19.4861-T	orf19.4861
orf19.4861.1-T	orf19.4861.1
orf19.4862.2-T	orf19.4862.2
orf19.4865-T	orf19.4865
orf19.4869-T	orf19.4869
orf19.4870-T	orf19.4870
orf19.4871-T	orf19.4871
orf19.4872-T	orf19.4872
orf19.4875-T	orf19.4875
orf19.4880-T	orf19.4880
snR10a-T	snR10a
orf19.4884-T	orf19.4884
orf19.4885-T	orf19.4885
orf19.4886-T	orf19.4886
orf19.4888-T	orf19.4888
orf19.4899-T	orf19.4899
orf19.4900-T	orf19.4900
orf19.4901-T	orf19.4901
orf19.4903-T	orf19.4903
orf19.4905-T	orf19.4905
orf19.4908-T	orf19.4908
orf19.4911-T	orf19.4911
orf19.984-T	orf19.984
orf19.985-T	orf19.985
orf19.986-T	orf19.986
orf19.988-T	orf19.988
orf19.989-T	orf19.989
orf19.991-T	orf19.991
orf19.992-T	orf19.992
orf19.993-T	orf19.993
orf19.994-T	orf19.994
orf19.996-T	orf19.996
orf19.997-T	orf19.997
snR62-T	snR62
orf19.1832-T	orf19.1832
orf19.1833-T	orf19.1833
orf19.1836-T	orf19.1836
orf19.1837-T	orf19.1837
orf19.2352-T	orf19.2352
orf19.2346-T	orf19.2346
orf19.2343-T	orf19.2343
orf19.2342-T	orf19.2342
orf19.2340-T	orf19.2340
orf19.2336-T	orf19.2336
orf19.2334-T	orf19.2334
orf19.2332-T	orf19.2332
orf19.2329.1-T	orf19.2329.1
orf19.2330-T	orf19.2330
orf19.2325-T	orf19.2325
orf19.2318.1-T	orf19.2318.1
orf19.2319-T	orf19.2319
orf19.2317-T	orf19.2317
orf19.2312-T	orf19.2312
orf19.2311-T	orf19.2311
orf19.2310.1-T	orf19.2310.1
orf19.2310-T	orf19.2310
orf19.2309-T	orf19.2309
orf19.2308-T	orf19.2308
orf19.2306-T	orf19.2306
orf19.2303-T	orf19.2303
orf19.2302-T	orf19.2302
orf19.2301-T	orf19.2301
orf19.2298-T	orf19.2298
orf19.2297-T	orf19.2297
orf19.2296-T	orf19.2296
orf19.679-T	orf19.679
orf19.676-T	orf19.676
orf19.675-T	orf19.675
orf19.674-T	orf19.674
orf19.673-T	orf19.673
orf19.669-T	orf19.669
orf19.667.1-T	orf19.667.1
orf19.665-T	orf19.665
orf19.664-T	orf19.664
orf19.661-T	orf19.661
orf19.660-T	orf19.660
orf19.655-T	orf19.655
orf19.1164-T	orf19.1164
orf19.1162.1-T	orf19.1162.1
orf19.1162-T	orf19.1162
orf19.1161-T	orf19.1161
orf19.1160-T	orf19.1160
orf19.1158-T	orf19.1158
orf19.1154-T	orf19.1154
orf19.1153-T	orf19.1153
orf19.1152-T	orf19.1152
orf19.1150-T	orf19.1150
orf19.1146-T	orf19.1146
orf19.1144-T	orf19.1144
orf19.1143-T	orf19.1143
orf19.1142-T	orf19.1142
snR8a-T	snR8a
orf19.1137-T	orf19.1137
orf19.1135-T	orf19.1135
tY(GUA)1-T	tY(GUA)1
tY(GUA)4-T	tY(GUA)4
orf19.5282-T	orf19.5282
orf19.5281-T	orf19.5281
orf19.5280-T	orf19.5280
orf19.5279-T	orf19.5279
orf19.5278-T	orf19.5278
orf19.5276-T	orf19.5276
orf19.5275-T	orf19.5275
orf19.5274-T	orf19.5274
orf19.5270-T	orf19.5270
orf19.5268-T	orf19.5268
orf19.5267-T	orf19.5267
orf19.5264-T	orf19.5264
orf19.5263-T	orf19.5263
orf19.5262-T	orf19.5262
orf19.5260-T	orf19.5260
orf19.5257-T	orf19.5257
orf19.5253-T	orf19.5253
orf19.5250-T	orf19.5250
orf19.5248-T	orf19.5248
orf19.5245-T	orf19.5245
orf19.5244-T	orf19.5244
orf19.5243-T	orf19.5243
orf19.5242-T	orf19.5242
orf19.5241-T	orf19.5241
orf19.5237-T	orf19.5237
orf19.5236-T	orf19.5236
orf19.5233-T	orf19.5233
orf19.5231-T	orf19.5231
orf19.5229-T	orf19.5229
orf19.5227-T	orf19.5227
orf19.5221-T	orf19.5221
orf19.5220-T	orf19.5220
orf19.69-T	orf19.69
orf19.68.2-T	orf19.68.2
orf19.3767-T	orf19.3767
orf19.3765-T	orf19.3765
orf19.3764-T	orf19.3764
orf19.3762-T	orf19.3762
orf19.3758-T	orf19.3758
orf19.3757-T	orf19.3757
orf19.3755-T	orf19.3755
orf19.6362-T	orf19.6362
orf19.6359-T	orf19.6359
orf19.6357-T	orf19.6357
orf19.6355-T	orf19.6355
orf19.6353-T	orf19.6353
orf19.6349-T	orf19.6349
orf19.6348-T	orf19.6348
orf19.6346-T	orf19.6346
orf19.6345-T	orf19.6345
orf19.6344-T	orf19.6344
orf19.6342-T	orf19.6342
orf19.6341-T	orf19.6341
orf19.4914-T	orf19.4914
orf19.4914.1-T	orf19.4914.1
orf19.4919-T	orf19.4919
orf19.4921-T	orf19.4921
orf19.4921.1-T	orf19.4921.1
orf19.4924-T	orf19.4924
snR41b-T	snR41b
snR41-T	snR41
snR70-T	snR70
orf19.4929-T	orf19.4929
orf19.4931.1-T	orf19.4931.1
orf19.4934-T	orf19.4934
orf19.4936-T	orf19.4936
orf19.4936.1-T	orf19.4936.1
orf19.4942-T	orf19.4942
orf19.4943-T	orf19.4943
orf19.4946-T	orf19.4946
orf19.4947-T	orf19.4947
orf19.4951-T	orf19.4951
orf19.4952-T	orf19.4952
orf19.4952.1-T	orf19.4952.1
orf19.4953-T	orf19.4953
orf19.4955-T	orf19.4955
orf19.4958-T	orf19.4958
orf19.4961-T	orf19.4961
orf19.4963-T	orf19.4963
orf19.4964-T	orf19.4964
orf19.4965-T	orf19.4965
orf19.4967-T	orf19.4967
orf19.4975-T	orf19.4975
orf19.4976-T	orf19.4976
orf19.4979-T	orf19.4979
orf19.4980-T	orf19.4980
orf19.4984-T	orf19.4984
orf19.4985-T	orf19.4985
orf19.4988-T	orf19.4988
orf19.4991-T	orf19.4991
orf19.4993-T	orf19.4993
orf19.4995-T	orf19.4995
orf19.4996-T	orf19.4996
orf19.4998-T	orf19.4998
orf19.5000-T	orf19.5000
orf19.5001-T	orf19.5001
orf19.5004-T	orf19.5004
orf19.5005-T	orf19.5005
orf19.5007-T	orf19.5007
orf19.5009-T	orf19.5009
orf19.5011-T	orf19.5011
orf19.5013-T	orf19.5013
orf19.5015-T	orf19.5015
orf19.5019-T	orf19.5019
orf19.5022-T	orf19.5022
orf19.5025-T	orf19.5025
orf19.5030-T	orf19.5030
orf19.5031-T	orf19.5031
orf19.5032-T	orf19.5032
orf19.5034-T	orf19.5034
orf19.7206-T	orf19.7206
orf19.7208-T	orf19.7208
orf19.7209-T	orf19.7209
orf19.7210-T	orf19.7210
orf19.7212-T	orf19.7212
orf19.7214-T	orf19.7214
orf19.7215-T	orf19.7215
orf19.7215.3-T	orf19.7215.3
orf19.7216-T	orf19.7216
orf19.7219-T	orf19.7219
orf19.7223-T	orf19.7223
orf19.7224-T	orf19.7224
orf19.7225-T	orf19.7225
orf19.7228-T	orf19.7228
orf19.7234-T	orf19.7234
orf19.7237-T	orf19.7237
orf19.7243-T	orf19.7243
orf19.7245-T	orf19.7245
