gene_id	gene_name	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
orf19.2343.1	orf19.2343.1	279.328616337129	288.191781235343	263.072451072491	261.939524499926	274.729451781236	264.999676509065	167.693153527237	212.9446063935	215.99603100961	221.545343129634	271.87635460478	207.499180125506	208.986804207605	215.360890404203	180.64286897624	231.197918122314	341.728513817263	269.715316707269	240.208953020694	234.960647048502	407.777558514274	364.34909454769	299.861106774275	265.915050665868	446.541032966299	416.138724638818	323.494115127289	346.456882439643	389.977538180249	381.247512169751	344.62318275184	341.193351687528	358.66064094719	362.358828947174	422.223733989932	345.829477598555	264.731415737334	278.754160809808	300.530461835605	327.808445662079	260.700237414351	301.904995385765	349.779395501235	340.800984665762	310.504588240029	334.8634474007	257.043069769517	284.80698743953	330.957692342064	311.22196145281	315.839714586098	283.965122187758
orf19.2344	orf19.2344	875.979246961005	849.046003975271	981.851427636472	903.91585224034	20263.4967782537	19890.3450856225	15117.5244389243	15083.5907957366	7371.12618276238	7667.65076609056	8601.68980470562	8214.59208905173	403.787949943848	375.930576898618	432.262201089491	405.522500982294	492.351295734786	456.484386505445	525.157259433611	506.461837505833	6469.03180827315	6359.39930436802	5204.22236978762	5175.88558001702	15087.9063613837	14862.1215647594	12402.461655887	12377.0767568788	22507.9656732977	22399.1340474018	20637.1464880379	20266.6041483573	33705.5497095319	32882.5139631763	27364.3350829126	26825.8018447529	25288.4441491747	25332.3973933048	32650.8817654602	31834.8069016887	30773.4035397789	30307.3425397516	33581.7783451275	33490.0166558023	37957.8385338262	38941.3385410355	37443.9012940657	36445.2225961982	36246.0539838582	35383.3177246207	39434.4669675918	39116.8475095905
orf19.2346	orf19.2346	578.85673346178	520.497762840351	562.456257058799	546.07428254304	774.427969503751	819.109870652943	558.01474094682	564.664610173647	424.44560280785	404.697975506869	458.226068364297	464.41706397559	366.314070753864	343.753245365803	327.499421957219	334.002086884562	439.841346742792	474.037764395831	403.27741147137	388.045572502186	834.540266878938	891.815938312469	700.33575923998	764.339865851006	920.30409133313	857.45712045133	680.049127771664	705.669769578973	925.824228183691	903.862543768234	784.107336824567	755.758110655601	971.414720801665	1005.55462226961	753.850684145443	733.49250377564	580.126706912368	556.120883965622	688.55547537958	729.359506280719	624.252320274662	667.555039064924	661.890926131627	685.523231371562	869.04569759221	882.009413356498	824.987814621127	742.207182578537	764.208682012162	796.538533251427	854.296800578871	809.345485741143
orf19.2347	orf19.2347	881.376329415634	856.233202729611	866.778017919206	890.587395836046	1242.13252433676	1261.82346905915	902.028014435192	839.934897591837	1471.19717011092	1627.87901088217	1614.14871823172	1572.59677409079	1304.67663509686	1336.10261630454	1282.36498938924	1322.21248888083	1170.0229909971	1201.63448156468	971.411249751487	990.765402166478	853.544113631903	907.809829591399	741.331338044925	681.442936220812	689.942056576293	694.039895215332	530.554797234483	495.110747178841	684.882904905787	777.892439396554	554.702541520842	511.714948825681	610.05193719992	637.634327351226	502.158029756621	490.565722192624	326.601198781551	342.653140924883	428.920764319861	415.273498485279	391.901711180499	387.849238949013	377.55582039283	394.913184003761	337.756582413688	328.062266573725	347.179958684974	302.220833434526	340.930471924983	311.064552061175	311.439563662223	302.47134729364
orf19.2350	orf19.2350	182.748352066141	197.870872046147	214.673103575055	176.787107193177	107.775382005294	99.8520845925471	56.0215444272379	73.9030831385914	118.8879350509	120.98899078134	158.348508999572	118.292577899984	143.147088880143	106.940712951867	127.528033911867	122.768504702034	154.716769193245	164.710654017161	159.769128871856	159.357599482248	202.987903158021	237.539913222166	202.6235910458	171.898752455004	164.181638092685	172.136407680334	150.880720661318	154.767299757966	172.981846020262	165.9850608164	197.109424016912	202.984309183618	180.76836515873	188.782791341143	113.201948324196	130.321733800283	131.196089643404	129.196760616596	128.224822327147	133.855657846479	110.160368254391	128.217952524429	145.172936005984	134.75339708037	168.324656451962	161.424341494892	166.457709485386	142.449979736925	119.321695198782	136.369317070321	145.158098353938	184.219392376424
orf19.2351	orf19.2351	3746.99738264782	3663.33483453317	3686.44467244274	3487.41043832243	1529.43343653688	1648.79587824359	1105.17868738178	1136.38039904525	298.252219598784	343.259837429621	343.947952024419	374.85888631737	315.193655131005	301.080235413418	338.238185816489	301.101599027487	626.871033401307	626.778807691013	522.65581157653	602.468260467753	1205.9128327615	1209.68959208205	998.017003513892	903.368586417947	1510.37924633465	1476.28043718224	1178.18034006205	1077.44797285311	1409.49198485843	1411.34638467131	1164.01387730734	1151.94552239625	1293.60982426672	1215.34838528829	1044.41086020083	994.896158183995	824.352650742979	907.153299592734	1119.16000964934	1104.5408772959	1014.74657200534	886.714943921108	1153.37772543572	1127.86490471711	1238.91111319052	1175.49972515617	1196.12082656629	1238.82818942177	926.846776659933	963.149849572914	913.005301891775	864.984590880445
orf19.2352	orf19.2352	367.390872233291	429.267303369883	382.494516694756	394.317992288307	642.899971858989	657.92740968324	439.064373625345	415.881270225532	577.29893597888	587.309729488916	545.156714230783	530.079823964001	589.137005177464	536.061639936172	540.944137122944	507.911598552465	529.697031246726	596.63791575886	480.835579016174	465.769875315407	498.928852533121	500.870621836127	434.216417154515	447.096303590236	529.494353950202	496.127874590585	394.161830263698	326.019765881848	554.143315404703	510.089698759746	395.56379791488	469.733486968746	553.07849646202	532.009045011679	434.59990189104	424.456268426831	381.86019560381	358.825699769371	466.862392803809	482.694473940046	438.675996228117	408.664547823568	481.392243800576	466.265319249483	562.865082908332	552.690448742017	594.210709083298	586.113332939211	569.566219201532	551.443249518629	529.630780313258	490.630483003634
orf19.2356	orf19.2356	666.099767495623	639.59506180129	691.722542370147	657.879761401757	1202.17093201917	1271.80177681121	900.04474903648	852.749548798798	672.374944300713	662.680266233613	679.483994084772	660.821077895319	829.801034567227	772.576158116372	816.005736535751	793.086117656644	1109.54087138415	1166.96467995099	1108.77846639958	1035.61946593599	1015.52003964461	1083.93905750932	798.540227691122	795.484288986393	1011.21529987185	911.543421312514	768.306933006846	811.7904700418	1165.89843930984	1063.92349640326	770.927161549418	814.048329212956	1164.55122813552	1069.7799755699	1102.37311660893	1086.10816465141	745.107691549412	748.245699672258	981.752065318749	1017.55873170509	842.211071251511	842.427190035893	981.313245814176	955.570990266244	1038.95519012503	1015.13354841323	795.976747342759	796.845021024742	985.111893670206	993.779646859421	1169.04497939501	1142.38429863652
orf19.236	orf19.236	7051.88777920845	7000.14391085684	7286.94961600965	7092.93962950699	11083.3385816967	10650.5786855671	7409.04102885666	7306.91806843488	15023.1813153349	15741.1974634475	15639.3664541443	15604.2039994688	19731.1124247804	19999.8686227142	18290.82389502	17979.7884268566	20000.4673572428	19687.6868966615	16703.48115523	16209.0592473111	9541.50685842675	9638.93602831464	7336.13742758593	7246.02252528649	2439.80775116332	2281.69660813242	1573.15064937185	1503.74326952753	302.359655425665	284.282519968953	298.585318653208	293.995798872534	280.054664747678	277.881169507988	256.251128346986	294.265954565083	226.97881328203	222.927875656073	303.494380361939	317.623619997087	276.513696247685	225.605116727974	253.125574284535	240.763814090294	282.581389069206	284.814164230489	232.727414079751	275.797440948142	422.10068697673	375.676170917879	374.354279469151	425.884190693356
orf19.2360	orf19.2360	4072.08636896426	4015.80359000424	4856.71440245531	4689.43233324876	13630.4201715663	13525.4396463822	9272.54957853184	9229.4846194293	14542.8575219758	14077.8523771945	14763.2564460541	14674.2746353017	13516.5708416706	13668.938477415	13254.1744120793	12946.0308095443	8742.51770836888	8641.71745849373	8150.36369473965	8098.46784606191	2559.96147610436	2728.55982148493	1922.93659631894	1974.96088534585	1586.65018007018	1466.62757320388	1594.22611517142	1571.09249947906	3200.99972000626	3075.91643129574	2542.0915709745	2322.76359574628	4858.54193643447	4814.60714308553	3459.01687985949	3317.28167511206	3134.98030744509	3055.04311726615	3725.64949812376	3581.44852339249	4270.19634471898	4210.41278246966	3830.95279413467	3854.4220604206	3380.47547510269	3261.26004541193	3204.80566310156	3294.53258457064	2868.54318965779	2673.53736167284	3975.5908760483	3875.48951710691
