tx	gene_id	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
orf19.2247-T	orf19.2247	0.075311	0	0	0.074692	0.316732	0.106241	0.519245	0.075044	1.123591	0.452209	0.275756	0.330127	1.109764	0.954423	1.440008	0.914589	1.083053	0.886274	0.673867	1.18108	0.518763	0.696844	0.883679	0.522629	0.467547	0.352092	0.691971	0.234437	0.386399	0.585406	4.710453	4.458508	0.329172	0.399597	0.821249	0.532254	0.299042	0.301597	0.898183	0.824568	1.425633	0.450905	0.808998	0.652619	0.782479	1.346788	1.646943	1.033722	1.390954	1.411363	1.631445	1.125476
orf19.2248-T	orf19.2248	47.346542	41.45159	50.533316	46.901409	60.506855	62.181652	64.189669	64.348285	19.936499	17.175979	19.665253	19.738587	12.247975	13.493285	15.533404	14.805516	15.668822	15.000732	18.287296	19.018214	29.990043	30.946721	28.905857	30.229806	37.37712	36.908014	40.194911	40.737209	59.97493	58.237877	51.505691	54.236154	64.404482	63.258381	51.502446	49.985875	52.739368	52.454354	50.561688	50.902448	52.013557	52.574902	50.421275	49.923008	53.203954	54.463272	42.091931	44.242103	40.900065	43.085276	49.768726	56.604843
orf19.2249-T	orf19.2249	36.038319	35.111276	37.69104	37.433877	44.568703	54.82113	49.682471	52.034042	47.923418	44.854225	52.445714	48.376295	54.298734	52.532487	47.406119	55.529449	50.074752	50.429296	47.969093	55.899011	44.833776	41.547276	44.655963	36.376478	30.573948	28.593604	25.786881	29.944704	31.673436	29.660208	40.122976	38.765588	28.247671	29.069402	24.197343	28.816324	34.638487	32.119594	33.680313	33.58583	32.296368	34.718566	30.814254	34.097404	25.788026	26.650934	35.651851	33.688018	29.819324	28.962705	25.921416	30.079033
orf19.2250-T	orf19.2250	98.780058	99.004645	96.869373	102.620703	188.477694	206.673082	214.786103	197.554981	316.247108	307.683806	305.187996	311.276852	377.115104	367.178609	371.565203	381.392816	334.657441	335.924668	303.264229	324.468404	173.909631	182.821294	184.431299	182.247466	123.011376	121.290563	113.64467	107.754052	113.811489	112.52054	118.383296	129.732295	125.766747	129.367305	139.516871	136.001105	142.92798	135.150389	132.609212	134.937211	129.228393	123.888064	128.329486	124.329778	141.579644	123.172415	116.466908	122.801545	114.525364	129.366733	116.770499	125.11148
orf19.2251-T	orf19.2251	5.678564	4.676719	4.529443	6.68558	136.636235	145.450752	128.292769	128.606198	38.095982	38.14052	34.968836	29.191794	26.830908	32.146129	28.206288	27.867917	15.464451	15.626064	19.315918	12.138792	9.047689	8.649278	10.988235	11.479576	12.241064	10.444213	11.113004	11.040486	22.119021	24.885972	23.554782	26.418765	29.140749	28.846422	27.100393	25.081558	29.340359	29.587719	25.897688	32.759636	29.00939	28.364318	22.752013	26.111348	24.742544	22.427402	21.329984	15.403782	21.375245	17.270443	17.074792	20.602185
orf19.2252-T	orf19.2252	0	0.075724	0	0	0.052315	0	0.073521	0	0.055704	0	0.054661	0	0.054992	0	0.059554	0.060427	0	0.051668	0.060709	0	0.057177	0	0.072981	0	0	0.174464	0.076198	0.077447	0.12765	0.128913	4.284636	3.012791	0	0.132009	0	0.075362	0.098794	0.099638	0.080771	0	0.08831	0.08938	0.080183	0	0	0	0.07773	0	0	0	0	0.085805
orf19.2253-T	orf19.2253	1.914873	1.793338	2.817965	1.460882	2.168094	2.077818	1.523458	2.862427	2.197642	1.4373	1.887928	1.560615	1.953525	1.537373	1.3495	1.78881	1.765285	2.14137	1.497976	2.370578	1.692656	2.044539	1.872383	2.84765	2.573423	2.123092	2.030059	1.757721	2.77122	2.226187	7.45138	6.106884	2.510941	2.214483	2.044625	2.305525	3.802218	1.868199	2.949181	2.741823	2.701567	2.293295	2.927829	2.234272	2.448994	1.859691	1.45748	1.713662	2.71385	1.868529	2.099517	2.286227
orf19.2256-T	orf19.2256	40.202129	45.794399	46.66425	46.044851	122.006121	123.682598	127.478854	123.21151	123.765504	133.315821	121.014005	118.580104	116.055374	120.004759	114.575297	113.637594	86.049548	79.489673	76.730333	80.97032	64.236296	63.680901	64.391005	60.081196	69.824542	61.570155	68.511876	57.96368	99.235276	98.109428	94.762899	97.179046	118.435778	121.695352	121.601533	121.32382	151.228377	163.431714	148.489491	150.984061	155.206625	153.131173	165.612468	164.30959	164.579677	158.457685	157.023504	151.394261	165.278567	160.46083	162.019966	172.273473
orf19.2257-T	orf19.2257	230.696504	223.651137	225.764059	236.613526	191.051341	192.697829	186.219762	197.579105	194.526595	191.11574	196.600704	191.904038	180.848775	178.749094	189.973392	188.65446	220.405814	221.598775	213.035661	214.443666	239.761985	240.59502	248.311636	253.931888	195.173337	189.005473	181.707722	192.867723	170.125898	168.241851	165.69153	160.645443	148.137954	147.882933	133.155811	139.091674	118.988533	125.582124	110.500048	115.583906	111.942692	119.468881	105.97661	106.685919	96.023077	98.772942	86.357723	85.808495	98.080446	97.087497	110.920876	112.435356
orf19.2258-T	orf19.2258	9.227814	8.945595	9.853037	9.652794	16.429632	18.180552	17.06048	19.670446	14.290358	16.885556	14.969696	13.379199	14.563937	14.275484	10.023182	12.559914	7.844122	8.067651	10.498629	10.310739	10.174431	9.133949	8.13011	8.136809	8.196493	9.338673	9.628589	9.360781	13.08079	9.9728	14.1401	13.158757	12.84732	11.202629	13.137081	11.024902	13.662597	15.399382	14.016089	16.831985	16.640303	15.385025	14.657445	17.181758	18.50382	16.703245	18.318776	17.820536	18.022196	17.281811	16.61597	18.496957
