tx	gene_id	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
orf19.1225-T	orf19.1225	33.293915	32.723737	36.432614	28.806034	31.670367	31.054826	31.666594	34.703681	17.096269	19.634301	16.285337	17.414893	19.998542	17.394715	21.177495	18.029412	21.474045	19.573544	19.131935	23.829999	27.861982	23.171563	25.216885	26.158729	28.108445	28.611588	32.103763	22.096077	33.103341	31.610067	34.61299	32.482353	29.242581	31.424653	26.82103	31.897719	31.596874	29.998965	33.087388	29.841085	28.768825	19.670224	27.92846	23.373092	34.409803	29.39197	34.559845	35.943017	30.886949	33.576978	33.569955	41.289518
orf19.3152-T	orf19.3152	208.880143	201.278297	192.993543	200.368482	190.739723	190.213478	194.894531	196.603511	23.088992	22.325629	24.592524	24.336842	53.843108	50.062776	59.978894	59.107918	120.34333	114.389811	130.994159	124.547771	82.262389	89.484167	81.308086	85.24894	46.940162	43.873458	38.040349	38.971209	28.127364	27.359706	31.107124	28.00802	20.606065	21.773005	17.813493	17.382069	17.954152	16.341856	17.663555	19.993381	19.70436	17.897905	17.906016	17.762778	20.512179	17.758521	19.653677	16.740688	22.224664	19.899945	17.351234	19.207216
orf19.3151-T	orf19.3151	5.164402	5.236433	5.575733	7.066707	4.781592	4.666257	4.87747	4.006673	3.773601	3.486157	5.056673	4.968414	4.564329	4.769659	4.693191	5.100527	4.030155	3.501214	2.94753	4.013497	4.426162	4.37485	3.534607	6.036572	6.503103	6.772135	7.592896	6.320533	9.79359	9.80089	10.84408	11.137306	9.475708	9.493302	7.557464	7.380921	8.048495	7.979099	9.925068	9.40294	7.802765	9.49958	7.186678	7.243671	11.349606	11.592977	10.185188	8.801916	9.400624	11.356034	12.104073	12.321545
orf19.3150-T	orf19.3150	20.731817	18.598608	18.247392	17.246692	19.814547	18.600982	21.43646	21.546809	18.384754	18.674978	22.260459	20.205809	12.107361	10.288994	9.976136	10.087887	15.900884	13.67749	11.964958	15.085421	49.11376	51.072343	50.673795	57.030949	84.636433	77.303764	74.957761	74.869245	90.740504	91.422501	94.702556	104.654073	93.977423	94.944939	84.46345	82.598368	92.111742	98.583817	96.487543	96.765205	86.197097	82.006541	83.267707	81.834953	104.604145	91.964899	110.462145	113.091524	107.501868	104.770845	112.923529	114.555323
orf19.3149-T	orf19.3149	504.764704	503.041843	544.589054	536.373719	447.979842	447.3017	422.349314	423.962175	353.589948	362.960064	426.378553	431.739236	284.041522	297.371642	310.627937	308.956576	312.947147	318.095553	337.287752	333.283596	551.805484	567.614125	561.319854	554.89228	695.751785	710.31551	675.915925	678.226396	803.787489	804.836358	735.492687	746.996671	751.517027	747.660976	704.786257	707.591052	642.159507	643.638415	588.044084	602.689857	660.599701	641.686324	568.283636	600.693704	611.818356	615.829542	594.902735	597.445111	579.475352	591.039085	623.609663	636.577784
orf19.3148-T	orf19.3148	25.651704	26.127951	25.771448	29.688588	10.714741	11.10583	9.549959	9.375851	18.332812	19.521354	22.496641	22.664249	17.116354	18.047265	17.800511	17.104719	16.943128	15.361066	17.611728	19.370778	22.986815	22.268811	18.239519	18.092673	21.035674	21.250176	26.185062	28.175039	25.084835	26.385412	21.49224	19.981859	18.954405	18.992202	23.549682	23.781294	18.187971	17.784002	19.797442	21.502863	13.525977	15.605868	14.649426	15.601103	9.388531	7.388264	9.113986	7.155786	9.319804	9.465326	9.773432	10.676453
orf19.3147-T	orf19.3147	20.633677	19.395963	16.474325	22.640705	24.470497	25.806553	25.10954	25.557132	21.811291	23.167345	20.467802	23.871414	22.364287	17.793137	20.595052	21.919014	20.786496	19.08302	19.660392	21.884594	17.85102	21.208243	22.874764	20.759813	20.001872	19.657954	14.112941	13.359924	19.929471	21.390138	21.056075	22.416806	20.737169	17.391194	16.275536	17.093634	17.896336	18.531643	17.788187	17.163248	17.498887	19.228072	14.44976	18.084474	17.077457	19.937678	20.845776	18.228255	17.829792	19.878879	19.58538	22.050803
orf19.2227-T	orf19.2227	21.005891	17.157698	16.323931	17.342537	6.481221	6.976239	6.547878	6.526777	8.505527	9.626242	8.271069	8.041521	6.091057	5.523352	5.83325	6.232847	9.436042	7.891997	7.947334	10.368367	11.138676	9.885373	11.245172	9.065466	12.8491	13.71815	11.733988	14.789328	18.029858	20.914714	20.7768	20.205316	14.705166	16.588352	11.286453	11.777572	10.174716	13.681499	10.269068	10.797134	12.012905	12.383976	8.861103	9.753755	5.422843	6.484828	3.753361	3.703797	4.156932	3.927063	3.245284	4.799822
orf19.2228-T	orf19.2228	40.971146	36.106815	36.954691	38.402262	26.407872	26.782296	24.766021	23.974872	18.694527	20.050551	20.03875	19.27685	19.543716	17.295397	16.406023	18.716314	24.807739	24.567528	27.109036	29.991706	33.822947	30.883927	37.389022	35.856021	35.331068	39.732096	32.16978	32.480671	39.089849	38.380801	39.279647	34.487503	30.004672	32.592014	24.802033	26.526079	23.845434	22.487925	24.55279	21.846737	19.123271	20.401125	17.745246	18.854976	23.16816	24.36793	18.744913	15.919216	17.555177	19.746928	21.096675	19.142625
orf19.2229-T	orf19.2229	12.640686	11.144033	12.332944	15.962823	16.265685	15.344612	19.531227	19.693259	9.378975	8.659509	9.463855	10.098386	8.194497	9.116131	10.674781	9.451245	11.826824	11.286369	12.017866	12.196648	16.142702	17.474657	17.628674	16.985692	19.557919	19.476278	19.674326	20.500885	28.122439	25.298244	24.723267	24.609685	24.336931	21.260368	23.706602	19.540773	19.666056	20.941467	21.612805	23.154321	22.812687	25.324428	20.718138	20.369521	21.469586	19.049564	19.219548	15.911968	18.774432	18.905914	24.425511	22.882647
orf19.2230-T	orf19.2230	18.850573	29.412783	24.193345	18.116447	33.059098	32.912456	31.714789	37.488864	23.341631	27.683413	32.6807	30.936312	27.272091	23.677596	25.281881	26.463446	29.028347	30.862054	29.718579	31.899966	32.193697	24.482624	38.067591	31.559906	31.945316	34.413285	27.641645	31.547661	43.059487	27.863953	40.351514	52.445461	49.131674	46.110432	30.479771	39.336795	42.247482	48.616789	50.083457	45.549818	57.004697	34.822167	36.186784	44.100229	52.180433	49.643359	50.967508	50.931998	38.168216	42.904552	48.689445	42.621891
orf19.2231-T	orf19.2231	21.661502	24.369796	18.072728	21.809644	57.37299	48.025105	48.908323	49.540369	28.935405	32.565726	28.613372	28.40185	33.396438	29.258398	31.153047	27.550568	27.277595	24.46157	21.569299	30.537808	16.664871	16.764217	15.966831	15.977846	17.174294	14.150987	21.595863	17.812527	25.343127	23.666407	28.237438	24.736338	31.512649	33.829691	28.548324	27.477425	32.751232	27.556572	30.274592	30.576629	30.267798	27.96147	30.838312	30.866036	29.951766	33.849398	26.914037	29.406989	39.786991	38.27216	44.951302	41.190591
orf19.2232-T	orf19.2232	2140.59367	2154.404571	2009.573283	1980.679759	2293.251291	2294.090924	2190.56932	2152.901767	3943.495689	3927.760484	3800.30913	3783.458161	3921.176125	3922.880023	3915.071222	3959.273805	3583.63496	3597.155517	3768.784383	3785.401025	1764.054104	1774.075489	1850.360846	1874.598577	437.971279	421.305754	351.981985	367.46639	77.389854	78.145012	85.788764	93.642992	106.243938	106.055777	89.006782	96.335323	135.02036	114.979218	122.898288	136.277555	120.957528	106.198259	109.151249	128.608107	117.689804	109.580503	124.064194	119.489866	183.341146	179.396051	142.686795	156.832422
orf19.2233-T	orf19.2233	231.678993	228.532877	222.4885	212.208075	292.271535	272.643279	285.965239	274.068985	168.640759	173.667108	172.071012	178.393995	161.596489	151.997863	165.631208	170.83174	234.827385	222.749236	248.996948	243.999553	366.092383	354.10039	358.132429	354.733428	415.466138	400.159252	396.227011	398.199972	343.007575	351.183516	349.677016	373.465531	318.729394	305.451043	327.798163	318.763689	310.83512	301.554246	330.377624	297.216619	282.709885	253.891305	259.578337	265.874741	214.957496	209.075556	254.021022	248.428892	201.948506	198.98282	193.362608	198.037997
orf19.2236-T	orf19.2236	31.030179	32.320684	33.393393	35.21498	38.396283	38.145298	35.709986	32.97908	38.410276	39.020601	37.944069	35.865383	36.063506	35.033661	35.375897	34.571361	27.168726	27.416899	27.818813	28.550132	27.555779	26.384168	22.271828	24.556544	25.499448	25.878184	31.032628	31.393548	37.464606	37.572353	40.513045	39.928295	36.735321	39.293222	36.237974	36.352658	34.1796	34.746173	35.328826	37.334478	36.887021	36.100203	38.032981	38.578202	22.212397	25.850179	20.20711	22.392644	22.841471	22.963837	26.393278	26.386018
orf19.2237-T	orf19.2237	0.870339	1.398155	1.280788	1.294799	0.355841	0.204614	0.357225	0.289136	0.378743	0.326663	0.212499	0.519658	0.160319	0.378508	0.173339	0.2936	0	0.301263	0.353898	0.299276	0.495756	0.559314	0.354596	0.071908	0.339496	0	0.370219	0.301044	0.248106	0.250561	3.425864	2.456312	0.380428	0.449378	0.215756	0.073249	0.480088	0.484194	0.628014	0.238295	1.11578	0.347516	0.31175	0.489457	0.150747	0.22895	0.48091	0.154764	0.236455	0.240043	0.16542	0.250182
orf19.2237.1-T	orf19.2237.1	6.361629	11.381373	9.3855	8.484107	56.815244	61.880517	61.277399	52.84525	55.699292	54.506507	57.495288	50.072874	47.131152	51.53729	47.729713	57.831451	19.231345	27.344307	23.208874	24.272237	8.570956	8.995018	8.851626	9.17816	13.04557	7.325188	12.001903	10.894662	31.416042	23.316589	25.83672	26.842633	45.66712	27.829447	52.3526	48.55374	66.865064	64.508397	58.033265	55.377914	56.862278	61.539355	78.069073	63.50042	57.215801	59.521145	60.305483	69.372018	61.798332	58.085579	61.205818	64.73034
orf19.2238-T	orf19.2238	14.688846	13.646496	14.178517	16.145596	2.753763	3.12617	2.53367	2.631044	15.507328	15.194554	16.865261	14.73112	15.405791	13.937581	16.163235	17.203572	12.882136	13.453308	14.891817	15.741919	11.951163	10.992095	9.154911	9.441255	8.445685	8.871043	10.757928	11.732096	10.166524	9.979561	10.356271	10.927214	8.725307	7.357453	4.856166	5.7235	4.560632	4.995454	5.261706	4.567255	3.775726	3.923739	3.413312	3.674153	1.822212	2.492051	2.098584	2.059617	1.81832	1.82066	2.071186	3.230111
orf19.2241-T	orf19.2241	175.076709	173.236382	176.892246	180.329921	142.39108	144.067785	143.844259	149.43381	184.9415	191.253774	204.093482	201.963738	45.417556	48.409611	51.794564	50.818609	32.650087	36.404801	37.31106	35.03993	178.441571	180.614967	202.738183	203.170489	512.018773	510.960627	572.577571	561.746585	1015.627633	1010.623861	1008.428543	1036.879658	1412.193919	1423.504813	1404.083001	1382.383964	1633.66436	1623.003287	1627.811233	1580.900181	1619.375413	1604.929856	1667.056063	1674.767703	2241.818713	2258.770893	2441.978567	2397.969222	2274.707565	2326.6253	2403.92577	2392.172066
orf19.2242-T	orf19.2242	181.159281	182.493188	179.720791	180.15411	85.957642	82.263396	87.543568	88.632628	13.31289	10.827992	12.635395	13.822703	11.551841	13.675505	12.694039	12.829721	11.479334	12.64413	12.152605	11.915641	17.181935	16.265146	17.534102	17.608196	20.009486	20.286995	24.438764	22.672034	32.441795	32.906218	34.062986	31.51288	47.093595	45.647999	43.046101	43.749321	51.301762	50.62636	55.290662	58.671505	60.745871	57.885222	63.279938	63.170092	81.752161	86.439377	97.361205	94.482981	89.186654	89.951395	99.219025	94.383072
orf19.2244-T	orf19.2244	76.306835	74.397789	68.606567	65.100534	267.796073	263.216868	293.084537	283.085556	37.290863	39.669874	41.367121	39.629185	14.794181	16.126082	18.542194	19.136195	38.284628	32.233659	39.608113	41.765048	149.189186	138.89926	137.13752	138.317753	153.282671	159.995357	165.625106	170.063022	118.910029	120.526953	150.485293	136.330173	100.470731	98.944384	97.143776	91.847776	84.118432	82.031681	83.190316	86.226254	56.915456	59.93	57.859304	60.833322	40.479327	33.931712	38.04816	37.861929	43.568795	37.283231	40.258665	42.087929
orf19.2245-T	orf19.2245	112.222467	117.521769	113.354849	115.756398	83.552229	82.406849	80.057646	85.282005	71.607243	70.981424	65.722353	69.146949	95.42483	91.258536	87.219842	93.134413	115.515417	113.2945	128.652004	118.948171	132.62614	127.507141	145.722907	141.793475	155.28677	158.063072	135.700095	139.605154	135.397205	136.70256	140.234994	145.172631	126.375071	125.243176	133.226586	119.651888	125.721647	117.201798	118.218934	125.926983	129.479859	119.51877	105.756514	101.055876	101.55434	110.273532	128.1082	124.84445	96.587988	108.099883	100.65884	93.969664
orf19.2246-T	orf19.2246	97.08311	88.925594	93.671913	97.430343	90.542478	84.101809	88.034517	86.613666	158.512329	139.093832	142.994909	145.089829	176.916982	168.814227	171.039572	177.784154	210.88552	203.572367	206.090866	199.175082	309.726562	308.061501	289.518909	302.967947	388.73023	405.929375	390.723783	367.791979	419.545478	449.75818	370.754343	370.004382	357.476312	373.32041	352.155854	357.123279	347.719848	357.535113	347.355957	338.687863	330.103011	331.188723	325.716913	303.127617	329.886994	338.802176	291.438454	273.45824	310.805806	299.269789	281.393276	263.117951
