"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-YEL039C",97.4517930796341,2.10034375470041,0.3184335004834,3.13686078184638e-12,2.72223387330796e-11
"gene-YER096W",226.17520780996,2.43428800669919,0.219971790432158,1.44290410676948e-29,2.60589348291641e-28
"gene-YER103W",2593.50773688239,2.17339961524183,0.077709111620846,2.94788333187432e-173,4.92460287719226e-171
"gene-YER121W",82.5639841165664,2.64494400386838,0.380430074749864,2.81447568582102e-13,2.64886647488695e-12
"gene-YER150W",1534.61759007727,2.47521299105628,0.098688136794026,5.93081040211602e-140,7.27916199149505e-138
"gene-YFL014W",20691.8862503971,4.84571105751278,0.0556490220675212,0,0
"gene-YFL053W",158.958762169335,2.19306849607455,0.262104371045123,4.18383582624821e-18,4.85744954808045e-17
"gene-YGL121C",238.366478438989,2.77822633992945,0.219816162442289,1.13201819612995e-37,2.72318297261022e-36
"gene-YGL156W",977.620446014411,2.03880631044932,0.105123535472929,6.57672193992604e-85,4.20770273901225e-83
"gene-YGL158W",276.284412245188,3.68424902606042,0.233285591981152,4.32418713119615e-57,1.72222923225256e-55
"gene-YGL255W",2599.24182784163,-4.40080390647517,0.0922828215618395,0,0
"gene-YGR043C",3226.64569717063,5.20092643141374,0.104160446604574,0,0
"gene-YGR088W",2498.1676831064,2.76895392118564,0.0820977465448723,1.75637605288047e-250,6.60177848876446e-248
"gene-YGR109W-A",7.12065904362213,-5.69641089022802,2.69241391589056,0.000181108387520567,0.000709105366242635
"gene-YGR234W",4503.43393467332,-3.26920072849821,0.0697179244303033,0,0
"gene-YGR248W",1156.68374102797,3.04830539080248,0.116103103451833,4.68875845166877e-153,6.55771937868278e-151
"gene-YGR256W",1309.1685572078,4.45666446019799,0.131949321136636,9.40768824348929e-251,3.77185580642297e-248
"gene-YHR087W",593.75052184773,2.72886562557286,0.140883802810574,1.14794269638801e-84,7.26708144850263e-83
"gene-YHR096C",536.939888994972,2.41516292875767,0.142726244193002,2.44355074583676e-65,1.13918714615986e-63
"gene-YHR136C",246.007272246586,4.57865001072664,0.297399762638334,4.6577501784868e-54,1.78418532314775e-52
"gene-YHR137W",1012.62273822487,2.35230586887112,0.393064885039537,1.23106949349256e-10,9.46758559317678e-10
"gene-YHR215W",1203.7052983105,2.99544681056297,0.220244648298046,2.43279063070011e-43,6.9340297881661e-42
"gene-YHR216W",2801.23912930381,-2.01826129185991,0.070650758914186,1.1655766995978e-180,2.0616994915827e-178
"gene-YIL136W",2766.94922814393,2.37014407504854,0.0735808776130775,8.83414207770249e-229,2.41493320251376e-226
"gene-YIR038C",2577.9169235618,2.58207790094351,0.0776616620916491,1.63156786277364e-243,5.16434164564247e-241
"gene-YJL045W",197.457711390623,2.5701682308186,0.232862033938617,2.02381232456259e-29,3.63319621490131e-28
"gene-YJL116C",1248.25337733443,2.08427003709769,0.100476718911581,9.35156516351072e-97,7.11902694852575e-95
"gene-YJL153C",1167.0140832653,-3.11145348895322,0.112319583321594,3.13862741808743e-170,4.83992443394303e-168
"gene-YJR047C",108.00998829388,-2.14055487913934,0.302826235932766,1.03646307457936e-13,9.98924508096197e-13
"gene-YJR096W",1497.40703532638,2.16582283333106,0.0911796956322162,7.83713051123693e-126,8.26886015694366e-124
"gene-YKL163W",525.791715559788,2.25915717976624,0.163868557393138,2.30846311038254e-44,6.77224251016614e-43
"gene-YKR076W",840.783057010124,2.06278833406762,0.114308975861484,6.80255578674955e-74,3.71914277286471e-72
"gene-YLR178C",1876.43604281106,2.93273852221224,0.0957405626911231,2.96004280427057e-207,6.84680670187815e-205
"gene-YLR327C",109.713323873787,3.77870912116042,0.376383550736733,1.28126705577489e-24,1.99109562620935e-23
"gene-YML123C",3734.41049906894,5.48870808203815,0.106106161631836,0,0
"gene-YML128C",8244.61901984938,3.68494104296302,0.0611044778605579,0,0
"gene-YMR011W",1677.3744843114,2.10936515558746,0.0890979793912717,4.9962098507192e-125,5.18055276590091e-123
"gene-YMR058W",4620.45091308643,-2.16130451706997,0.697436143961762,7.77841098393788e-05,0.00032440612799863
"gene-YMR090W",1446.28087979504,2.74020596389487,0.0980478168313151,4.84959287307458e-173,7.88255446991096e-171
"gene-YMR107W",40.8247629331779,3.14339388382071,0.57460589328046,4.00629871554224e-09,2.74730678167286e-08
"gene-YMR169C",3405.72426983505,4.24412025280639,0.0843418712570137,0,0
"gene-YMR174C",136.329124293994,3.17928583273389,0.30496840923383,1.70001739954824e-26,2.82428304996772e-25
"gene-YMR175W",54.4779134621153,5.02308595560993,0.711639904883528,7.19889825584077e-13,6.58967642475288e-12
"gene-YMR196W",2982.98318742962,2.51337498602854,0.0745581184966456,3.29935772052798e-250,1.16719631360325e-247
"gene-YMR250W",3843.69212760054,2.4880894365866,0.0751128761730255,1.01337653326492e-241,3.04722323552762e-239
"gene-YMR251W",154.394493628848,2.51994844558853,0.2654692300498,1.6313311191183e-22,2.30301064562851e-21
"gene-YNCL0010C",2941.98819113955,-2.17189387395681,0.552861760387942,4.10490855127246e-06,2.07879525215633e-05
"gene-YNCL0020C",3115.56438231081,-2.00840305911345,0.595383149767309,3.41535507325397e-05,0.000150365632580889
"gene-YNCM0001W",10280.7378475,4.42403253444247,0.0617248082428511,0,0
"gene-YNCN0005C",52.8732166321051,-2.36909094278499,0.429130520167329,2.17299735685122e-09,1.52490152906689e-08
