"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"orf19.5232",685.661511034297,3.00364466865275,0.140657340680574,4.18150506435719e-102,5.56551176194037e-101
"orf19.5235",229.826743686182,1.12091983472108,0.224793957172851,2.59160590282497e-07,6.32567130434824e-07
"orf19.5243",2902.65979167201,-1.16769803723882,0.0762398332129128,2.4078427201811e-53,1.86780227945306e-52
"orf19.5245",641.032873480201,-2.51595599844773,0.135892604307813,2.01244829783993e-77,2.0997555188015e-76
"orf19.5257",1133.79326425963,-1.26106718682814,0.0976779695982459,1.43094456133004e-38,8.7385820318871e-38
"orf19.526",1709.88123339578,2.46067879615792,0.108385976455968,6.11326247047934e-115,9.4961376380588e-114
"orf19.5263",14327.372169419,-2.26678561839638,0.0588736686180239,0,0
"orf19.5270",112.903841684597,-1.3862258434401,0.270805793861822,9.242437480973e-08,2.32048138125678e-07
"orf19.5279",735.992989022632,1.58055699772041,0.117780730917143,1.27225816905162e-41,8.2038262267314e-41
"orf19.5280",2660.57007405671,-1.46938216160892,0.0760059720359177,8.27628539528757e-84,9.22235809074173e-83
"orf19.5282",239.512436160321,-1.2018115597344,0.187423521502853,5.46944315043851e-11,1.61925671977574e-10
"orf19.5288",2464.7330591261,-5.54740933738283,0.124644446305962,0,0
"orf19.5290",67.3125156512543,-2.19267345783848,0.370267638708003,5.00489982621768e-10,1.4138558284585e-09
"orf19.5295",280.923972766724,-1.44797633052479,0.179379889598764,1.96078169881894e-16,7.25279643820852e-16
"orf19.5299",513.210492685395,2.68583816661307,0.154964648451135,3.94716048786458e-68,3.69172112295923e-67
"orf19.5305",805.128732750364,-1.32981602561766,0.113104315308589,2.13473184193976e-32,1.15829657172846e-31
"orf19.5308",21.9839682863864,-2.15313898398635,0.662745257815306,0.000163722172911355,0.000323446056157574
"orf19.5311",468.956342595365,-1.01631564028798,0.140502347156244,2.25812065630897e-13,7.44617976079861e-13
"orf19.5312",1005.04777535564,-2.9608971133889,0.122155699617499,7.39118792184983e-131,1.34619033816382e-129
"orf19.5334",2195.97798645673,-1.7165157962103,0.0807811376442186,7.41226613461054e-101,9.76131199841206e-100
"orf19.5341",54057.7716184217,1.52410537280748,0.0605231493423361,1.80562432136418e-140,3.61647392211494e-139
"orf19.5342",832.525991298033,-1.16226338873568,0.109038776669587,6.46876082299963e-27,3.16278737570367e-26
"orf19.5343",1648.58237302466,-1.28199841363068,0.0941559048533042,1.1795696325093e-42,7.78341021281823e-42
